Novembro
Dezembro
Janeiro
Domingo
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
2 de dezembro
3 de dezembro
4 de dezembro
5 de dezembro
6 de dezembro
7 de dezembro
8 de dezembro
9 de dezembro
10 de dezembro
11 de dezembro
12 de dezembro
13 de dezembro
14 de dezembro
15 de dezembro
16 de dezembro
17 de dezembro
18 de dezembro
19 de dezembro
20 de dezembro
21 de dezembro
22 de dezembro
23 de dezembro
24 de dezembro
25 de dezembro
26 de dezembro
27 de dezembro
28 de dezembro
29 de dezembro
30 de dezembro
31 de dezembro
1 de janeiro
2 de janeiro
3 de janeiro
4 de janeiro
Ano
2024
Década
Década de 2020
Século
Século XXI
Milênio
Terceiro milénio d.C.
Calendário gregoriano
Ano bissexto
Restauração da Independência
Dia Mundial de Combate à AIDS
800
Carlos Magno
Papa Leão III
1420
Henrique V de Inglaterra
Paris
Carlos VI da França
1640
Portugal
Monarquia Católica
Duque de Bragança
Nome régio
João IV de Portugal
União pessoal
Dinastia Filipina
1821
José Núñez de Cáceres
República do Haiti Espanhol
República Dominicana
1822
Pedro I do Brasil
Lista de monarcas do Brasil
Imperial Ordem do Cruzeiro
1834
Colônia do Cabo
Slavery Abolition Act 1833
Parlamento do Reino Unido
Império Britânico
1862
Discurso sobre o Estado da União
Abraham Lincoln
Proclamação de Emancipação
1887
Romance policial
Arthur Conan Doyle
Um Estudo em Vermelho
Sherlock Holmes
1900
Genebra
Amapá
Brasil
Nicarágua
Canal da Nicarágua
1909
Israel
Degania Alef
Kibbutz
1910
Praça dos Restauradores
Lisboa
Bandeira de Portugal
Implantação da República Portuguesa
1913
Metro de Buenos Aires
Ford Motor Company
Linha de produção
Creta
Autogoverno
Primeira Guerra Balcânica
1918
Islândia
Reino da Dinamarca
Transilvânia
Romênia
Bessarábia
Bucovina
União da Transilvânia com a Romênia
Reino da Iugoslávia
1934
Serguei Kirov
Grande Expurgo
1941
Hirohito
1952
New York Daily News
Christine Jorgensen
Cirurgia de redesignação sexual
1955
Movimento dos direitos civis dos negros nos Estados Unidos
Rosa Parks
Segregação racial nos Estados Unidos
Boicote aos ônibus de Montgomery
Império Português
Estatuto do indígena
1958
República Centro-Africana
União Francesa
1959
Guerra Fria
Tratado da Antártida
1960
