Esporte de aventura
Corredeira
Remo
Desportos aquáticos
Canyoning
Mergulho livre
Jet Ski
Scuba
Ski aquático
Canoa
Canoagem
Rafting
Bodyboard
Grassboard
Kitesurf
Longboard
Sandboard
Skate
Skimboarding
Skysurfing
Snakeboard
Snowboard
Surfe
Tow-in surfing
Wakeboard
Waveboard
Windsurf
Ciclismo
BMX
Mountain bike
Freeride
Montanhismo
Alpinismo
Boulder
Cavernismo
Diretíssima
Escalada
Espeleologia
Rapel
Tirolesa
Drift
Motocross
Rali
Queda livre
BASE jumping
Bungee jumping
Salto ornamental
Paraquedismo
Wingsuit
Aggressive inline
Patinação sobre rodas
Voo
Acrobacia Aérea
Asa delta
Corrida aérea
Paramotor
Parapente
Skysurf
Speed flying
Voo a vela
Orientação
Paintball
