Fibra
Vegetal
Cápsula (fruto)
Semente
Plantae
Algodoeiro
Malvaceae
Celulose
Cera
Gordura
Pectina
Água
Arbusto
Trópicos
Subtropicais
América
África
Egito
Índia
Espécie
México
Austrália
Domesticação
Velho Mundo
Novo Mundo
Fio
Linha têxtil
Tecido
Pré-história
Rio Indo
Peru
Idade Antiga
Invenção
Eli Whitney
Custo
Produção
Roupa
Tonelada
Resma
Terra arável
Estados Unidos
Exportação
Língua árabe
Língua árabe clássica
Marco Polo
Il Milione
Cotã
Turquestão
Xinjiang
Línguas românicas
Língua inglesa
Roma Antiga
Importação
Idade Média
Preço
Óleo de algodão
Produto (indústria)
Pêlo
Óleo de cozinha
Gossipol
Contraceptivo masculino
Folha
Flor
Fruto
Escravidão nos Estados Unidos
Epicarpo
Raíz
Medicina popular
Abortivo
Substância
Espermatozóide
Ciclo menstrual
Hormônio
China
Brasil
Paquistão
Turquia
Uzbequistão
Grécia
Argentina
Mato Grosso
Bahia
Minas Gerais
Goiás
Receita (economia)
Vietnã
Indonésia
Bangladesh
Andra Pradexe
Revolução Industrial
Petróleo
Indústria
Matéria-prima
Praga biológica
Bicudo-do-algodoeiro
Abertura econômica
Anos 1990
Subsídio
Tarifa
Taxa
Mercosul
Juros
Custo social
Desemprego
Paraná
Empréstimo
Alíquota
Competitividade
Protecionismo
Lavoura
Paraguai
Política comercial
Consumo
Renda
Rotação de culturas
Soja
Milho
Colheita
Indústria têxtil
Indústria da moda
Museu de História e Tecnologia do Algodão
Política do algodão
Wayback Machine
Dicionário
Ismail ibne Hamade Aljauari
International Standard Book Number
Dictionary.com
Web Archive
JSTOR
Digital object identifier
Wikimedia
World Trade Organization
Nova Enciclopédia Internacional
Hugh Chisholm
Encyclopædia Britannica
Encyclopædia Britannica (edição de 1911)
"Encyclopædia Britannica, Inc."
Domínio público
Beneficiamento de tecidos
Corda
Crochê
Engenharia têxtil
Fiação
Jacquard
Padronagem
Patchwork
Pultrusão
Quilting
Rapport
Renda (tecido)
Tapeçaria
Tear
Tecelagem
Têxtil técnico
Tingimento
Musa textilis
Bagaço
Cânhamo
Fibra de coco
Juta
Linho
Mafumeira
Rami
Ráfia
Calamus rotang
Sisal
Bisso
Catgut
Lã
Fibra de alpaca
Lã de angorá
Camelo
Casimira
Guanaco
Iaque
Lhama
Mohair
Pashmina
Vicunha
Seda
Seda de aranha
Amianto
Acetato de celulose
Raiom
Fibra de vidro
Fibra de carbono
Fibra de basalto
Polímero
Fibra acrílica
Kevlar
Nomex
Elastano
Poliéster
Polietileno
UHMWPE
Fio têxtil
Carda
Penteação
Fio fantasia
Tecido têxtil
Malharia
Tricô
Brim
Calicô
Cambraia
Cetim
Chita (tecido)
Cotim
Cretone
Damasco (tecido)
Entretela
Kente
Lona
Matelassê
Organdi
Organza
Percal
Raso turco
Sarja
Tafetá
Veludo
Feltro
Geotêxtil
TNT (tecido)
Pele
Camurça
