Noruega
Alcatrão
Betume
Hidrocarboneto
Massa molecular
Mineral
Destilação
Petróleo
Volátil
Solúvel
Bissulfeto de carbono
Pavimento
Rua
Estrada
Aeroporto
Cimento
Engenharia
Emulsão
Rodovia
CBUQ
Veículo
Quarto milénio a.C.
Oriente Médio
Piche
1909
Governo Washington Luís
Brasil
Concreto
Humidade
Clima tropical
Bioasfalto
Macadame
Química
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
Enciclopédia Treccani
Número CAS
ChEBI
National Institute for Occupational Safety and Health
