Senado Federal
Instituto do Coração do Hospital das Clínicas da FMUSP
São Paulo
21 de abril
1985
UTC−3
José Sarney
Tancredo Neves
Brasil
Diverticulite
Leiomioma
Câncer
Erro médico
Síndrome da resposta inflamatória sistêmica
Ditadura militar brasileira
Congresso Nacional do Brasil
Brasília
Getúlio Vargas
Santuário Dom Bosco
Hospital de Base do Distrito Federal
Francisco Dornelles
Ministério da Fazenda (Brasil)
João Figueiredo
Fundação Getulio Vargas
Ulysses Guimarães
João Leitão de Abreu
Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo
Porta-voz da Presidência da República (Brasil)
Antônio Britto
Infecção
Luís Mir
Sutura
Vaso sanguíneo
Conselho Federal de Medicina
Igreja de São Francisco de Assis (São João del-Rei)
Ulysses Silveira Guimarães
Câmara dos Deputados do Brasil
François Mitterrand
Abertura política
Fernando Henrique Cardoso
Leônidas Pires Gonçalves
Constituição brasileira de 1967
Constituição de 1967
Faixa presidencial
Palácio do Planalto
Assembleia Nacional Constituinte de 1987
Constituição brasileira de 1988
Jânio Quadros
Golpe Militar de 1964
Belo Horizonte
São João del-Rei
Canção
Milton Nascimento
O Tempo e o Vento (minissérie)
João Batista de Andrade
Silvio Tendler
O Paciente - O Caso Tancredo Neves
Sérgio Rezende
Lista de presidentes do Brasil
Lista de primeiros-ministros do Brasil
Lista de governadores de Minas Gerais
República Parlamentarista (Brasil)
Governo Tancredo Neves
Lei de Diretrizes e Bases da Educação Nacional
Décimo terceiro salário
Partido Popular (Brasil)
Diretas Já
Redemocratização
Comício da Candelária
Eleições estaduais em Minas Gerais em 1947
Eleições estaduais em Minas Gerais em 1950
Eleições estaduais em Minas Gerais em 1962
Eleições estaduais em Minas Gerais em 1966
Eleições estaduais em Minas Gerais em 1970
Eleições estaduais em Minas Gerais em 1974
Eleições estaduais em Minas Gerais em 1978
Eleições estaduais em Minas Gerais em 1960
Eleições estaduais em Minas Gerais em 1982
Eleição presidencial no Brasil em 1985
Risoleta Neves
Aécio Neves
Andrea Neves da Cunha
Muda Brasil
Getúlio (filme)
Presidente Tancredo Neves
Avenida Tancredo Neves (Salvador)
Avenida Tancredo Neves (Cascavel)
Avenida Presidente Tancredo de Almeida Neves
Tancredo Neves (Santa Maria)
Tancredo Neves (Salvador)
Tancredo Neves (Manaus)
Cidade Administrativa de Minas Gerais
Aeroporto Internacional de Belo Horizonte-Confins
Panteão da Pátria e da Liberdade Tancredo Neves
Partido Tancredista Nacional
