Belize (Cabinda)
Bandeira do Belize
Brasão de armas do Belize
Latim
Land of the Free (hino)
Belmopã
Cidade de Belize
Língua inglesa
Crioulo belizenho
Língua garífuna
Línguas maias
Língua espanhola
Gentílico
Monarquia constitucional
Democracia
Parlamentarismo
Carlos III do Reino Unido
Governador-geral do Belize
Froyla Tzalam
Lista de primeiros-ministros de Belize
Johnny Briceño
Independência
Reino Unido
21 de Setembro
1981
Quilómetro quadrado
Lista de países e territórios por área
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhão
Português brasileiro
Escalas curta e longa
Português europeu
USD
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Dólar de Belize
Dólar do Belize
ISO 4217
Fuso horário
Tempo Universal Coordenado
ISO 3166-1
Lista de TLDs
.bz
Lista de códigos telefónicos
América Central
México
Mar das Caraíbas
Guatemala
Honduras
Comunidade das Caraíbas
Índias Ocidentais Britânicas
Civilização maia
Cristóvão Colombo
Golfo de Honduras
Espanha
Grã-Bretanha
Commonwealth
Rei Carlos III
Corredor Ecológico Mesoamericano
Mitificação
Corsário
Maias
Rio Belize
Reino de Petén Itzá
Século XVII
1968
Estados Unidos
1992
Península de Iucatã
Orange Walk
Antiguidade Clássica
Caribe
1638
1763
1783
1798
1862
Honduras Britânicas
1954
1964
George Cadle Price
1973
1984
Geografia de Belize
Great Blue Hole
Cayo Ambergris
Mar do Caribe
Montanhas Maia
Doyle's Delight
Rio Sarstoon
Recifes de coral
Grande Barreira de Coral
Clima
Tropical
Ciclone tropical
Inundação
1931
1955
Furacão Janet
Furacão Hattie
1978
2001
Furacão Iris
2007
Furacão Dean
Política de Belize
Parlamento
Monarca britânico
Chefe de estado
Poder executivo
Conselho de ministros
Primeiro-ministro
Chefe de governo
Subdivisões de Belize
Belize (distrito)
Cayo (Belize)
Corozal (distrito)
Stann Creek
Toledo (Belize)
Economia de Belize
Offshore (paraíso fiscal)
Agricultura
Turismo
Mergulho
Açúcar
Banana
Citrino
1998
Produto Interno Bruto
Pesca
Défice
Dívida externa
Pobreza
2009
Demografia de Belize
Povo maia
Europa
Mestiço
África
Crioulos
Garifuna
Índia
China
América do Norte
Médio oriente
Língua maia
Caraíbas
Catolicismo romano
Igreja anglicana
Protestantes
Menonita
Língua alemã
Igreja Católica
Irreligião
Diversidade cultural
The World Factbook
Garífunas
Indianos
Alemães
Caucasiano
Ásia Oriental
Belize (cidade)
Belmopan
Distritos de Belize
Orange Walk (cidade)
San Pedro (Belize)
San Ignacio/Santa Elena
Corozal (Belize)
Dangriga
Benque Viejo
Ladyville
Banco Interamericano de Desenvolvimento
Biomassa
Educação em Belize
Educação
Cultura de Belize
Língua
Catolicismo
Bíblia
Religião
Televisão
Américas
Futebol
Basquetebol
Voleibol
Ciclismo
1991
Federação de Futebol de Belize
Havana
Lista de países
Missões diplomáticas de Belize
Rede de Reservas dos Recifes da Barreira do Belize
Programa de Desenvolvimento das Nações Unidas
International Standard Serial Number
Digital object identifier
Bandeira de Belize
Brasão de armas de Belize
Hino nacional de Belize
História de Belize
Soberania
Costa Rica
El Salvador
Nicarágua
Panamá
América Central Insular
Arquipélago das Lucaias
Bahamas
Grandes Antilhas
Cuba
Haiti
Jamaica
República Dominicana
Pequenas Antilhas
Antígua e Barbuda
Barbados
Dominica
Granada (país)
Santa Lúcia
São Cristóvão e Neves
São Vicente e Granadinas
Trindade e Tobago
Estados
Colômbia
"Santo André, Providência e Santa Catarina"
França
Guadalupe
Martinica
Países Baixos
Bonaire
Saba
Santo Eustáquio (Países Baixos)
Venezuela
Nova Esparta
Dependências Federais da Venezuela
Território
Ilhas Virgens Americanas
Ilha de Navassa
Porto Rico
São Bartolomeu (coletividade)
São Martinho (França)
Aruba
Curaçau
São Martinho (Países Baixos)
Anguila
Monserrate (ilha)
Ilhas Cayman
