Área
Município
Brasil
Dado
Instituto Brasileiro de Geografia e Estatística
Lista de municípios brasileiros por área decrescente
Altamira
Pará
Santa Cruz de Minas
Minas Gerais
Região Centro-Oeste do Brasil
Lista de municípios da região Centro-Oeste do Brasil por área
Corumbá
Mato Grosso do Sul
Anhanguera (Goiás)
Goiás
Região Nordeste do Brasil
Lista de municípios da região Nordeste do Brasil por área
Formosa do Rio Preto
Bahia
Madre de Deus (Bahia)
Região Norte do Brasil
Lista de municípios da região Norte do Brasil por área
Marituba
Região Sudeste do Brasil
Lista de municípios da região Sudeste do Brasil por área
João Pinheiro
Região Sul do Brasil
Lista de municípios da região Sul do Brasil por área
Alegrete (Rio Grande do Sul)
Rio Grande do Sul
Esteio
Acre
Sena Madureira
Acrelândia
Alagoas
Coruripe
Santa Luzia do Norte
Amapá
Laranjal do Jari
Santana (Amapá)
Amazonas
Barcelos (Amazonas)
Iranduba
Ceará
Santa Quitéria (Ceará)
Guaramiranga
Distrito Federal (Brasil)
Brasília
Espírito Santo (estado)
Linhares (Espírito Santo)
Piúma
Niquelândia
Maranhão
Balsas
Raposa (Maranhão)
Mato Grosso
Colniza
São Pedro da Cipa
Douradina (Mato Grosso do Sul)
Paraíba
Monteiro
Montadas
Paraná
Guarapuava
Pinhais
Pernambuco
Petrolina
Toritama
Piauí
Uruçuí
Santo Antônio dos Milagres
Rio de Janeiro (estado)
Campos dos Goytacazes
Nilópolis
Rio Grande do Norte
Mossoró
Senador Georgino Avelino
Rondônia
Porto Velho
Teixeirópolis
Roraima
Caracaraí
São Luís (Roraima)
Santa Catarina
Lages
Bombinhas
São Paulo (estado)
Iguape
Águas de São Pedro
Sergipe
Poço Redondo
General Maynard
Tocantins
Formoso do Araguaia
Axixá do Tocantins
Lista de capitais do Brasil por área
Lista de estados do Brasil por área
