CAN
Bandeira da Comunidade Andina
Bloco regional
Organização intergovernamental
26 de maio
1969
Acordo de Cartagena
Lima
Peru
Bolívia
Colômbia
Equador
Língua espanhola
Línguas quíchua
Língua aimará
Freddy Ehlers
Língua castelhana
Bloco econômico
América do Sul
Chile
Venezuela
1996
Produto interno bruto
8 de Dezembro
2004
Declaração de Cuzco
União de Nações Sul-Americanas
Mercosul
Zona de livre comércio
1973
1976
Augusto Pinochet
1979
1983
1991
1992
1993
1994
Tarifa Externa Comum
1997
1998
Buenos Aires
2000
2002
2003
6 de Abril
2006
Estados Unidos
19 de Abril
Hugo Chávez
20 de Setembro
Nova York
18 de agosto
2010
Argentina
Brasil
24 de novembro
Paraguai
Uruguai
México
Panamá
Marrocos
Parlamento Andino
23 de Janeiro
1768
Passaporte Andino
Visto
Turista
País
2001
Segurança
Área de Livre Comércio das Américas
Mercado Comum Centro-Americano
Integração econômica
União aduaneira
Banco de Desenvolvimento da América Latina
Integração sul-americana
Passaporte andino
Bandeira da Comunidade Andina de Nações
Barreira alfandegária
Comércio internacional
Economia internacional
Integração regional
Livre-comércio
Nação mais favorecida
Organização regional
Protecionismo
Regionalismo (relações internacionais)
Tarifa externa comum
Área de livre-comércio
Integração econômica total
Mercado comum
União monetária
União económica e monetária
União fiscal
Zona preferencial de comércio
Acordo comercial
Acordo de comércio preferencial
Tratado de livre-comércio
União Econômica Eurasiática
Zona de Comércio Livre Continental Africana
Zona Tripartida de Livre-Comércio
Comunidade da África Oriental
Comunidade Económica dos Estados da África Ocidental
Comunidade Económica e Monetária da África Central
Comunidade Econômica dos Estados da África Central
União Aduaneira da África Austral
União Econômica e Monetária do Oeste Africano
Associação Latino-Americana de Integração
Comunidade do Caribe
Mercado Comum do Sul
Tratado Norte-Americano de Livre-Comércio
Organização dos Estados do Caribe Oriental
"Tratado de Livre-Comércio entre Estados Unidos, América Central e República Dominicana"
ANSA+3
Associação Sul-Asiática para a Cooperação Regional
Conselho de Cooperação do Golfo
Comunidade Econômica Eurasiática
Acordo Centro-Europeu de Livre-Comércio
Espaço Económico Europeu
União Aduaneira da União Europeia
União Europeia
Aliança do Pacífico
Franco CFP
Acordo Estratégico Trans-Pacífico de Associação Econômica
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Catálogo de autoridades de nomes e títulos da Catalunha
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
Biblioteca Nacional do Brasil
