Dólar internacional
Paridade do poder de compra
República Popular da China
Fundo Monetário Internacional
República da China
Porto Rico
União Europeia
Hong Kong
Macau
Dólar Geary-Khamis
Banco Mundial
The World Factbook
Produto mundial bruto
China
Estados Unidos
Índia
Japão
Alemanha
Rússia
Indonésia
Brasil
Reino Unido
França
México
Itália
Turquia
Coreia do Sul
Espanha
Canadá
Arábia Saudita
Irã
Austrália
Tailândia
Egito
Taiwan
Polónia
Nigéria
Paquistão
Malásia
Países Baixos
Argentina
Filipinas
África do Sul
Bangladesh
Colômbia
Emirados Árabes Unidos
Vietname
Iraque
Argélia
Singapura
Bélgica
Suécia
Suíça
Roménia
Cazaquistão
Chile
Áustria
Peru
Chéquia
Noruega
Ucrânia
República da Irlanda
Myanmar
Catar
Israel
Venezuela
Portugal
Marrocos
Grécia
Hungria
Kuwait
Dinamarca
Sri Lanka
Finlândia
Uzbequistão
Etiópia
Equador
Angola
Nova Zelândia
Sudão
Omã
Eslováquia
Bielorrússia
República Dominicana
Azerbaijão
Tanzânia
Quénia
Bulgária
Guatemala
Gana
Tunísia
Síria
Turquemenistão
Panamá
Sérvia
Croácia
Costa do Marfim
Lituânia
Uganda
Camarões
Jordânia
Líbano
Bolívia
Costa Rica
Nepal
Uruguai
Líbia
Eslovénia
Bahrein
Zâmbia
Paraguai
Afeganistão
República Democrática do Congo
Camboja
Luxemburgo
El Salvador
Letónia
Laos
Honduras
Senegal
Bósnia e Herzegovina
Estónia
Trindade e Tobago
Mali
Madagascar
Mongólia
Geórgia
Botswana
Iémen
Nicarágua
Burquina Fasso
Moçambique
Gabão
Albânia
Zimbabwe
Brunei
Chipre
Macedónia do Norte
Papua-Nova Guiné
Chade
Tajiquistão
Arménia
República do Congo
Maurícia
Guiné
Guiné Equatorial
Benim
Namíbia
Jamaica
Ruanda
Quirguistão
Malawi
Níger
Moldávia
Kosovo
Malta
Haiti
Somália
Islândia
Sudão do Sul
Mauritânia
Togo
Serra Leoa
Bahamas
Montenegro
Essuatíni
Eritreia
Fiji
Suriname
Burundi
Butão
Maldivas
Lesoto
Guiana
Timor-Leste
Libéria
Barbados
Cabo Verde
Djibouti
Gâmbia
República Centro-Africana
Guiné-Bissau
Belize
Seicheles
Santa Lúcia
Antígua e Barbuda
San Marino
Granada (país)
São Cristóvão e Nevis
Ilhas Salomão
Comores
São Vicente e Granadinas
Samoa
Vanuatu
São Tomé e Príncipe
Domínica
Tonga
Estados Federados da Micronésia
Palau
Kiribati
Ilhas Marshall
Nauru
Tuvalu
Territórios palestinos
Aruba
Bermudas
Ilhas Cayman
São Martinho (Países Baixos)
Cuba
Coreia do Norte
Estado da Palestina
Nova Caledônia
Mónaco
Ilha de Man
Polinésia Francesa
Jersey
Liechtenstein
Guam
Ilhas Virgens Americanas
Guernsey
Andorra
Curaçau
Gronelândia
Gibraltar
Ilhas Faroe
Saara Ocidental
Samoa Americana
Marianas Setentrionais
Ilhas Turks e Caicos
Coletividade de São Martinho
Ilhas Virgens Britânicas
Ilhas Malvinas
Ilhas Cook
São Pedro e Miquelão
Anguila
Wallis e Futuna
Montserrat
Santa Helena (território)
Niue
Tokelau
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB (PPC) passado e futuro
Lista de países por PIB (PPC) per capita passado e futuro
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Lista de países por Índice de Desenvolvimento Humano
Lista de países por crescimento do PIB
CIA World Factbook
Listas de países e territórios
Produto interno bruto
Lista de países por estimativas do produto interno bruto nominal
Lista de países por estimativas do produto interno bruto nominal per capita
Lista de regiões por PIB passado
Lista de países por estimativas do produto interno bruto em paridade de poder de compra
Lista de países por estimativas do produto interno bruto em paridade de poder de compra e per capita
Lista de países por taxa de crescimento real de PIB
Produto nacional bruto
Lista de países da África por PIB
Lista de países da África por PIB (PPC)
Lista de países da América por PIB nominal
Lista de países da América Latina por PIB nominal
Lista de países da América Latina e Caribe por crescimento do PIB
Lista de países e territórios da América Latina e Caribe por PIB (PPC)
Lista de países da América do Sul por PIB (PPC)
Lista de países da América do Sul por PIB per capita
Lista de países da Ásia por PIB nominal
Lista de países da Oceania por PIB nominal
Lista de estados e territórios da Austrália por PIB
Lista de unidades federativas do Brasil por PIB
Lista de unidades federativas do Brasil por PIB per capita
Lista de províncias e territórios do Canadá por PIB
Lista de estados da Nigéria por PIB
Lista de estados dos Estados Unidos por PIB
Primeiro Mundo
Segundo Mundo
Terceiro Mundo
Quarto Mundo
Micronacionalismo
Teoria dos três mundos
País desenvolvido
País em desenvolvimento
País subdesenvolvido
Países recentemente industrializados
Países pobres altamente endividados
Liberdade econômica
Índice de Liberdade Econômica
Índice de Desenvolvimento Humano
Índice de pobreza humana
Lista de países por índice de pobreza
Terceiro-mundismo
BRIC
G20
Grupo dos 77
Lista de Estados soberanos
Happy Planet Index
Índice de Desempenho Ambiental
Lista de países por emissões de dióxido de carbono per capita
Lista de países por risco de desastre natural
Lista de países por código do COI
Lista de códigos de país da FIFA
Lista de códigos de país FIPS
ISO 3166-1
Prefixo naval
Lista de códigos telefónicos
Lista de TLDs
Lista de países por esperança média de vida à nascença
Lista de Estados soberanos e territórios dependentes por taxa de fecundidade
Lista de países por população imigrante
Lista de países por índice de mortalidade
Lista de países por índice de mortalidade infantil
Lista de países por taxa de natalidade
Lista de países por população
Lista de países por crescimento populacional
Lista de países por densidade populacional
Lista de países por principais grupos religiosos
Lista de países por população budista
Igreja Católica no mundo
Lista de países por população muçulmana
Protestantes por país
Lista de países por irreligião
Lista de países e territórios por índice de urbanização
Índice Composto de Capacidade Nacional
Índice de Capital Humano
Índice de Competitividade Mundial
Índice Internacional de Direitos de Propriedade
Lista de países por igualdade de riqueza
Lista de países por dívida externa
Lista de países por dívida pública
Lista de países por exportações
Lista de países por importações
Lista de países por índice de inflação
Índice de Inovação Global
Lista de países pelo número de milionários
Lista de países por número de bilionários
Lista de moedas
Lista das maiores perdas financeiras mundiais
Índice de Prosperidade Legatum
Lista de países por riqueza total
Lista de países por salário mínimo
Lista dos países que mais utilizam a tecnologia
Lista de países por carga tributária
Lista de países por consumo de álcool
Lista de países por consumo de cerveja por pessoa
Idade legal para consumo de bebidas alcoólicas
Consumo anual de cannabis por país
Lista de países por uso de canábis na vida adulta
Lista de países por número de celulares em uso
Lista de países por penetração de smartphones
Lista de países por número de assinaturas de Internet de banda larga
Lista de países por número de usuários de Internet
Lista de países por velocidades de conexão de Internet
Lista de países pelo consumo total de energia per capita
Lista de países por consumo de eletricidade
Lista de países por produção de eletricidade
Lista de países por produção de eletricidade renovável
Lista de países por exportação de gás natural
Lista de países por produção de gás natural
Lista de países por reservas comprovadas de gás natural
Lista de países por exportação de petróleo
Lista de países por produção de petróleo
Lista de países por reservas de petróleo
Lista de países por produção de alumínio
Lista de países por produção de antimônio
Lista de países por produção de bauxita
Lista de países por produção de bismuto
Lista de países por produção de carvão
Lista de países por reservas de carvão
Lista de países por produção de chumbo
Lista de países por produção de cobre
Lista de países por produção de crômio
Lista de países por produção de diamante
Lista de países por produção de estanho
Lista de países por produção de ferro
Lista de países por produção de lítio
Lista de países por produção de magnésio
Lista de países por produção de manganês
Lista de países por produção de mercúrio
Lista de países por produção de níquel
Lista de países por produção de ouro
Lista de países por produção de platina
Lista de países por produção de prata
Lista de países por produção de urânio
Lista de países por produção de zinco
Lista de países por número de aeroportos
Lista de países por mercados automotivos
Lista de países por veículos per capita
Lista de países por produção de veículos automóveis
Lista de países por número de heliportos
Lista de países por dimensão da malha ferroviária
Estatísticas totais de metropolitanos por país
Lista de países e territórios por área
Lista de capitais nacionais
Lista de Estados soberanos e territórios dependentes por continente
Lista de países por extensão total de contorno
Lista de fronteiras terrestres internacionais por comprimento
Lista de países que possuem fronteiras terrestres com apenas um país
Lista das extensões litorâneas dos países
Lista de países por ponto mais alto
Lista de pontos mais altos por país
Lista de países por ponto mais a sul
Lista de países por ponto mais a norte
Lista de países por quantidade de armas de fogo
Lista de artilharia por país
Lista de batalhas
Lista de veículos blindados de combate por país
Índice Global da Paz
Lista de forças de operações especiais
