Bandeira da Polónia
Brasão de armas da Polónia
Mazurek Dąbrowskiego
Mazurca
União Europeia
Varsóvia
Língua polaca
Gentílico
Polacos
República parlamentarista
Lista de presidentes da Polónia
Andrzej Duda
Lista de primeiros-ministros da Polônia
Donald Tusk
Cristianismo
14 de abril
966
Reino da Polônia (1025–1385)
18 de abril
1025
Reino da Polônia (1385–1569)
1385
República das Duas Nações
1 de julho
1569
Partilhas da Polônia
24 de outubro
1795
Polônia do Congresso
9 de junho
1815
Independência
Segunda República Polonesa
11 de novembro
1918
Invasão da Polônia
Segunda Guerra Mundial
1 de setembro
1939
República Popular da Polónia
8 de abril
1945
Terceira República Polonesa
13 de setembro
1989
1 de maio
2004
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Alemanha
Rússia
Chéquia
Eslováquia
Ucrânia
Belarus
Lituânia
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Trilhão
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Bilhão
Lista de países por PIB nominal
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Złoty
ISO 4217
Fuso horário
Tempo Universal Coordenado
Horário de verão
ISO 3166-1
Lista de TLDs
.pl
Lista de códigos telefónicos
Português europeu
Português brasileiro
Europa Central
Bielorrússia
Mar Báltico
Oblast de Kaliningrado
Exclave
Estado unitário
Subdivisões da Polônia
Mieszko I
Catolicismo
Grão-Ducado da Lituânia
União de Lublin
Comunidade Polaco-Lituana
Reino da Prússia
Império Russo
Áustria
Primeira Guerra Mundial
Alemanha nazista
União Soviética
Pacto Molotov-Ribbentrop
República Popular da Polônia
Cortina de Ferro
Revoluções de 1989
Comunismo
Patrimônio Mundial
UNESCO
Língua polonesa
História da Polónia
Antiguidade Tardia
Grupo étnico
Etnia
Idioma
Eslavos
Cultura lusaciana
Rio Neisse
Idade do Ferro
Dinastia Piast
Miecislau I
Religião oficial
Estado
Invasão mongol da Europa
Horda Dourada
Ladislau I da Polónia
Lista de reis da Polónia
Casimiro III da Polônia
Peste Negra
Dinastia Jaguelônica
Szlachta
Europa Ocidental
Sejm
O Dilúvio (história polonesa)
Revolta de Chmielnicki
Anarquismo
Liberum veto
Partições da Polónia
Prússia
Napoleão Bonaparte
Ducado de Varsóvia
Guerras napoleónicas
Congresso de Viena
Tsar
Galícia (Europa Central)
Cracóvia
História da Polónia (1939–1945)
Campos de concentração polacos
Campos de extermínio na Polónia ocupada durante a Segunda Guerra Mundial
Aliados
Catorze Pontos
Presidente dos Estados Unidos
Woodrow Wilson
Guerra Polaco-Soviética
Exército Vermelho
Józef Piłsudski
Alemanha Nazi
Pacto Ribbentrop-Molotov
Judeus
Reino Unido
Linha Curzon
Linha Óder-Neisse
Migração humana
Alemães
Ucranianos
Władysław Gomułka
Leonid Brezhnev
Alemanha Oriental
Josef Stalin
Conferência de Yalta
Moscou
Governo polonês no exílio
Londres
Aliados (Segunda Guerra Mundial)
Winston Churchill
Franklin Delano Roosevelt
Soberania
Bloco de Leste
Wilno
Lwów
Pacto de Varsóvia
Guerra Fria
Nações comunistas
Bolesław Bierut
Liberdades civis
Edward Gierek
Anticomunista
Sindicato
Solidarność
Lech Wałęsa
Europa Oriental
OTAN
Leszek Balcerowicz
Economia planificada
Socialismo
Economia de mercado
Império Soviético
PIB
Direitos humanos
Liberdade de expressão
Internet
Direitos políticos
Freedom House
Grupo de Visegrád
Organização do Tratado do Atlântico Norte
República Checa
Hungria
Poloneses
Espaço Schengen
Estados-membros da União Europeia
Liberdade de circulação
Europa
Ex-repúblicas soviéticas
Agência Espacial Europeia
Comitê de Ajuda ao Desenvolvimento
Geografia da Polónia
Mapa topográfico
Europa do norte
Sudetos
Karkonosze
Cárpatos
Rysy
Vístula
Oder
Bug Ocidental
Masúria
Lista de florestas na Polónia
Clima
Clima temperado
Montanhas Tatra
Glaciação
Quaternário
Morena (geologia)
Areia
Marga
Idade do gelo
Loess
Calcário
Granito
Basalto
Lago
Montanha
Beskides
Parque Nacional Wolin
Szczecin
Rio Biebrza
Parque Nacional Białowieża
Lublin
Katowice
Częstochowa
Sosnowiec
Kielce
Rio Oder
Rio Warta
Rio Bug Ocidental
Delta
Rio Neman
Danúbio
Mar Negro
Rio Dniestre
Viquingues
Dracar
Idade Média
Gedano
Demografia da Polónia
Holocausto
Linha Oder-Neisse
Emigração
Taxa de natalidade
República da Irlanda
Estados Unidos
Voivodias da Polónia
Mazóvia
Białystok
Podláquia
