União de Nações Sul-Americanas
União Africana
Conferência
Multilateralismo
Cooperação
África
América do Sul
Desenvolvimento econômico
Comércio exterior
Multipolaridade
Cooperação sul-sul
Brasil
Nigéria
Presidente da Nigéria
Olusegun Obasanjo
Presidente do Brasil
Luiz Inácio Lula da Silva
Cúpula América do Sul - Países Árabes
Abuja
30 de novembro
2006
Ilha de Margarita
Venezuela
26 de setembro
27 de setembro
2009
Malabo
Guiné Equatorial
20 de janeiro
23 de janeiro
2013
Líbia
Guerra Civil Líbia (2011)
Conferência Ibero-americana
Foro de Cooperação América Latina - Ásia do Leste
Diálogo Ásia-Europa
Estados-membros da União de Nações Sul-Americanas
Argentina
Bolívia
Chile
Colômbia
Equador
Guiana
Paraguai
Peru
Suriname
Uruguai
México
Panamá
Bandeira da União de Nações Sul-Americanas
Banco do Sul
Conselho de Defesa Sul-Americano
Conselho Energético Sul-Americano
Conselho de Saúde Sul-Americano
Instituto Sul-Americano de Governo em Saúde
Parlamento Sul-Americano
Presidente da União de Nações Sul-Americanas
Secretário-geral da União de Nações Sul-Americanas
Declaração de Cusco
Tratado Constitutivo da Unasul
Cúpula Sul-Americana
4.ª Cúpula da Unasul
II Cúpula América do Sul - Países Árabes
Integração sul-americana
Iniciativa para a Integração da Infraestrutura Regional Sul-Americana
Corredor bioceânico
Estrada do Pacífico
Ferrovia Transoceânica
Rodovia Pan-Americana
Anel Energético Sul-Americano
Gás de Camisea
Gasoduto Transcaribenho
Grande Gasoduto do Sul
