Fundação (instituição)
Portugal
António de Sommer Champalimaud
2004
17 de dezembro
Pedrouços (Lisboa)
Lisboa
Linha de Cascais
Rio Tejo
Porto de Lisboa
Companhia Carris de Ferro de Lisboa
Lista de carreiras da Carris
Estação Ferroviária de Algés
Euro
Leonor Beleza
Cancro
Neurociências
Neurónio
Comportamento
Ordem do Mérito
Goa
Torre de Belém
Auditório
Anfiteatro
Danone
Prémio António Champalimaud de Visão
2007
Aravind Eye Care System
Índia
2008
Universidade Johns Hopkins
2009
Helen Keller
2010
2011
Oncocercose
2012
2013
2014
Napoleone Ferrara
Estados Unidos
The Scientist
Público (jornal)
Correio da Manhã (Portugal)
Diário de Notícias (Portugal)
Lusa (agência de notícias)
Base Virtual Internacional de Autoridade
Global Research Identifier Database
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
