Gendarmaria
Governo do Brasil
Ministério da Justiça e Segurança Pública (Brasil)
Ricardo Lewandowski
Brasil
Brasília
Distrito Federal (Brasil)
2004
Segurança Pública
Secretaria Nacional de Segurança Pública
Márcio Thomaz Bastos
Polícias militares do Brasil
Polícias civis do Brasil
Corpos de bombeiros militares do Brasil
Unidades federativas do Brasil
Serviço Nacional de Informações
ABIN
Guarda Nacional (Brasil)
Ministro de Estado
Gama (Distrito Federal)
Ministério da Justiça
Delegado
Agente
Homicídio
Paraíba
Rio Grande do Norte
Goiás
Teresina
Piauí
Espírito Santo (estado)
Mato Grosso do Sul
São Paulo (estado)
Atos de violência organizada no Brasil em 2006
Rio de Janeiro (estado)
Sérgio Cabral Filho
2007
Santa Catarina
Bahia
Antonio Anastasia
Maranhão
Rio Grande do Sul
José Ivo Sartori
Jogos Olímpicos de Verão de 2016
Rio de Janeiro (cidade)
Assembleia Legislativa do Estado do Rio de Janeiro
Crise da segurança pública no Espírito Santo em 2017
Polícia Militar do Estado do Espírito Santo
Camilo Santana
Sergio Moro
Flávio Dino
Ministro da Justiça
Atentados no Rio Grande do Norte em 2023
Ministério da Segurança Pública (Brasil)
Força Nacional de Apoio Técnico de Emergência
Forças policiais do Brasil
Polícia Federal (Brasil)
Polícia Rodoviária Federal
Guarda Portuária
Departamento de Polícia Legislativa
Polícia do Senado Federal
Polícias das Forças Armadas do Brasil
Polícia da Aeronáutica
Polícia do Exército (Brasil)
Polícia Civil do Estado do Acre
Polícia Civil do Estado de Alagoas
Polícia Civil do Estado do Amazonas
Polícia Civil do Estado da Bahia
Polícia Civil do Estado do Ceará
Polícia Civil do Distrito Federal
Polícia Civil do Estado do Espírito Santo
Polícia Civil do Estado de Goiás
Polícia Civil do Estado do Maranhão
Polícia Civil do Estado de Mato Grosso
Polícia Civil do Estado de Mato Grosso do Sul
Polícia Civil do Estado de Minas Gerais
Polícia Civil do Estado do Pará
Polícia Civil do Estado da Paraíba
Polícia Civil do Estado do Paraná
Polícia Civil do Estado de Pernambuco
Polícia Civil do Estado do Piauí
Polícia Civil do Estado do Rio de Janeiro
Polícia Civil do Estado do Rio Grande do Norte
Polícia Civil do Estado do Rio Grande do Sul
Polícia Civil do Estado de Rondônia
Polícia Civil de Roraima
Polícia Civil do Estado de Santa Catarina
Polícia Civil do Estado de São Paulo
