Cinema
História do cinema
Cinema lusófono
Processos cinematográficos
Roteiro
Tratamento (cinema)
Pré-produção
Filmagem
Produção cinematográfica
Pós-produção
Sonorização
Decupagem
Montagem
Legenda
Dublagem
Continuidade (ficção)
Banda sonora
Efeito sonoro
Efeito especial
Making-of
Cinema da Alemanha
Cinema em Angola
Cinema da Argentina
Cinema da Armênia
Cinema do Azerbaijão
Cinema do Brasil
Cinema da China
Cinema do Chile
Cinema da Coreia do Sul
Cinema da Escandinávia
Cinema da Espanha
Cinema dos Estados Unidos
Cinema da França
Cinema da Geórgia
Cinema da Índia
Cinema da Itália
Cinema do Irão
Cinema do Japão
Cinema do México
Cinema da Noruega
Cinema de Portugal
Cinema do Reino Unido
Cinema da Rússia
Cinema da Suécia
Cinema de Taiwan
Cinema da Turquia
Cinema da União Soviética
Ator
Figurante
Diretor de arte
Continuísta
Diretor de cinema
Diretor de fotografia
Figurino
Luz de palco
Diretor de som
Produtor cinematográfico
Roteirista
Crítica de cinema
Montador (cinema)
Ensemble cast
Filme de ação
Animação
Ficção apocalítica e pós-apocalítica
Filme de assalto
Filme de aventura
Comédia cinematográfica
Comédia dramática
Comédia romântica
Filme sobre crimes
Curta-metragem
Documentário
Drama (cinema e televisão)
Filme épico
Cinema western
Favela movie
Filme de ficção científica
Film noir
Filme de guerra
Filme gótico
Filme musical
Filme policial
Filme pornográfico
Romance (cinema)
Seriado
Filme de suspense
Filme de terror
Dogma 95
Expressionismo alemão
Hollywood
Cinema novo
Kino-Pravda
Neorrealismo
Nouvelle vague
Chanchada
Found footage
Cinema surrealista
Câmera de vídeo
Película cinematográfica
Projetor cinematográfico
Moviola
Antena com refletor
Fotograma
Cinematógrafo
Praxinoscópio
Rotoscópio
Lista de prêmios de cinema
Prêmios Annie
Prêmio APCA
Prémios Áquila
Prémio Autores
British Academy of Film and Television Arts
Prêmio Bodil
Festival de Brasília
César (cinema)
David di Donatello
Framboesa de Ouro
Prêmios Globo de Ouro
Globos de Ouro (Portugal)
Prémios Goya
Grande Prêmio do Cinema Brasileiro
Guldbagge
Prêmios Independent Spirit
Kikito
Leão de Ouro
Óscar
Palma de Ouro
Prêmios Satellite
Prêmio Saturno
Prémios Sophia
Urso de Ouro
Lista de festivais de cinema
Festival Internacional de Cinema de Berlim
Festival de Cannes
Festroia
Festival Internacional de Cinema da Figueira da Foz
Festival de Cinema de Gotemburgo
Festival de Gramado
Festival Internacional do Novo Cinema Latino-Americano de Havana
Festival Internacional de Cinema de Istambul
Festival Internacional de Cinema de Moscou
Festival Paulínia de Cinema
Fantasporto
Festival do Rio
Mostra Internacional de Cinema de São Paulo
Festival Internacional de Cinema de San Sebastián
Festival Sundance de Cinema
Festival Internacional de Cinema de Toronto
Festival Internacional de Cinema de Veneza
Festival de Cinema de Tribeca
Filmes
Cinemas
Cineasta
Cinema de terror
Curtas-metragens
Festival de Veneza
Festival de Berlim
Festival Internacional de Cinema de Melbourne
Festival Internacional de Cinema de Locarno
Festival Internacional de Cinema de Karlovy Vary
Festival Internacional de Cinema de Edimburgo
Festival Internacional de Cinema da Índia
Festival de Cinema de Sydney
Festival Internacional de Cinema de Mar del Plata
Argentina
Semana Internacional de Cine de Valladolid
Valladolid
Espanha
Festival de Cinema de Londres
Festival de Cinema de Cracóvia
Festival Internacional de Cinema de Chicago
Molodist - Festival Internacional de Cinema de Kiev
Festival Internacional de Cinema de Roterdão
Festival de Cinema de Telluride
Festival Internacional de Cinema de Montreal
Festival Internacional de Cinema de Tóquio
Fort Lauderdale International Film Festival
Festival Internacional de Cinema de Guadalajara
Festival Internacional de Cinema de Xangai
Itália
Londres
Federação Internacional de Associações de Produtores Cinematográficos
Longas-metragens
Festival de cinema de animação de Annecy
Anima Mundi (festival)
Academia de Artes e Ciências Cinematográficas
International Standard Book Number
Festival Internacional de Cinema de Alexandria
Festival Biarritz Amérique Latine
Festival Internacional de Cinema do Brasil
Festival Internacional de Cinema de Cartagena
Cine PE
Festival de Cinema Latino-Americano de Toulouse
Cinefantasy
Festival de Cinema de Países de Língua Portuguesa
Cineserra – Festival do Audiovisual da Serra Gaúcha
CRASH – Mostra Internacional de Cinema Fantástico
Festival Internacional de Cinema em Super 8 de Curitiba
Festival Curta Cinema
Curta Taquary
Festival de Cinema Fantástico de Porto Alegre
Festival Brasil de Cinema Internacional
Festival de Cinema Italiano
Festival Ecrã
Festival Internacional de Cinema Infantil
Festival de Cinema de Gante
Festival de Havana
Festival Internacional de Curtas-Metragens de Kiev
Los Angeles Brazilian Film Festival
Mostra MacaBRo
Festival Internacional de Cinema de Miami
Festival Mix Brasil de Cultura da Diversidade
Festival de Cinema de Munique
My French Film Festival
Amandaprisen
Festival de Cinema do Paraná
Festival Santa Cruz de Cinema
Santa Maria Vídeo e Cinema
Festival Internacional de Curtas-Metragens de Upsala
Festival Varilux de Cinema Francês
Festival de Cinema de Vassouras
Festival de Cinema de Vitória
Watersprite Film Festival
WorldFest-Houston International Film Festival
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
Dicionário Histórico da Suíça
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Nacional da Dieta
