Federação desportiva
FIFA
BSWW
1992
Bola
Quadra esportiva
Areia
Brasil
Jogos Olímpicos
Copa do Mundo de Beach Soccer
Português brasileiro
Português europeu
Futebol
Bandeira
Amarelo
Futebol de salão
Juiz
Minutos
Gol
Cartão amarelo
Vermelho
Belo Horizonte
Anos 1930
Década de 1960
Santos
Rio de Janeiro (cidade)
Miami Beach
Estados Unidos
Itália
Argentina
1994
Copacabana
Televisão
Copa do Mundo de Futebol de Areia
América do Sul
Europa
Ásia
Liga Europeia de Futebol de Praia
Taça da Europa de Futebol de Praia
2004
Desporto
2005
Praia de Copacabana
Confederação Brasileira de Beach Soccer
Ir para cima
International Standard Book Number
Blog
Basquetebol
Corfebol
Hoop takraw
Netball
Slamball
Streetball
Voleibol
Biribol
Bossaball
Futevôlei
Manbol
Peteca
Faustebol
Sepak takraw
Voleibol de praia
Voleibol de 9
Voleibol Adaptado
Voleibol na neve
Voleibol sentado
Ecuavóley
Tênis
Badminton
Futebol-tênis
Pádel
Autobol
Golbol
Ultimate Tak Ball
Tchoukball
Ultimate
Andebol
Andebol de campo
Andebol de praia
Futebol australiano
Calcio Fiorentino
Cuju
Futebol gaélico
Harpasto
Futebol de regras internacionais
Kemari
Futlama
Futebol de pântano
Futebol 7
Futsal
Showbol
Futebol de sete
Futebol de cinco
Futebol de rua
Futebol em cadeira motorizada
Futebol freestyle
Rugby
Rugby league
Rúgbi de praia
Rugby em cadeira de rodas
Rugby sevens
Touch rugby
Futebol gridiron
Futebol americano
Futebol americano de arena
Futebol canadense
Flag football
Bocha
Bolão (boliche)
Boliche
Curling
Lawn bowls
Petanca
Ice stock sport
Camogie
Gateball
Hurling
Basebol
Softbol
Pesäpallo
Críquete
Bete-ombro
Twenty20
Bandy
Broomball
Floorball
Hóquei em Campo
Hóquei no gelo
Hóquei em linha
Hóquei em patins
Hóquei de rua
Hóquei de sala
Lacrosse
Box lacrosse
Polo (esporte)
Polo aquático
Horseball
Pato (esporte)
Airsoft
Buzkashi
Kabaddi
Kin-Ball
Paintball
Queimada (jogo)
Roller derby
