Cachorro-do-mato
Estado de conservação
Espécie quase ameaçada
Lista Vermelha da IUCN
Classificação científica
Reino (biologia)
Animal
Filo
Cordado
Classe (biologia)
Mamífero
Ordem (biologia)
Carnívoros
Família (biologia)
Canídeos
Género (biologia)
Espécie
Nomenclatura binomial
Peter Wilhelm Lund
Nome científico
Espécie (biologia)
América do Sul
Floresta
Dasipodídeos
Clamiforídeos
Área de vida
Aloparentalidade
Ciclo reprodutivo
Estro
Maturidade sexual
Focinho
Anta-brasileira
Tatu-galinha
Paca
Roedor
Cutia
Cutiaia
Capivara
União Internacional para a Conservação da Natureza
Habitat
Raiva (doença)
Parvovírus canino
Transmissão (medicina)
Dinamarqueses
Paleontologia
Minas Gerais
Biologia
Speothos
Mamíferos
Animalia
Tarentiano
Brasil
Holoceno
Língua tupi
Dente
Fórmula dentária
Cão-selvagem-asiático
Mabeco
Molar
Carniceiro (dente)
Ânus
Sociabilidade
Amazônia peruana
Forrageamento
Monogamia
Hermann Burmeister
Comunicação animal
Anta
Pantanal
Cerrado
Quati
Caititu
Veado
Cervídeos
Tinamídeos
Ave
Costa Rica
Panamá
América Central
Andes
Equador
Peru
Bolívia
Paraguai
Argentina
Estados do Brasil
Amazonas
Bahia
Ceará
Paraná
Mato Grosso
Mato Grosso do Sul
Amapá
Pará
Maranhão
Tocantins
Floresta de várzea
Savana
Parque Nacional Barbilha
Colômbia
Venezuela
Guianas
Departamentos da Argentina
Eldorado (departamento)
Províncias da Argentina
Misiones (província)
São Paulo (estado)
Paranapiacaba
Parque Nacional do Iguaçu
Amazônia
Desflorestação
Niquelândia
Vídeo
Câmera
Fauna
Lobo-guará
Fêmea
Rondônia
Jardim Zoológico de Brasília
Parque Zoológico de São Paulo
Chéquia
Bioparque Amazônia
Parauapebas
Município
Espécie ameaçada
Ministério do Meio Ambiente e Mudança do Clima
Reprodução
Quilômetro
São Paulo
Atropelamento
BR-163
Universidade Federal de Mato Grosso
BR-376
Ponta Grossa
Desmatamento
Cadeia alimentar
Cativeiro
Espécie nativa
Jiboia-constritora
União Internacional para Conservação da Natureza
Digital object identifier
International Standard Book Number
OCLC
ARKive
International Standard Serial Number
JSTOR
Bibcode
PubMed Identifier
Wikimedia
Chordata
Mammalia
Eutheria
Laurasiatheria
Feliformia
Nandinia binotata
Herpestidae
Helogale parvula
Herpestes ichneumon
Herpestes javanicus
Suricata
Hiena
Hiena-malhada
Hiena-castanha
Hiena-riscada
Lobo-da-terra
Felidae
Viverridae
Eupleridae
Felinae
Acinonyx
Acinonyx jubatus
Caracal
Felis
Felis bieti
Gato
Gato-da-selva
Gato-de-pallas
Gato-do-deserto
Gato-bravo-de-patas-negras
Gato-bravo
Leopardus
Leopardus braccatus
Leopardus colocolo
Gato-do-mato-grande
Leopardus guigna
Leopardus jacobita
Gato-dos-pampas
Jaguatirica
Gato-do-mato-pequeno
Gato-maracajá
Serval
Lince
Lince-do-canadá
Lince-euroasiático
Lince-ibérico
Lynx rufus
Pardofelis
Gato-marmorado
Gato-vermelho-de-bornéu
Gato-bravo-dourado-da-ásia
Prionailurus
Gato-leopardo
Gato-de-iriomote
Gato-de-cabeça-chata
Prionailurus rubiginosus
Prionailurus viverrinus
Gato-dourado-africano
Puma (género)
Puma concolor
Puma yagouaroundi
Pantherinae
Panthera
Leão
Panthera onca
Leopardo
Tigre
Leopardo-das-neves
Neofelis
Leopardo-nebuloso
Pantera-nebulosa-de-bornéu
Paradoxurinae
Binturong
Paradoxurus hermaphroditus
Hemigalinae
Prionodontidae
Prionodon pardicolor
Viverrinae
Civeta-africana
Genetta
Geneta de Angola
Gineta
Poiana
Fossa (animal)
Fossa fossana
Salanoia durrelli
Caniformia
Ursidae
Ailuropoda melanoleuca
Panda-gigante
Helarctos malayanus
Melursus ursinus
Tremarctos ornatus
Ursus
Urso-negro
Urso-pardo
Urso-polar
Urso-negro-asiático
Mefitídeos
Conepatus
Zorrilho
Jaritataca
Mephitis mephitis
Spilogale gracilis
Spilogale putorius
Procionídeos
Olingo
Bassaricyon alleni
Bassaricyon beddardi
Bassaricyon gabbii
Bassariscus
Bassarisco
Bassariscus sumichrasti
Quati-de-nariz-branco
Quati-de-cauda-anelada
Jupará
Procyon
Mão-pelada
Procyon lotor
Ailuridae
Panda-vermelho
Otariidae
Lobo-marinho
Leão-marinho
Pinípedes
Lobo-marinho-da-nova-zelândia
Lobo-marinho-de-galápagos
Lobo-marinho-antártico
Lobo-marinho-australiano
Arctocephalus townsendi
Arctocephalus tropicalis
Callorhinus ursinus
Eumetopias jubatus
Neophoca cinerea
Leão-marinho-da-patagônia
Phocarctos hookeri
Morsa
Foca
Foca-de-crista
Foca-barbuda
Halichoerus grypus
Histriophoca fasciata
Foca-leopardo
Foca-de-weddell
Lobodon carcinophagus
Elefante-marinho
Mirounga angustirostris
Elefante-marinho-do-sul
Monachus
Foca-monge-do-mediterrâneo
Foca-monge-do-havaí
Foca-da-groenlândia
Phoca
Foca-comum
Pusa
Foca-anelada
Nerpa
Mustelídeos
Atelocynus microtis
Canis
Canis adustus
Chacal-dourado
Coiote
Lobo
Cão
Chacal-de-dorso-negro
