Reino Unido
Marinha Real Britânica
Batimento de quilha
Lançamento ao mar
HMNB Devonport
Plymouth
Brasil
Marinha do Brasil
Oceano Atlântico
Arsenal de Marinha do Rio de Janeiro
Navio de assalto anfíbio
Porta-helicóptero
Deslocamento (náutica)
Tonelada
Metro
Boca (náutica)
Calado
Nó (unidade)
Quilômetro por hora
Quilômetro
Milímetro
Phalanx CIWS
M134 Minigun
FN MAG
Estaleiro
Royal Marines
Helicóptero de ataque
Navio-almirante
Barrow-in-Furness
Plymouth (Devon)
Kosovo
América Central
Guerra Civil de Serra Leoa
Oriente Médio
HMS Illustrious (R06)
Guerra do Iraque
Ásia
Erupções do Eyjafjallajökull em 2010
Intervenção militar na Líbia em 2011
Guerra Civil Líbia (2011)
Baía de Guanabara
Libra esterlina
Dólar dos Estados Unidos
Turquia
Ministério da Defesa (Brasil)
NAe São Paulo (A-12)
Diário Oficial da União
Veículo aéreo não tripulado
Enchentes e deslizamentos de terra no Litoral Norte de São Paulo em 2023
São Paulo (estado)
Belém (Pará)
Enchentes no Rio Grande do Sul em 2024
Rio Grande (Rio Grande do Sul)
NAe São Paulo
Ir para cima
Náutica
Organização Marítima Internacional
