Catar
Doha
31 de março
2009
União de Nações Sul-Americanas
Liga Árabe
Emir
Hamad Bin Khalifa Al-Thani
Unasul
Bloco econômico
Reunião de cúpula
Venezuela
Hugo Chávez
Divisa
Petro
Dólar
Moeda
Reserva internacional
Tribunal Penal Internacional
Sudão
Omar Hasan Ahmad al-Bashir
George W Bush
Agenda
Crise econômica de 2008-2009
Integração econômica
Cooperação sul-sul
Conflito israelo-palestino
Comércio
Investimento
Cúpula América do Sul - Países Árabes
Língua árabe
Língua inglesa
Língua castelhana
