Bacia do rio Paraná
Rio Tietê
Rio Paraná
Região Sul do Brasil
Região Sudeste do Brasil
Região Centro-Oeste do Brasil
Brasil
Eclusa
Barragem
Mato Grosso
Mato Grosso do Sul
Goiás
Rondônia
Tocantins
Minas Gerais
Porto
Bacia amazônica
Hidrovia
SP-333
Pongaí
Rio Piracicaba (São Paulo)
Conchas
Rio Paranaíba
Usina Hidrelétrica de São Simão
Rio Grande (Rio Grande do Sul)
Usina Hidrelétrica de Itaipu
Canal Pereira Barreto
Rio São José dos Dourados
Afluente
Santa Maria da Serra
Ártemis (Piracicaba)
Anhembi
Salto (São Paulo)
Etanol como combustível no Brasil
São Simão (Goiás)
Araçatuba
Transpetro
Mogi das Cruzes
Barragem da Penha
São Paulo (cidade)
Usina Hidrelétrica Edgard de Sousa
Santana de Parnaíba
Barragem de Pirapora do Bom Jesus
Pirapora do Bom Jesus
Tietê
UHE Barra Bonita
Barra Bonita (São Paulo)
Barragem Bariri
Usina Hidrelétrica de Ibitinga
Ibitinga
Usina Hidroelétrica Mário Lopes Leão
Promissão
Usina Hidrelétrica de Nova Avanhandava
Buritama
Barragem Três Irmãos
Pereira Barreto
Foz do Iguaçu
Paraná
Guaíra (Paraná)
Paraguai
Presidente Epitácio
Panorama (São Paulo)
Rio Pardo (Mato Grosso do Sul)
Foz
Hidrovia Paraguai-Paraná
Hidrovia Tocantins-Araguaia
Hidrovia do São Francisco
Hidrovia do Madeira
Hidrovias do Brasil
Wayback Machine
Hidrografia do Brasil
Transporte hidroviário no Brasil
Hidrovia do Solimões-Amazonas
