Tétum
Bandeira de Timor-Leste
Brasão de armas de Timor-Leste
Hino nacional de Timor-Leste
Díli
Língua portuguesa
Língua tétum
Língua inglesa
Língua indonésia
Gentílico
República
Estado unitário
Semipresidencialismo
Lista de presidentes de Timor-Leste
José Ramos-Horta
Lista de primeiros-ministros de Timor-Leste
Xanana Gusmão
Independência
Portugal
Indonésia
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Mil milhões
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Dólar dos Estados Unidos
ISO 4217
Fuso horário
Tempo Universal Coordenado
Lista de TLDs
.tl
Lista de códigos telefónicos
País
Timor
Sudeste Asiático
Exclave
Oe-Cusse Ambeno
Ataúro
Jaco
Austrália
Mar de Timor
Distrito de Beja
Distrito de Faro
Sergipe
Bahasa indonésia
Sudeste asiático
Melanésia
Oceania
Nação transcontinental
Império Português
Timor Português
Descolonização
Invasão indonésia de Timor-Leste
Ocupação de Timor-Leste pela Indonésia
Autodeterminação
Nações Unidas
Estado
Soberania
Comunidade dos Países de Língua Portuguesa
Associação de Nações do Sudeste Asiático
Cristianismo
Sudeste da Ásia
Filipinas
Linha de pobreza
Analfabetismo
Infraestrutura (economia)
Língua malaia
Organização Internacional de Normalização
Organização das Nações Unidas
União Europeia
História de Timor-Leste
Antropólogo
Caça
Agricultura
China
Escravidão
Cera
Sândalo
Perfumaria
Reino de Java
Malaios
Monumento a Nossa Senhora (Díli)
Esgoto
Frente Revolucionária de Timor-Leste Independente
União Democrática Timorense
Marxismo
Exílio
Invasão Indonésia de Timor-Leste
Timor Timur
Genocídio
Napalm
Falintil
Papa João Paulo II
Prêmio Nobel da Paz
Carlos Filipe Ximenes Belo
Nelson Mandela
Suharto
ONU
Massacre de Santa Cruz
Década de 1990
Kupang
João Gil
João Monge
Luís Represas
Missão das Nações Unidas em Timor-Leste
Colômbia
Shakira
Comunicação social
Crise timorense de 2006
Mari Alkatiri
Malásia
Nova Zelândia
Kofi Annan
Congresso Nacional para a Reconstrução de Timor-Leste
FRETILIN
Alfredo Reinado
Francisco Guterres
Património Mundial
UNESCO
Mapa topográfico
Tutuala
Geografia de Timor-Leste
Monte Ramelau
Metro
Matebian
Grau Celsius
Clima tropical
Tatamailau
Monção
Portugueses
Grupos étnicos
Austronésios
Língua tocodede
Maubara
Liquiçá
Língua galóli
Macassai
Pante Macassar
Fataluco
Lospalos
Chineses
Hacá
Década de 1970
Línguas de Timor-Leste
Constituição
Língua baiquena
Língua búnaque
Língua fataluco
Língua macalera
Língua macassai
Língua mambae
Língua quémaque
União Latina
Língua mandarim
Língua cantonesa
Língua hacá
Igreja de Santo António de Motael
Catolicismo romano
Protestantismo
Evangelicalismo
Muçulmano
Sem religião
Pancasila
Liberdade religiosa
Separação entre Igreja e Estado
Igreja Católica
Same
Díli (município)
Manufahi
Suai
Cova Lima
Liquiçá (município)
Aileu
Aileu (município)
Baucau
Baucau (município)
Lautém
Lautém (município)
Ainaro
Ainaro (município)
Gleno
Ermera (município)
Maliana
Bobonaro (município)
Política de Timor-Leste
Parlamento Nacional de Timor-Leste
Palácio Presidencial Nicolau Lobato
Forças de Defesa de Timor-Leste
Militar
Infantaria
Polícia Nacional de Timor-Leste
Petróleo
Timor Gap
Associação das Nações do Sudeste Asiático
Subdivisões de Timor-Leste
Município
Viqueque (município)
Viqueque
Manatuto (município)
Manatuto
Atauro
Vila Maumeta
Economia de Timor-Leste
Cafeeiro
Economia de mercado
Exportações
Commodities
Café
Mármore
Energia elétrica
Setor agrícola
Hectare
Leste da Ásia
Banco Mundial
Gás natural
Subsistência
Extrema pobreza
Exportação
Fundo petrolífero de Timor-Leste
Fundo Monetário Internacional
Tribunal Permanente de Arbitragem
Haia
Países Baixos
Escola Portuguesa de Díli
Alfabetização
Universidade Nacional Timor Lorosa'e
Ensino primário
Ensino secundário
Ensino médio
Esperança de vida ao nascer
Taxa de fertilidade
Desnutrição
Parteira
Tabagismo
Malária
Organização Mundial da Saúde
Medicina
Enfermagem
Obstetrícia
Ressonância magnética
Bee Timor Leste
Eletricidade de Timor-Leste
Rádio-Televisão Timor Leste
GSM
Timor Telecom
ZTE
W-CDMA
Telefone celular
Internet
Banda larga
Cultura de Timor-Leste
Austronésia
Autóctone
Crocodilo
Patrimônio Mundial
Patrimônio Cultural Imaterial
Rede de Cidades Criativas
Rede Mundial de Geoparques
Reserva da Biosfera
Registo da Memória do Mundo
Música de Timor-Leste
Poesia
Artesanato
Tecelagem
National Film and Sound Archive
Balibo
Coreia do Sul
A Guerra da Beatriz
Festival Internacional de Cinema de Melbourne
Porco
Peixe
Manjericão
Tamarindo
Legume
Milho
Arroz
Culinária de Portugal
Futebol
Estádio Nacional de Timor-Leste
Comitê Olímpico Internacional
Associação Internacional de Federações de Atletismo
Union Cycliste Internationale
Federação Internacional de Halterofilismo
Federação Internacional de Tênis de Mesa
Federação Internacional de Basquetebol
Seleção Timorense de Futebol
FIFA
Jogos do Sudeste Asiático de 2003
Jogos Olímpicos de Verão de 2004
Atenas
Grécia
Atletismo
Levantamento de peso
Boxe
Arnis
Jogos do Sudeste Asiático de 2005
Jogos da Lusofonia
Seleção Cambojana de Futebol
Feriado
Festa móvel
Páscoa
Ramadão
Islão
Ásia Latina
Constituição de Timor-Leste
Lista de Estados soberanos
Lista de Estados soberanos e territórios dependentes da Ásia
Lista de Estados soberanos e territórios dependentes da Oceania
Ilha de Timor
Relatório de Desenvolvimento Humano
CIA World Factbook
International Standard Book Number
Htm
Wayback Machine
The Sydney Morning Herald
Sydney Morning Herald
Reuters
Wikimedia
Timor-Leste
Timor pré-colonial
Lista de governadores do Timor Português
Batalha de Timor
República Democrática de Timor-Leste (1975-1976)
Referendo de independência de Timor-Leste de 1999
Crise de Timor-Leste de 1999
Força Internacional para Timor-Leste
Administração Transitória das Nações Unidas em Timor-Leste
Atentados em Timor-Leste em 2008
Lista de localidades de Timor-Leste
Municípios de Timor-Leste
Lista de postos administrativos de Timor-Leste
Lista de sucos de Timor-Leste
Eleições em Timor-Leste
Direitos LGBT em Timor-Leste
Lista de partidos políticos de Timor-Leste
Centavos de Timor-Leste
Telecomunicações de Timor-Leste
Culinária de Timor-Leste
Desporto de Timor-Leste
Pátria (hino)
Ásia
Afeganistão
Arábia Saudita
Arménia
Azerbaijão
Bangladesh
Bahrein
Brunei
Butão
Camboja
Catar
Cazaquistão
Chipre
Coreia do Norte
Egito
Emirados Árabes Unidos
Geórgia
Iémen
Índia
Irã
Iraque
Israel
Japão
Jordânia
Kuwait
Laos
Líbano
Maldivas
Mongólia
Myanmar
Nepal
Omã
Paquistão
Quirguistão
Rússia
Singapura
Síria
Sri Lanka
Tajiquistão
Tailândia
Turquemenistão
Turquia
Uzbequistão
Vietnã
Lista de estados com reconhecimento limitado
Abecásia
República Turca de Chipre do Norte
Estado da Palestina
Cisjordânia
Faixa de Gaza
Ossétia do Sul
Taiwan
Acrotíri e Deceleia
Ilhas Ashmore e Cartier
Ilhas Cocos (Keeling)
Ilha Christmas
Território Britânico do Oceano Índico
Hong Kong
Macau
Cova Lima (município)
Manufahi (município)
Maubisse
Estados membros da Comunidade dos Países de Língua Portuguesa
Angola
Brasil
Cabo Verde
Guiné-Bissau
Guiné Equatorial
Moçambique
São Tomé e Príncipe
Andorra
Argentina
Canadá
Chéquia
Chile
Conferência Ibero-americana
Costa do Marfim
Eslováquia
Espanha
Estados Unidos
França
Hungria
Irlanda
Itália
Luxemburgo
Maurícia
Namíbia
Organização dos Estados Ibero-americanos
Paraguai
Peru
Reino Unido
Romênia
Senegal
Sérvia
Uruguai
Assistência Médica Internacional
Associação das Universidades de Língua Portuguesa
Associação dos Comités Olímpicos de Língua Oficial Portuguesa
Fundação Calouste Gulbenkian
Fundação Champalimaud
Fundação Luso-Americana
Fundação Luso-Brasileira
Fundação Mário Soares
Fundação Oriente
Fundação Oswaldo Cruz
Fundação Roberto Marinho
Instituto Histórico e Geográfico Brasileiro
Médicos do Mundo
Sociedade de Geografia de Lisboa
Real Gabinete Português de Leitura
Universidade Estadual de Campinas
Universidade Federal da Bahia
Universidade Federal do Rio de Janeiro
Universidade Lusófona de Humanidades e Tecnologias
País subdesenvolvido
Benim
Burquina Fasso
Burundi
Chade
Comores
Djibouti
Eritreia
Etiópia
Gâmbia
Guiné
Lesoto
Libéria
Madagáscar
Malawi
Mali
Mauritânia
Níger
República Centro-Africana
República Democrática do Congo
Ruanda
Serra Leoa
Somália
Sudão
Sudão do Sul
Togo
Tanzânia
Uganda
Zâmbia
Zimbabwe
Haiti
Ilhas Salomão
Kiribati
Tuvalu
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Grande Enciclopédia Soviética
CiNii
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Austrália
Biblioteca Nacional da Grécia
Biblioteca Nacional do Brasil
Biblioteca Nacional de Portugal
Biblioteca Nacional de Israel
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
Medical Subject Headings
Sistema Unificado de Linguagem Médica
