Ciências pesqueiras
Insustentável
Ação Humana
Biodiversidade
Ecossistema aquático
Espécie
Previsão (estatística)
População (biologia)
Esforço de pesca
Peixe
Organização das Nações Unidas para Alimentação e Agricultura
Ecossistema marinho
Predação
Golfinho
Tartaruga-comum
Tubarão
Coral
Alga
Baleia
Atum
Merluza
Bacalhau
Oncorhynchus
Sardinha
Tamboril
Psetta maxima
Pesca
International Standard Book Number
Ecologia
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
