Academia Brasileira de Letras
19 de abril
1886
Recife (Pernambuco)
Província de Pernambuco
13 de outubro
1968
Rio de Janeiro (cidade)
Guanabara
Poesia
Crítica literária
Crítico de arte
Professor
Tradução
Magnum opus
Libertinagem
Poeta
Tradutor
1922 no Brasil
Modernismo no Brasil
Os Sapos
Semana de Arte Moderna
João Cabral de Melo Neto
Gilberto Freyre
Clarice Lispector
Joaquim Cardozo
Pernambuco
Erotismo
Pessimismo
Morte
Ateu
Cristianismo místico
Antônio Herculano de Sousa Bandeira
Engenheiro
Manuel Carneiro de Sousa Bandeira
Faculdade de Direito do Recife
João Carneiro de Sousa Bandeira
Antônio Herculano de Sousa Bandeira Filho
Paraíba
Mato Grosso
Colégio Pedro II
Sousa da Silveira
Antenor Nascentes
Escola Politécnica de São Paulo
Tuberculose
Campanha (Minas Gerais)
Teresópolis
Petrópolis
Suíça
Paul Eluard
Primeira Guerra Mundial
Cemitério São João Batista (Rio de Janeiro)
Júlio Ribeiro
Luís Guimarães Filho
Ribeiro Couto
Alceu Amoroso Lima
Hélder Câmara
Lourenço Filho
Edgar Roquette-Pinto
Gustavo Capanema
Poema-piada
Modernismo
Parnasianismo
Semana de Arte Moderna de 1922
Baco
Vou-me embora pra Pasárgada
Arquivo Nacional (Brasil)
Atlântico: revista luso-brasileira
A Cinza das Horas
Estrela da Manhã (livro)
Estrela da Vida Inteira
Cosac Naify
José Olympio
Editora do Autor
Editora Record
Nova Fronteira
Carlos Drummond de Andrade
Cecília Meireles
Dinah Silveira de Queiroz
Fernando Sabino
Paulo Mendes Campos
Rubem Braga
Rachel de Queiroz
Sóror Juana Inés de la Cruz
Maria Stuart
Friedrich Schiller
Macbeth
Shakespeare
Jean Cocteau
Sean O'Casey
The Rainmaker (peça teatral)
Thornton Wilder
Don Juan Tenorio
José Zorrilla
Frédéric Mistral
Prometeu
Epimeteu
Carl Spitteler
Bertolt Brecht
Morris West
John Ford
Edith Stein
Antero de Quental
José Albano
Mário de Andrade
Davi Arrigucci Jr.
Cia. das Letras
Modernismo brasileiro
Camargo Guarnieri
Olívia Hime
Editora Globo
International Standard Book Number
Hemeroteca Municipal de Lisboa
Wikiquote
Lista de membros da Academia Brasileira de Letras
Ciro dos Anjos
Lista de presidentes da Academia Brasileira de Letras
Lista de sócios-correspondentes da Academia Brasileira de Letras
Adelino Fontoura
Luís Murat
Afonso d'Escragnolle Taunay
Ivan Monteiro de Barros Lins
Bernardo Élis
Evandro Lins e Silva
Ana Maria Machado
Álvares de Azevedo
Coelho Neto
João Neves da Fontoura
Guimarães Rosa
Mário Palmério
Tarcísio Padilha
Eduardo Giannetti
Artur de Oliveira
Filinto de Almeida
Roberto Simonsen
Aníbal Freire da Fonseca
Herberto Sales
Carlos Heitor Cony
Joaquim Falcão
Basílio da Gama
Aluísio Azevedo
Alcides Maia
Vianna Moog
Carlos Nejar
Bernardo Guimarães
Raimundo Correia
Oswaldo Cruz
Aloísio de Castro
Cândido Mota Filho
José Murilo de Carvalho
Ailton Krenak
Casimiro de Abreu
Teixeira de Melo
