30 de novembro
1985
Argentina
Brasil
29 de julho
1986
6 de abril
1988
Uruguai
29 de novembro
6 de julho
1990
26 de março
1991
Tratado de Assunção
1992
17 de dezembro
1994
Protocolo de Ouro Preto
25 de junho
1996
Chile
Bolívia
Golpe de Estado
Paraguai
24 de julho
1998
Protocolo de Ushuaia
10 de dezembro
XXX Reunião Ordinária do Conselho do Mercado Comum
2006
29 de junho
2000
18 de fevereiro
2002
Protocolo de Olivos
Estados Unidos da América
2003
México
8 de dezembro
Declaração de Cuzco
Comunidade Sul-Americana de Nações
Pacto Andino
Zona de livre comércio
2004
Fundo para a Convergência Estrutural do Mercosul
Parlamento do Mercosul
2005
31 de dezembro
Venezuela
4 de julho
Caracas
Senado Federal do Brasil
7 de maio
2007
Livre comércio
Tratado de Livre Comércio
Congresso Brasileiro
Presidente Lula
Crise política de 2012 no Paraguai
Fernando Lugo
Bruxelas
Acordo de livre comércio Mercosul-União Europeia
Tarifas alfandegárias
Propriedade intelectual
Mercado Comum do Sul
Cidadania do Mercosul
Bandeira do Mercado Comum do Sul
Direito do Mercado Comum do Sul
Relações externas do Mercado Comum do Sul
Estados-membros do Mercosul
Colômbia
Equador
Peru
Comissão de Comércio do Mercosul
Conselho do Mercado Comum
Comissão de Representantes Permanentes do Mercosul
Reuniões do Conselho do Mercado Comum
Foro Consultivo Econômico-Social
Grupo Mercado Comum
Presidência Rotativa Pro-tempore do Mercosul
Secretaria do Mercosul
Boletim Oficial do Mercosul
Tribunal Permanente de Revisão do Mercosul
Palacete Villa Rosalba
Alto Representante-Geral do MERCOSUL
Comissão Parlamentar Conjunta
Declaração de Iguaçu
"Tratado de Integração, Cooperação e Desenvolvimento"
Protocolo Constitutivo do Parlamento do Mercosul
Integração sul-americana
Associação Mercosul de Normalização
Nomenclatura Comum do Mercosul
Placas de identificação de veículos no Mercosul
Sistema de Pagamentos em Moeda Local
Foro Empresarial União Europeia-Mercosul
Mercocidades
