Brasil
Rio Grande do Sul
Santa Catarina
Paraná
Espírito Santo (estado)
América do Sul
Família linguística
Línguas indo-europeias
Línguas itálicas
Línguas românicas
Línguas ítalo-ocidentais
Línguas galo-ibéricas
Línguas galo-itálicas
Língua vêneta
Escrita
Alfabeto latino
ISO 639
Mato Grosso
Imigração italiana no Brasil
Campanha de nacionalização
Governo Vargas
Instituto do Patrimônio Histórico e Artístico Nacional
Serafina Corrêa
Nova Erechim
Ratinho Júnior
Colombo (Paraná)
Século XIX
Branqueamento racial
Península Itálica
Vêneto
Lombardia
Trentino-Alto Ádige
Friuli-Venezia Giulia
São Paulo (estado)
Dialeto ítalo-paulista
Caxias do Sul
Porto Alegre
Vita e Stòria de Nanetto Pipetta
Correio Riograndense
Giralda Seyferth
Ethos
República Velha
Nacionalista
Estado Novo (Brasil)
II Guerra Mundial
Êxodo rural
Júlio Posenato
Darcy Luzzatto
Rovílio Costa
Alberto Stawinski
João Leonir Dall'Alba
Honório Tonial
José Clemente Pozenato
Luis De Boni
Itálico Marcon
Mário Gardelin
Arlindo Battistel
Língua portuguesa
Inventário Nacional da Diversidade Linguística
Patrimônio imaterial
Coiné
Veneza
Trento
Génova
Vicenza
Pai Nosso
Município
Antônio Prado
Barão (Rio Grande do Sul)
Bento Gonçalves (Rio Grande do Sul)
Casca (Rio Grande do Sul)
Camargo (Rio Grande do Sul)
Capinzal
Coronel Pilar
Cotiporã
Doutor Ricardo
Encantado
Fagundes Varela (Rio Grande do Sul)
Farroupilha
Flores da Cunha
Garibaldi (Rio Grande do Sul)
Guabiju
Horizontina
Ijuí
Ipê (Rio Grande do Sul)
Ipumirim
Ivorá
Marau
Nova Bassano
Nova Pádua
Nova Prata
Nova Roma do Sul
Ouro (Santa Catarina)
Paraí
Pinto Bandeira
Putinga
União da Serra
Venda Nova do Imigrante
Vila Flores
Vista Alegre do Prata
Wikiquote
Línguas do Brasil
Chipilenho
21 de agosto
2011
Wayback Machine
Glottolog
