Gandhi
Abdullah Öcalan
Aung San Suu Kyi
Emma Goldman
Loujain Al-Hathloul
Martin Luther King Jr.
Nelson Mandela
Preso
Política
Anistia internacional
Portugal
Ditadura Nacional
Estado Novo (Portugal)
Angola
Prisão de Evin
Fortaleza de Pedro e Paulo
Cadeia do Aljube
Crime político
Fascismo
Fuga de Peniche
Monumento ao prisioneiro político desconhecido
Prisioneiro de consciência
International Standard Book Number
International Standard Serial Number
Digital object identifier
