Fundo Monetário Internacional
Organização das Nações Unidas
País em desenvolvimento
País subdesenvolvido
Índice de Desenvolvimento Humano
País
Renda per capita
Produto interno bruto
Industrialização
Setor terciário
Setor quaternário
Riqueza
Educação
Esperança média de vida
Ambiguidade
Geógrafo
Reino Unido
Bélgica
Alemanha
Estados Unidos
França
Europa Ocidental
Jeffrey Sachs
Século XX
Kofi Annan
Secretário-Geral das Nações Unidas
Divisão Estatística das Nações Unidas
Japão
Coreia do Sul
Ásia
Canadá
América do Norte
Austrália
Nova Zelândia
Oceania
Europa
União Aduaneira da África Austral
Israel
Iugoslávia
Países em desenvolvimento
Europa Oriental
Comunidade de Estados Independentes
Europa Central
Nações Unidas
União Soviética
Ásia Central
Cazaquistão
Uzbequistão
Quirguistão
Tajiquistão
Turquemenistão
Mongólia
Economia de transição
Tigres asiáticos
Hong Kong
República da China
Singapura
Chipre
República Checa
Malta
Eslováquia
Eslovênia
Lista de países por Índice de Desenvolvimento Humano
Desenvolvimento humano
PIB per capita
1980
Noruega
Islândia
Barbados
CIA
República da Irlanda
Suíça
Suécia
Países Baixos
Dinamarca
Finlândia
Áustria
Liechtenstein
Eslovénia
Luxemburgo
Espanha
Chéquia
Estónia
Itália
Emirados Árabes Unidos
Grécia
Lituânia
Polónia
Andorra
Letónia
Portugal
Hungria
Arábia Saudita
Bahrein
Chile
Croácia
Catar
Argentina
Brunei
Montenegro
Roménia
Palau
Rússia
Bielorrússia
Turquia
Uruguai
Bulgária
Panamá
Bahamas
Omã
Geórgia
Costa Rica
Malásia
Kuwait
Sérvia
Maurícia
CIA World Factbook
Grupo FTSE
FMI
OCDE
Banco Mundial
Macau
Porto Rico
San Marino
Taiwan
Bermudas
Ilhas Faroe
Mónaco
Vaticano
Antígua e Barbuda
Aruba
Ilhas Cayman
Guernsey
Jersey
Channel Islands
Curaçau
Polinésia Francesa
Gronelândia
Guam
Ilha de Man
Nauru
Nova Caledônia
Marianas Setentrionais
São Cristóvão e Nevis
São Martinho (Países Baixos)
Seicheles
Trindade e Tobago
Ilhas Turks e Caicos
Ilhas Virgens Americanas
Comitê de Ajuda ao Desenvolvimento
Organização para a Cooperação e Desenvolvimento Económico
Comissão Europeia
Pobreza
Primeiro Mundo
Segundo Mundo
Terceiro Mundo
Mundo Ocidental
Wayback Machine
O Fim da Pobreza
International Standard Book Number
Central Intelligence Agency
Estados soberanos
ONU
World Factbook
Quarto Mundo
Micronacionalismo
Teoria dos três mundos
Países recentemente industrializados
Países pobres altamente endividados
Liberdade econômica
Índice de Liberdade Econômica
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Lista de países por PIB (Paridade do Poder de Compra)
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de pobreza humana
Lista de países por índice de pobreza
Terceiro-mundismo
BRIC
G20
Grupo dos 77
China
Região administrativa especial
Irlanda
Base Virtual Internacional de Autoridade
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
Biblioteca Técnica Nacional de Praga
Medical Subject Headings
Sistema Unificado de Linguagem Médica
