Walther Moreira Salles
Difamação
Festival Internacional de Cinema de Toronto
12 de abril
1956
Rio de Janeiro
Distrito Federal do Brasil (1891-1960)
Brasileiros
Diretor de cinema
Produtor de cinema
Pedro Moreira Salles
João Moreira Salles
Fernando Moreira Salles
Prêmios Globo de Ouro
Globo de Ouro de melhor filme em língua estrangeira
Central do Brasil (filme)
British Academy of Film and Television Arts
BAFTA de melhor filme em língua não inglesa
Diários de Motocicleta
Festival Internacional de Cinema de Berlim
Urso de Ouro
Terra estrangeira
Óscar
Fernanda Montenegro
Abril Despedaçado (filme)
Rodrigo Santoro
Golden Globe Awards
Jornal
Reino Unido
The Guardian
Che Guevara
Língua inglesa
Dark Water
Linha de Passe (filme)
Sandra Corveloni
Festival de Cannes
José Rivera
Jack Kerouac
On the Road
Francis Ford Coppola
Chico ou o País da Delicadeza Perdida
A Grande Arte
Terra Estrangeira
O Primeiro Dia
"Paris, je t'aime"
On the Road (filme)
Ainda Estou Aqui (2024)
Golden Globe Award
Central do Brasil
Festival de Berlim
Independent Spirit Awards
César (cinema)
Grande Prêmio Cinema Brasil
Festival de Cinema de Veneza
Federação Internacional de Arquivo de Filmes
Economia
Pontifícia Universidade Católica do Rio de Janeiro
Licenciatura
Universidade do Sul da Califórnia
Embaixador
Embaixatriz
Meio-irmão
Língua portuguesa
Língua espanhola
Língua francesa
GT3 Brasil
Wayback Machine
Wikimedia
IMDb
Na Estrada (filme)
Ainda Estou Aqui (filme de 2024)
Claudia Moreira Salles
João Moreira Salles (banqueiro)
Moreira Sales
Instituto Moreira Salles
Itaú Unibanco
Itaúsa
O Globo
Lázaro Ramos
Breno Silveira
Nelson Pereira dos Santos
Selton Mello
Daniel Filho
José Padilha
Carlos Saldanha
Kleber Mendonça Filho
Anna Muylaert
Sônia Braga
Vladimir Brichta
Cacá Diegues
Karim Aïnouz
Base Virtual Internacional de Autoridade
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Discogs
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Notable Names Database
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Itaú Cultural
AllMovie
AlloCiné
Cinémathèque Française
Korean Movie Database
