Patoá jamaicano
Bandeira da Jamaica
Brasão de armas da Jamaica
Língua inglesa
Hino nacional da Jamaica
Kingston
Inglês jamaicano
Língua nacional
Gentílico
Monarquia constitucional
Monarca
Carlos III do Reino Unido
Governador-geral da Jamaica
Patrick Allen (político)
Lista de primeiros-ministros da Jamaica
Andrew Holness
Independência
Reino Unido
6 de agosto
1962
Quilómetro quadrado
Lista de países e territórios por área
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Dólar jamaicano
ISO 4217
Fuso horário
Tempo Universal Coordenado
Horário de verão
ISO 3166-1
Lista de TLDs
.jm
Lista de códigos telefónicos
País insular
Mar do Caribe
Grandes Antilhas
Caribe
Taínos
Línguas aruaques
Império Espanhol
Império Britânico
América
Estados Unidos
Canadá
Kingston (Jamaica)
Diáspora
Emigração
Índice de Liberdade de Imprensa
Índice de Democracia
Relatório Mundial da Felicidade
Commonwealth
Monarquia britânica
Chefe de Estado
Parlamentarismo
Parlamento da Jamaica
Povos ameríndios
Taíno
Língua taíno
Cristóvão Colombo
História da Jamaica
Aruaques
América do Sul
Cacique
Espanha
Catedral
Colônias britânicas
Espanhóis
Ocho Rios
William Penn
Língua espanhola
Banha
Javali
Henry Morgan
Pirataria nas Caraíbas
Índias Ocidentais
Brancos
Negros
Europa
Judeus
Novo Mundo
Portugal
Pirataria no Caribe
Port Royal
Escravos
Maroon (povo)
Maroons jamaicanos
Michael Manley
Jimmy Carter
Tráfico de escravos
Indianos
Chineses
Servidão
Força de trabalho
Federação das Índias Ocidentais
Port Royale
Spanish Town
Geografia da Jamaica
Imagem de satélite
Latitude
Longitude
Planície
Portmore
Port Antonio
Negril
Montego Bay
Bacia de formação de ciclones tropicais
Tempestade tropical
Furacão Charlie (1951)
Furacão Gilbert
Furacão Ivan
Furacão Dean
Furacão Gustav
Ecossistema
Floresta tropical
Floresta ripária
Pântano
Sargaço
Demografia da Jamaica
The World Factbook
Cristianismo
Igreja Adventista do Sétimo Dia
Pentecostais
Batistas
Anglicanos
Católicos
Metodistas
Igreja dos Irmãos Morávios
Irmãos de Plymouth
Escravidão
Movimento rastafári
Testemunhas de Jeová
Fé Bahá'í
Assembleia Espiritual
Budismo
Hinduísmo
Muçulmanos
Mórmons
Paróquias da Jamaica
Nova Kingston
Saint Andrew (Jamaica)
Saint Catherine
Saint James (Jamaica)
Manchester (Middlesex)
May Pen
Clarendon
Política da Jamaica
