Bioma
Floresta tropical e subtropical húmida
Floresta de coníferas
Pastagens e matagais de montanha
Floresta mediterrânea de bosques e arbustos
Floresta decídua temperada
Taiga
Tundra
Manguezal
Savana
Deserto
Afloramento (oceanografia)
Recife de coral
Fonte hidrotermal
Zona bentônica
Zona pelágica
Zona abissal
Serra Nevada (Estados Unidos)
Califórnia
World Wide Fund for Nature
Árvore
Habitat
Floresta
Abeto
Ecossistema terrestre
Sequoia-gigante
América do Norte
Floresta temperada
Biologia
Geografia
