Bandeira de Portugal
Brasão de armas de Portugal
A Portuguesa
União Europeia
Lisboa
Área Metropolitana de Lisboa
Língua portuguesa
Língua mirandesa
Língua gestual portuguesa
Gentílico
Portugueses
Política de Portugal
República
República constitucional
Estado unitário
Semipresidencialismo
Presidente da República Portuguesa
Marcelo Rebelo de Sousa
Presidente da Assembleia da República Portuguesa
José Pedro Aguiar-Branco
Primeiro-Ministro de Portugal
Luís Montenegro
Assembleia da República
Condado Portucalense
Independência de Portugal
Tratado de Zamora
1143
Manifestis Probatum
Geografia de Portugal
Quilómetro quadrado
Fronteira
Espanha
Demografia de Portugal
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
1 000 000 000
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Euro
ISO 4217
Fuso horário
Horário da Europa Ocidental
Tempo Universal Coordenado
Horário de verão
Horário de Verão da Europa Ocidental
ISO 3166-1
Lista de TLDs
.pt
Lista de códigos telefónicos
País
Lista de Estados soberanos
Europa
Península Ibérica
Oceano Atlântico
Portugal continental
Regiões autónomas de Portugal
Açores
Região Autónoma da Madeira
Nação
Porto
Latim
Língua celtibérica
Lusitanos
Celtas
Galaicos
República Romana
Germanos
Suevos
Visigodos
Invasão muçulmana da Península Ibérica
Mouros
Reconquista
Vímara Peres
Vassalo
Rei das Astúrias
Reino de Leão
Batalha de São Mamede
Reino de Portugal
Fronteira Espanha-Portugal
Tratado de Alcanizes
Estado-nação
Era dos Descobrimentos
Descobrimentos portugueses
Mundo ocidental
Império
África
Ásia
Oceânia
América do Sul
Império Português
Império global
Conquista de Ceuta
Independência do Brasil
Brasil Colônia
Implantação da República Portuguesa
Família real portuguesa
Primeira República Portuguesa
Parlamentarismo
Estado Novo (Portugal)
António de Oliveira Salazar
Democracia representativa
Revolução de 25 de Abril de 1974
Guerra Colonial Portuguesa
África Ocidental Portuguesa
África Oriental Portuguesa
Macau
República Popular da China
Império colonial
País desenvolvido
Qualidade de vida
Globalização
Índice Global da Paz
Organização das Nações Unidas
Zona Euro
Acordo de Schengen
Organização do Tratado do Atlântico Norte
Organização para a Cooperação e Desenvolvimento Económico
Comunidade dos Países de Língua Portuguesa
Forças de manutenção da paz das Nações Unidas
Era Cristã
Fernando I de Leão e Castela
Garcia II da Galiza
Idácio de Chaves
Vila Nova de Gaia
Godos
Afonso II das Astúrias
Bispo
Lugo (Espanha)
Prelado
Reino da Galiza na historiografia
Portus Cale
Grécia
Catelo
Heráldica
Igreja de São Bartolomeu de Campelo
Afonso Henriques
História de Portugal
Povos ibéricos pré-romanos
Conquista romana da Península Ibérica
Lusitânia
Galécia
Invasões bárbaras da Península Ibérica
Citânia de Briteiros
São Salvador de Briteiros
Templo romano de Évora
Évora
Pré-história da Península Ibérica
Cro-Magnon
Homem de Neandertal
Neolítico
Cinetes
Fenícios
Cartagineses
Roma Antiga
Império Romano
Viriato
Imperador romano
Diocleciano
Tarraconense
Bracara Augusta
Língua latina
História da língua portuguesa
Vândalos
Bética
Alanos
Hermerico
Braga
Toledo
Al-Andalus
Califado de Córdova
Abu Alcacim Amade ibne Huceine ibne Cassi
Castelo de Mértola
Alentejo
Alandalus
Califado Omíada
Damasco
Rio Indo
Subcontinente indiano
Sul da França
Abderramão I
Emirado de Córdova
Taifa
Viquingues na península Ibérica
Islamismo
Judeus
Guimarães
Emir
Taifa de Badajoz
Califado Abássida
Abádidas
Almorávida
Marrocos
Batalha de Zalaca
Cora (divisão territorial)
Algarbe Alandalus
Islão
Muladi
Berberes
Árabes
Síria
Omã
Nómadas
Montanhas do Atlas
Rife
Norte da África
Portugal na Reconquista
Cerco de Lisboa (1147)
Reino das Astúrias
Reino da Galiza
Portucale
Nuno Mendes
Afonso VI de Leão e Castela
Raimundo de Borgonha
"Henrique de Borgonha, conde de Portucale"
Conde D. Henrique
Afonso I de Portugal
Santarém (Portugal)
Palmela
Geraldo Sem Pavor
Papa Alexandre III
Reino de Castela
Vasco da Gama
Calecute
Índia
Crise de 1383-1385
Fernando I de Portugal
Batalha de Aljubarrota
Ceuta
Infante D. Henrique
João II de Portugal
João I de Portugal
Era de César
Anno Domini
Cabo Bojador
Gil Eanes
Bartolomeu Dias
Atlântico
Índico
Cabo da Boa Esperança
Terra Nova
Descoberta do Brasil
Descoberta do caminho marítimo para a Índia
Manuel I de Portugal
Afonso de Albuquerque
João III de Portugal
Colonização do Brasil
Batalha de Alcácer-Quibir
Sebastião de Portugal
Henrique I de Portugal
Crise de sucessão de 1580
União Ibérica
Filipe II de Espanha
Dinastia filipina
Guerra Luso-Neerlandesa
João IV de Portugal
Restauração da Independência
Sismo de Lisboa de 1755
Aclamação do Rei de Portugal
Marquês de Pombal
Louis-Michel van Loo
Claude Joseph Vernet
Golpe de estado
Tratado de Lisboa (1668)
História da mineração do Brasil
João V de Portugal
José I de Portugal
Sebastião José de Carvalho e Melo
Conde de Oeiras
América
História de Portugal (1777–1834)
"Reino Unido de Portugal, Brasil e Algarves"
Transferência da corte portuguesa para o Brasil
Inglaterra
Bloqueio Continental
Guerra Peninsular
Napoleão Bonaparte
Rio de Janeiro
João VI de Portugal
Constituição Política da Monarquia Portuguesa de 1822
Pedro IV de Portugal
D. Pedro I do Brasil
Guerras Liberais
Revolução de Setembro
Revolução da Maria da Fonte
Patuleia
Belenzada
Ato Adicional de 1852
Carta Constitucional portuguesa de 1826
Regeneração (história)
Fontes Pereira de Melo
Ultimato britânico de 1890
Carlos I de Portugal
"Luís Filipe, Príncipe Real de Portugal"
Manuel II de Portugal
José Relvas
Primeira Guerra Mundial
Exército Português
Ministro das Finanças
Universidade de Coimbra
Lista de chefes de governo de Portugal
Autoritarismo
Fascismo
Marcelo Caetano
Descolonização
Província ultramarina
Guerra colonial portuguesa
Guiné-Bissau
António de Spínola
Portugal e o Futuro
Processo Revolucionário em Curso
Verão Quente
Partido Comunista Português
Descolonização portuguesa da África
Terceira República Portuguesa
Tratado de Lisboa (2007)
Grupo dos Nove
António Ramalho Eanes
Democracia
Constituição portuguesa de 1976
Região Autónoma dos Açores
EFTA
OCDE
Comunidade Económica Europeia
Conselho Europeu
Carta topográfica
Rio Tejo
Rio Douro
Rio Minho
Rio Guadiana
Rio Vouga
Rio Sado
Rio Zêzere
Rio Mondego
Serra da Estrela
Torre (Serra da Estrela)
Altitude
Montanha do Pico
Rifte
Ilha de São Miguel
Vulcão dos Capelinhos
Ilha do Faial
Banco D. João de Castro
Ilha Terceira
Ilha do Pico
Vulcão
Placa africana
Ponto quente
