Lema
Latim
18 de fevereiro
1808
8 de abril
1946
Ministério da Educação (Brasil)
Localização geográfica
Salvador
Bahia
Brasil
Reitor
Paulo Miguez
Professor
Graduação
Pós-graduação
Vitória da Conquista
Camaçari
Lençóis
Azul
Branco
Conselho de Reitores das Universidades Brasileiras
Rede Nacional de Extensão
Índice Geral de Cursos
Orçamento
Instituição de ensino superior
Governo Federal do Brasil
Autarquia
Campus
Universidade
Unidades federativas do Brasil
Lista das melhores instituições de ensino superior do Brasil
2019
QS World University Rankings
Região Norte do Brasil
Região Nordeste do Brasil
Colégio dos Jesuítas (Salvador)
Faculdade de Medicina da Bahia
Dom João VI
Transferência da corte portuguesa para o Brasil
Decreto-Lei
2 de julho
Faculdade de Filosofia e Ciências Humanas da Universidade Federal da Bahia
Faculdade de Direito da Bahia
Escola Politécnica da Bahia
Faculdade de Ciências Econômicas da Universidade Federal da Bahia
Século XX
Edgard Santos
Segunda Guerra Mundial
Cinema Novo
Tropicália
1950
1952
Mosteiro de São Bento (Salvador)
Cruz das Almas
Universidade Federal do Recôncavo da Bahia
Barreiras
Universidade Federal do Oeste da Bahia
2011
Região Metropolitana de Salvador
Subúrbio Ferroviário de Salvador
Chapada Diamantina
2010
Webometrics Ranking of World Universities
Espanha
União Europeia
World Wide Web
Google Scholar
2013
América Latina
2014
2015
Times Higher Education World University Rankings
2016
Ensino
Relação de emprego
Pesquisa
Patente
Lista de instituições de ensino superior do Brasil
João Carlos Salles Pires da Silva
Jaques Wagner
Lista de reitores da Universidade Federal da Bahia
Reitoria
Escola de Administração da Universidade Federal da Bahia
Escola de Belas Artes da Universidade Federal da Bahia
Escola de Dança da Universidade Federal da Bahia
Escola de Música da Universidade Federal da Bahia
Escola Politécnica da Universidade Federal da Bahia
Escola de Teatro da Universidade Federal da Bahia
Terreiro de Jesus
Faculdade de Arquitetura da Universidade Federal da Bahia
Faculdade de Comunicação da Universidade Federal da Bahia
Faculdade de Direito da Universidade Federal da Bahia
Faculdade de Educação da Universidade Federal da Bahia
Faculdade de Medicina da Universidade Federal da Bahia
Instituto de Biologia da Universidade Federal da Bahia
Instituto de Ciência da Informação da Universidade Federal da Bahia
Instituto de Ciências da Saúde da Universidade Federal da Bahia
Instituto de Física da Universidade Federal da Bahia
Instituto de Geociências da Universidade Federal da Bahia
"Instituto de Humanidades, Artes & Ciências Professor Milton Santos"
Instituto de Letras da Universidade Federal da Bahia
Instituto de Matemática da Universidade Federal da Bahia
Instituto Multidisciplinar em Saúde da Universidade Federal da Bahia
Instituto de Química da Universidade Federal da Bahia
Instituto de Saúde Coletiva da Universidade Federal da Bahia
Sistema Universitário de Bibliotecas da Universidade Federal da Bahia
Teatro Martim Gonçalves
Sala de cinema
Sistema de Seleção Unificada
Exame Nacional do Ensino Médio
Medicina
Engenharia mecânica
Engenharia elétrica
Engenharia civil
Engenharia de computação
Direito
Engenharia química
Revista Afro-Ásia
Caderno CRH
Revista Brasileira de Direito Animal
Wikipédia
Painel Azulejos da Reitoria
Laboratório de Engenharia de Software da Universidade Federal da Bahia
Universidades mais antigas do mundo
Lista das 100 melhores universidades do mundo
Lista das melhores universidades brasileiras por curso de graduação
Scielo
International Standard Book Number
Unidades de São Lázaro
Faculdade de Medicina da Bahia da Universidade Federal da Bahia
Prédio da Antiga Faculdade de Medicina da Bahia
Instituto de Matemática e Estatística da Universidade Federal da Bahia
Fundação Escola Politécnica da Bahia
Museu Afro-Brasileiro
Museu de Arte Sacra (Universidade Federal da Bahia)
Museu de Arqueologia e Etnologia da Universidade Federal da Bahia
Memorial da Medicina Brasileira
Centro de Estudos Afro-Orientais
Núcleo de Estudos Interdisciplinares sobre a Mulher
Complexo Hospitalar Universitário Professor Edgard Santos
Maternidade Climério de Oliveira
