5 de março
1887
Rio de Janeiro
Município Neutro
Império do Brasil
17 de novembro
1959
Distrito Federal do Brasil (1891–1960)
Brasil
Gênero musical
Modernismo brasileiro
Instrumento musical
Violoncelo
Violão
Piano
Saxofone
Compositor
Maestro
Violoncelista
Pianista
Modernismo no Brasil
Bachianas brasileiras
Lista das composições de Heitor Villa-Lobos
Andrés Segovia
Dia Nacional da Música Clássica
Panteão da Pátria e da Liberdade Tancredo Neves
Imigração espanhola no Brasil
Biblioteca Nacional
Viola
Choro
Rio de Janeiro (estado)
Lucília Guimarães Villa-Lobos
Semana da Arte Moderna
Teatro Municipal de São Paulo
Europa
Carlos Guinle
1930
Década de 1930
Câncer
França
Estados Unidos
The New York Times
Semana de Arte Moderna
Debussy
Guiomar Novaes
Eric Satie
Walt Disney
Bidu Sayão
Fundo Correio da Manhã
Paris
Guia Prático
Canto orfeônico
Circa
Ordem e Progresso
Meia-idade
Estado Novo (Brasil)
Brasil na Segunda Guerra Mundial
Villa-Lobos
Califasia
Califonia
Calirritmia
Canto Orfeônico
Demagogo
Serialismo
Cemitério de São João Batista
Dado Villa-Lobos
Richard Wagner
Giacomo Puccini
Escola de Frankfurt
Impressionismo
Frederico Nascimento
Francisco Braga
Uirapuru (Villa-Lobos)
Mecenato
Vanguarda
Revolução de 1930
Seresta
Choros (Villa-Lobos)
Estudo
Ciranda
Música clássica
Johann Sebastian Bach
José Vieira Brandão
Alceo Bocchino
Tel Aviv
Pássaro
Oscar Guanabarino
Folclore brasileiro
Música
Orquestra
Sinfonia
Introdução aos Choros
Choros N.º 1
Choros N.º 7
Choros N.º 10
Bachianas Brasileiras n.º 5
Soprano
Flauta
Fagote
Violino
Harpa
Harmônica
Música de câmara
Música vocal
A Floresta do Amazonas
Canto coral
Ópera
Izaht
1912
1918
1947
Yerma (ópera)
1956
Federico Garcia Lorca
Nova Orléans
A Menina das Nuvens
1958
Lúcia Benedetti
Trilha sonora
Filme
O Descobrimento do Brasil (filme)
Humberto Mauro
1936
1937
Green Mansions
Metro-Goldwyn-Mayer
Theatro Municipal do Rio de Janeiro
Doutor Honoris Causa
Universidade de Nova Iorque
Academia Brasileira de Música
Bachianas Brasileiras: Meu Nome É Villa-Lobos
O Mandarim (filme)
Villa-Lobos - Uma Vida de Paixão
Disney
Saludos Amigos
Cruzado (moeda brasileira)
Parque Estadual Villa-Lobos
Musicologia
Andrade Muricy
Vasco Mariz
Finlândia
1960
Museu Villa-Lobos
Etnomusicologia
Antropologia
Semiótica
Trenzinho do Caipira
Melodia Sentimental
Ir para cima
International Standard Serial Number
Digital object identifier
Universidade Estadual de Campinas
Revista Época
Last.fm
International Standard Book Number
Wikimedia
Izath
A última encarnação do Fausto
Trindade: Curto Caminho Longo
Banda Marcial Heitor Villa Lobos
Estação Villa Lobos-Jaguaré
Teatro Villa-Lobos
Columbia Presents: Native Brazilian Music – Selected and Recorded Under the Personal Supervision of Leopold Stokowski
Lusofonia
Música medieval
Airas Nunes
Martim Codax
Dinis I de Portugal
Música renascentista
Pedro de Escobar
Vasco Pires
Fernão Gomes Correia
Gonçalo de Baena
João de Badajoz
Miguel da Fonseca
Mateus de Aranda
Vicente Lusitano
Bartolomeu Trosilho
Cosme Delgado
Heliodoro de Paiva
Damião de Góis
Ginés de Morata
Diogo Fernandes Formoso
António de Baena
Dom Vicente
Dom Brás
Francisco Velez
Afonso Perea Bernal
Manuel Cardoso (cantochanista)
António Carreira
Francisco de Santa Maria
Aires Fernandes
Dom Bento
Lourenço Ribeiro
Estêvão da Ordem de Cristo
Manuel Mendes (compositor)
Frei António Carreira
António Pinheiro (compositor)
António Fernandes (compositor)
Pedro de Cristo
Manuel Rodrigues Coelho
Francisco Garro
Manuel Leitão de Avilez
Pero de Gamboa
Pedro Talésio
Duarte Lobo
Gaspar Fernandes
António de Oliveira (compositor)
Manuel Cardoso (compositor)
Simão dos Anjos de Gouveia
António Carreira Mourão
Diego de Alvarado
Filipe de Magalhães
João Leite de Azevedo
Estêvão de Brito
Esteban López Morago
Manuel Rebelo (compositor)
Gonçalo Mendes de Saldanha
Música barroca
Francisco de Santiago
Manuel Tavares
Roberto Tornar
Luís das Chagas
D. Agostinho da Cruz
Manuel Machado (compositor)
Nicolau Dias de Velasco
Manuel Correia do Campo (compositor)
Manuel Pousão
Pedro da Esperança
Manuel Correia
Fr. João de Cristo
Raimundo da Conversão
João Álvares Frovo
Marcos Soares Pereira
João IV de Portugal
Fernando de Almeida (compositor)
João Lourenço Rebelo
Pedro da Fonseca Luzio
Francisco da Costa (compositor)
João de Figueiredo Borges
Filipe da Madre de Deus
Francisco Martins (compositor)
Miguel da Natividade
Francisco Barbosa (compositor)
Andrés Botello
"Teodósio, Príncipe do Brasil"
Francisco Luís (compositor)
Diogo Dias Melgás
António Marques Lésbio
António Correa Braga
Matias de Sousa Vilalobos
Tomás Pereira
Pedro de Araújo
Juan Serqueira de Lima
Carlos Seixas
António José da Silva
Lobo de Mesquita
António Teixeira
"Maria Bárbara de Bragança, Rainha de Espanha"
José de Santo António
Abade António da Costa
Pedro António Avondano
João Rodrigues Esteves
Francisco António de Almeida
Luciano Xavier dos Santos
José Joaquim dos Santos
André da Silva Gomes
Período clássico (música)
Jerónimo Francisco de Lima
João de Sousa Carvalho
Francisco Gomes da Rocha
António Leal Moreira
Marcos Portugal
José Maurício Nunes Garcia
João Domingos Bomtempo
Frei José Marques e Silva
João José Baldi
Música do Romantismo
Francisco Manuel da Silva
Joaquim Casimiro
José Maria Xavier
Elias Álvares Lobo
Carlos Gomes
Francisco Raposo Pereira Lima
Augusto Machado
Brasílio Itiberê da Cunha
