Agosto
Setembro
Outubro
Domingo
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
1 de setembro
2 de setembro
3 de setembro
4 de setembro
5 de setembro
6 de setembro
8 de setembro
9 de setembro
10 de setembro
11 de setembro
12 de setembro
13 de setembro
14 de setembro
15 de setembro
16 de setembro
17 de setembro
18 de setembro
19 de setembro
20 de setembro
21 de setembro
22 de setembro
23 de setembro
24 de setembro
25 de setembro
26 de setembro
27 de setembro
28 de setembro
29 de setembro
30 de setembro
1 de outubro
2 de outubro
3 de outubro
4 de outubro
5 de outubro
Ano
2024
Década
Década de 2020
Século
Século XXI
Milênio
Terceiro milénio d.C.
Calendário gregoriano
Ano bissexto
Batalha de Borodino
Independência do Brasil
70
Exército romano
Tito
Destruição de Jerusalém
Jerusalém
878
Luís II de França
Frância Ocidental
Papa João VIII
1159
Papa Alexandre III
1191
Terceira Cruzada
Batalha de Arçufe
Ricardo I de Inglaterra
Saladino
Apolónia da Palestina
1228
Frederico II do Sacro Império Romano-Germânico
Acre (Israel)
Sexta Cruzada
Reino de Jerusalém
1303
Guilherme de Nogaret
Papa Bonifácio VIII
Filipe IV de França
1652
Han (etnia)
Rebelião de Guo Huaiyi
Taiwan
1695
Henry Every
Auranguezebe
1706
Guerra da Sucessão Espanhola
Cerco de Turim
1764
Estanislau II Augusto da Polônia
República das Duas Nações
1776
Estados Unidos
Tartaruga (submarino)
Bomba-relógio
Porto de Nova York
1778
Guerra Revolucionária Americana
Dominica
Índias Ocidentais Britânicas
Império Britânico
França
1812
Campanha da Rússia (1812)
Guerras Napoleônicas
Moscovo
1822
Pedro I do Brasil
Império Português
Riacho do Ipiranga
São Paulo
1856
Canal de Saimaa
1857
Massacre de Mountain Meadows
Mórmon
1860
Risorgimento
Giuseppe Garibaldi
Nápoles
1863
Guerra Civil Americana
União (Guerra Civil Americana)
Ilha Morris
1864
Atlanta
William Tecumseh Sherman
1880
Sociedade Brasileira contra a Escravidão
Joaquim Nabuco
André Rebouças
1895
Museu do Ipiranga
Museu
Cidade
1901
Levante dos Boxers
Dinastia Qing
Protocolo Boxer
1907
RMS Lusitania
Cunard Line
Liverpool
Nova Iorque
1911
Guillaume Apollinaire
Mona Lisa
Louvre
1920
Universidade Federal do Rio de Janeiro
Universidade
Epitácio Pessoa
1921
Legião de Maria
Vida consagrada
Dublin
1922
Exposição Internacional do Centenário da Independência
1923
Interpol
1927
Philo Farnsworth
1932
Batalha de Boquerón (1932)
Guerra do Chaco
1936
Lobo-da-tasmânia
Zoológico de Hobart
Tasmânia
1940
Romênia
Dobruja do Sul
Bulgária
Tratado de Craiova
Segunda Guerra Mundial
Luftwaffe
Blitz
1942
Kaigun Rikusentai
Batalha da Baía Milne
1945
Desfile da Vitória em Berlim
1953
Nikita Khrushchov
Partido Comunista da União Soviética
1961
João Goulart
Parlamentarismo
1965
Guerra Indo-Paquistanesa de 1965
1969
Embaixador
Estadunidenses
Charles Burke Elbrick
Anos de chumbo
Federação Internacional das Associações Vexilológicas
Boston
Massachusetts
1970
Setembro Negro
Jordânia
1974
Acordos de Lusaca
Frente de Libertação de Moçambique
Guerra da Independência de Moçambique
1977
Tratados Torrijos-Carter
Panamá
Canal do Panamá
1978
Georgi Markov (escritor)
Francesco Gullino
Ricina
Guarda-chuva búlgaro
1986
Desmond Tutu
Cidade do Cabo
Augusto Pinochet
FPMR
1996
Tupac Shakur
Assassinato de Tupac Shakur
Las Vegas
1997
Primeiro voo
Lockheed Martin F-22 Raptor
1999
Sismo de Atenas de 1999
Escala de Mercalli
2005
Egito
Lista de presidentes do Egito
2016
Apple
IPhone 7
2017
Sismo de Chiapas de 2017
México
2021
Bitcoin
Governo de Unidade Nacional de Myanmar
Guerra Civil de Mianmar
2022
Brasil
Camilo Pessanha
Paulo Autran
Balduíno da Bélgica
Toni Garrido
Giovane Gávio
Shannon Elizabeth
Marcio Rafael Ferreira de Souza
923
Suzaku
952
1438
"Luís II, Conde da Baixa Hesse"
1471
1492
Jacob Acontius
1566
1533
Isabel I de Inglaterra
1603
1683
