Propriedade pública
Governo
Universidade privada
Universidade federal
Universidade estadual
Universidade municipal
Lista de universidades federais do Brasil
Universidade de São Paulo
Universidade Estadual de Campinas
Universidade Federal do Rio Grande do Sul
Universidade Federal do Rio de Janeiro
Universidade Federal de Minas Gerais
Universidade Federal de Pernambuco
Universidade Federal da Bahia
Universidade Federal do Paraná
"Instituto Federal de Educação, Ciência e Tecnologia"
Autarquias
Lei de Diretrizes e Bases
Ensino superior
Universidade Presbiteriana Mackenzie
Pontifícia Universidade Católica do Rio de Janeiro
Pontifícia Universidade Católica do Rio Grande do Sul
Stricto sensu
Doutorado
Mestrado
Constituição brasileira de 1988
Exame Nacional do Ensino Médio
Grupos étnicos do Brasil
Lista de instituições de ensino superior de Portugal
Canadá
Províncias e territórios do Canadá
Universidade McGill
Universidade Laval
Universidade de Saint Mary
Queen's University
Universidade de Dalhousie
Universidade Mount Allison
Universidade McMaster
Universidade de Ottawa
Universidade de Toronto
Oxford
Cambridge
Universidade de Alberta
Universidade de Manitoba
Associação de Universidades Americanas
Graduação
Prueba de Selección Universitaria
SAT
Países desenvolvidos
Universidade do Chile
Pontifícia Universidade Católica do Chile
Universidade de Concepción (Chile)
Universidade Técnica Federico Santa María
Estados Unidos
Artes liberais
Direito
Negócio
Medicina
Universidade da Carolina do Norte em Chapel Hill
Universidade Rutgers
Universidade da Geórgia
Faculdade de William e Mary
Universidade da Carolina do Sul
Universidade de Ohio
Universidade da Califórnia em Los Angeles
Universidade do Estado do Arizona
Constituição dos Estados Unidos
Academia Militar dos Estados Unidos
Departamento de Defesa dos Estados Unidos
Universidade de Georgetown
"Washington, D.C."
Ivy League
Universidade da Califórnia em Berkeley
México
Universidad Nacional Autónoma de México
Instituto Politécnico Nacional
França
Grande école
Escola de Altos Estudos Comerciais de Paris
Noruega
Países Baixos
União Europeia
Japão
ProUni
Lista de universidades
Lista de universidades do Brasil
Lista de universidades de Portugal
