6 de novembro
1837
16 de março
1838
Província da Bahia
História da Bahia
Império do Brasil
Francisco Sabino
Daniel Gomes de Freitas
João Carneiro da Silva Rego
Joaquim José Inácio
Luís Alves de Lima e Silva
Brasil Imperial
Pedro II do Brasil
Período regencial (Brasil)
Revoluções de 1830
Casa de Bourbon
França
Caramurus
Partido Moderado (Brasil)
Jurujubas
Francisco de Lima e Silva
José da Costa Carvalho
João Bráulio Muniz
Guarda Nacional (Brasil)
Diogo Antônio Feijó
Regência Una
Ato Adicional
Salvador (Bahia)
Conjuração Baiana
Federação do Guanais
Revolta dos Malês
Forte de São Pedro (Salvador)
Salvador
João Carneiro da Silva
Cachoeira (Bahia)
Estados Unidos
Pedro de Araújo Lima
Fazenda Jacobina
Mato Grosso
Francisco José da Rocha (militar)
Revolução Farroupilha
Inhambupe
Correio Mercantil
História militar do Brasil
Guerra da Independência do Brasil
Guerra da Cisplatina
Guerra do Prata
Guerra do Uruguai
Guerra do Paraguai
Confederação do Equador
Revolta do Ano da Fumaça
Revolta de Carrancas
Balaiada
Cabanada
Cabanagem
Guerra dos Farrapos
Revoltas liberais de 1842
Revolução dos Ganhadores
Revolução Praieira
Revolta do Ronco da Abelha
Revolta dos Muckers
Rasga-listas
Revolta do Quebra-Quilos
Proclamação da República do Brasil
Tratado do Rio de Janeiro (1825)
Tratado do Rio de Janeiro (1828)
Tratado da Tríplice Aliança
Tratado de Ayacucho
Bahia
Guerra dos Aimorés
Levante dos Tupinambás
Captura da Bahia
Jornada dos Vassalos
Motins do Maneta
Revolução Liberal de 1821
Independência da Bahia
Mata-Maroto
Guerra de Canudos
Bombardeio de Salvador em 1912
Movimento de Pau de Colher
Capitania da Baía de Todos os Santos
Capitania de Ilhéus
Capitania de Porto Seguro
Rio São Francisco (proposta de unidade federativa)
Coroa Vermelha
Primeira missa no Brasil
Arraial do Pereira
Feitorias no litoral da Bahia
Centro Histórico de Salvador
Caminho da Bahia
Lista de naufrágios ocorridos na Bahia
História de Alagoinhas
História de Salvador
História de Santa Rita de Cássia (Bahia)
Política da Bahia
Defensoria Pública do Estado da Bahia
Lista de governadores da Bahia
Lista de vice-governadores da Bahia
Tribunal de Justiça do Estado da Bahia
Assembleia Legislativa da Bahia
Lista de deputados estaduais da Bahia
Tribunal de Contas do Estado da Bahia
Tribunal de Contas dos Municípios do Estado da Bahia
Ministério Público do Estado da Bahia
Eleições na Bahia
Geografia da Bahia
Demografia da Bahia
Lista de baías e enseadas da Bahia
Lista de lagoas da Bahia
Lista de rios da Bahia
Lista de ilhas da Bahia
Interior da Bahia
Litoral da Bahia
Lista de extremos da Bahia
Lista de praias da Bahia
Lista de regiões geográficas intermediárias e imediatas da Bahia
Lista de municípios da Bahia
Regiões hidrográficas da Bahia
Economia da Bahia
Federação das Indústrias do Estado da Bahia
Ciclo do cacau
Bolsa de Valores Bahia-Sergipe-Alagoas
Agência de Fomento do Estado da Bahia
Lista de centros comerciais da Bahia
Junta Comercial do Estado da Bahia
Televisão na Bahia
Turismo na Bahia
Educação na Bahia
Lista de instituições de ensino superior da Bahia
Lista de hospitais da Bahia
Transportes da Bahia
Lista de aeroportos da Bahia
Hidrovia do São Francisco
Lista de terminais aquaviários da Bahia
Lista de ferrovias da Bahia
Lista de rodovias estaduais da Bahia
Cultura da Bahia
Carnaval da Bahia
Culinária da Bahia
Dialeto baiano
Esporte na Bahia
Futebol da Bahia
Música da Bahia
Símbolos da Bahia
Bandeira da Bahia
Brasão da Bahia
Hino da Bahia
