Unidade de medida
Tempo
Segundo
Minuto
Hora
Dia
Semana
Quinzena
Mês
Bimestre
Trimestre
Quadrimestre
Semestre
Ano
Biênio
Triênio
Quadriênio
Quinquênio
Década
Século
Milênio
Ano sideral
Comprimento
Metro
Nanómetro
Micrómetro (unidade de medida)
Angstrom
Unidade astronômica
Ano-luz
Parsec
Polegada
Pé
Jarda
Milha
Milha náutica
Légua
Braça
Área
Metro quadrado
Hectare
Are
Barn
Shed
Acre (unidade)
Alqueire
Polegada quadrada
Pé quadrado
Volume
Metro cúbico
Litro
Galão
Barril (unidade)
Pinto (medida)
Quarto (volume)
Onça (volume)
Gill (volume)
Xícara
Colher
Massa
Quilograma
Grama
Tonelada
Unidade de massa atômica
Libra (massa)
Quilate
Arroba
Saca
Onça (massa)
Grão (massa)
Quantidade de substância
Mol
Temperatura termodinâmica
Kelvin
Grau Celsius
Grau Fahrenheit
Rankine
Eletricidade
Ampere
Coulomb
Volt
Ohm
Joule
Elétron-volt
Caloria
Watt-hora
BTU
Siemens (unidade)
Condutância elétrica
Intensidade luminosa
Candela
Velocidade
Metro por segundo
Quilômetro por hora
Milha por hora
Nó (unidade)
Pés por segundo
Radiano por segundo
Rpm
Ângulo plano
Ângulo sólido
Fase (física)
Radiano
Grau (geometria)
Minuto de arco
Segundo de arco
Grado (ângulo)
Esferorradiano
Frequência
Hertz
Pressão
Pascal
Bar (unidade)
Psi (unidade)
Atmosfera (unidade)
Milímetro de mercúrio
Torr
Força
Newton (unidade)
Dina
Quilograma-força
Libra-força
Torque
Newton-metro
Potência
Watt
Erg
Cavalo-vapor
Horse power
Volt-ampere reativo
Capacitância
Farad
Indutância
Henry (unidade)
Fluxo magnético
Fluxo luminoso
Weber (unidade)
Maxwell (unidade)
Tesla (unidade)
Gauss (unidade)
Lúmen
Lux
Atividade catalítica
Katal
Radionuclídeos
Becquerel
Curie
Dose absorvida
Dose equivalente
Gray (unidade)
Sievert
Densidade
Quilograma por metro cúbico
Viscosidade cinemática
Viscosidade dinâmica
Stokes
Pascal segundo
Poise
Aceleração
Metro por segundo ao quadrado
Gal (unidade)
Pés por segundo ao quadrado
Aceleração da gravidade
Razão
Porcentagem
Parte por milhão
Escala logarítmica
Decibel
Bel (unidade)
Neper
Informação
Bit
Byte
Português brasileiro
Português europeu
Sistema Internacional de Unidades
Palavra
Quilo
Espaço (sinal)
Milímetro
Centímetro
Decímetro
Decâmetro
Hectômetro
Pé (unidade)
Terametro
Trilhão
Attômetro
Acordo Ortográfico de 1990
INMETRO
Convenção do metro
Lista de unidades de medida
Unidades de comprimento
Wikcionário
