Guiné
Guiné Equatorial
Bandeira da Guiné-Bissau
Brasão da Guiné-Bissau
Esta é a Nossa Pátria Bem Amada
Bissau
Língua portuguesa
Religião oficial
Islamismo
Religiões tradicionais africanas
Cristianismo
Religião na Guiné-Bissau
Irreligião
Gentílico
Semipresidencialista
Lista de presidentes da Guiné-Bissau
Umaro Sissoco Embaló
Lista de primeiros-ministros da Guiné-Bissau
Rui Duarte de Barros
Independência
Portugal
24 de setembro
1973
10 de setembro
1974
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Senegal
Guiné-Conacri
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
1 000 000 000
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Franco CFA da África Ocidental
ISO 4217
Fuso horário
Tempo Universal Coordenado
ISO 3166-1
Lista de TLDs
Lista de códigos telefónicos
África Ocidental
Oceano Atlântico
Reino de Gabu
Império do Mali
Império Português
Guiné Portuguesa
Guerra de Independência da Guiné-Bissau
Guiné Francesa
Guiné Espanhola
Colonização portuguesa
Continente africano
José Mário Vaz
Língua materna
Segunda língua
Língua oficial
Crioulo da Guiné-Bissau
Língua crioula
Crioulos de base portuguesa
Línguas africanas
Catolicismo romano
União Africana
Comunidade Económica dos Estados da África Ocidental
Organização para a Cooperação Islâmica
União Latina
Comunidade de Países de Língua Portuguesa
Francofonia
Zona de Paz e Cooperação do Atlântico Sul
História da Guiné-Bissau
Europa
Mandingas
Balantas
Fulas
Malinquês
Portugueses
Nuno Tristão
Cacheu (cidade)
Capitania-Geral
Estado Novo (Portugal)
Salazar
Província ultramarina
Fortificação
Tráfico negreiro
Partido Africano para a Independência da Guiné e Cabo Verde
Amílcar Cabral
Luta armada
Conacri
Comunista
Revolução dos Cravos
João Bernardo Vieira
Cabo Verde
Luís Cabral
Golpe de Estado
Cuba
Exílio
Valas comuns
Exército Português
Partido Africano para a Independência de Cabo Verde
Ratificação
Partidos políticos
Liberdade de imprensa
Sindicato
Greve
Guerra Civil na Guiné-Bissau
T-54/T-55
Eleição
Assembleia Nacional Popular da Guiné-Bissau
Ansumane Mané
Guerra civil
Kumba Yalá
Partido para a Renovação Social
Setembro
2003
Abril
2004
Forças armadas
Narcotráfico
