Estados Unidos
Oscar 1948
Reino Unido
Oscar 2024
Academia de Artes e Ciências Cinematográficas
Longa-metragem
Língua inglesa
Oscar 1929
Óscar
16 de maio
1929
Oscar Honorário
Federico Fellini
Vittorio De Sica
Voyna i Mir
Dólar
Oscar 2020
Gisaengchung
Oscar de melhor filme
Jean Hersholt
Neorrealismo italiano
Sciuscià
Ladri di biciclette
Monsieur Vincent
Jeux interdits
Rashômon
Jigokumon
Miyamoto Musashi (filme)
Le mura di Malapaga
Oscar 1954
Oscar 1957
La strada
Oscar 2008
Cinema dos Estados Unidos
Cinema da Nigéria
O Baile
Bluebird (filme)
"Se, jie"
Cinema de Taiwan
Un lugar en el mundo
Oscar 1993
Oscar 2007
Cinema da Itália
Língua árabe
Língua hebraica
Línguas da Itália
Cinema do Canadá
Água (filme)
Une balle dans la tête
Língua inuktitut
Atanarjuat
Nunavut
Territórios do Noroeste
Cartas de Iwo Jima
Iucateque
Apocalypto
Globo de Ouro de melhor filme em língua estrangeira
British Academy of Film and Television Arts
BAFTA de melhor filme em língua não inglesa
Área insular dos Estados Unidos
Lo que le pasó a Santiago
Lista de representantes brasileiros para o Oscar de melhor filme estrangeiro
Ministério da Cultura (Brasil)
Lista dos vencedores e indicados do Oscar de Melhor Filme Internacional
As Invasões Bárbaras
Quebec (cidade)
Dino De Laurentiis
Carlo Ponti
Eklavya: The Royal Guard
Oscar 2003
Cinema da Palestina
Yadon ilaheyya
Estado da Palestina
Paradise Now
Lobby sionista
Autoridade Nacional Palestiniana
Hany Abu-Assad
Oscar 2006
Will Smith
Territórios palestinianos
Independent Spirit de melhor filme estrangeiro
Ir para cima
Europa
União Soviética
Rússia
Itália
França
Japão
Wayback Machine
AMC (canal de televisão)
International Standard Serial Number
International Standard Book Number
The New York Times
Variety
BBC News
The Hollywood Reporter
Reuters
Oscar de melhor direção
Oscar de melhor ator
Oscar de melhor atriz
Óscar de melhor ator secundário
Óscar de melhor atriz secundária
Oscar de melhor roteiro original
Oscar de melhor roteiro adaptado
Oscar de melhor curta-metragem em live action
Oscar de melhor filme de animação
Oscar de melhor curta-metragem de animação
Oscar de melhor som
Oscar de melhor canção original
Oscar de melhor banda sonora
Oscar de melhores efeitos visuais
Oscar de melhor fotografia
Oscar de melhor montagem
Oscar de melhor design de produção
Oscar de melhor figurino
Oscar de melhor maquiagem e penteados
Oscar de melhor documentário de longa metragem
Oscar de melhor documentário de curta-metragem
Oscar de melhor musical original
Prêmio Memorial Irving G. Thalberg
Prêmio Humanitário Jean Hersholt
Prêmio Gordon E. Sawyer
Oscar Científico ou Técnico
Oscar de melhor entretitulagem
Oscar de melhor diretor assistente
Oscar de melhor coreografia
Oscar de melhor história original
Oscar de melhor edição de som
Oscar 1930
Oscar 1931
Oscar 1932
Oscar 1933
Oscar 1934
Oscar 1935
Oscar 1936
Oscar 1937
Oscar 1938
Oscar 1939
Oscar 1940
Oscar 1941
Oscar 1942
Oscar 1943
Oscar 1944
Oscar 1945
Oscar 1946
Oscar 1947
Oscar 1949
Oscar 1950
Oscar 1951
Oscar 1952
Oscar 1953
Oscar 1955
Oscar 1956
Oscar 1958
Oscar 1959
Oscar 1960
Oscar 1961
Oscar 1962
Oscar 1963
Oscar 1964
Oscar 1965
Oscar 1966
Oscar 1967
Oscar 1968
Oscar 1969
Oscar 1970
Oscar 1971
Oscar 1972
Oscar 1973
Oscar 1974
Oscar 1975
Oscar 1976
Oscar 1977
Oscar 1978
Oscar 1979
Oscar 1980
Oscar 1981
Oscar 1982
Oscar 1983
Oscar 1984
Oscar 1985
Oscar 1986
Oscar 1987
Oscar 1988
Oscar 1989
Oscar 1990
