Frei Caneca
Manoel de Carvalho
João Guilherme Ratcliff
José de Barros Falcão de Lacerda
Gonçalo Inácio de Loiola Albuquerque e Melo
José Antônio Caldas
Província de Pernambuco
Província do Ceará
Província do Piauí
Província da Paraíba
2 de julho
29 de novembro
1824
Movimento revolucionário
Republicanismo
Região Nordeste do Brasil
Monarquia
Pedro I do Brasil
Constituição brasileira de 1824
Constituição do Brasil
Independência do Brasil
Coroa Portuguesa
João VI de Portugal
"Reino Unido de Portugal, Brasil e Algarves"
Revolução Pernambucana
Inglaterra
Thomas Cochrane
Império do Brasil
Comarca do Rio de São Francisco
Alagoas
Guerra dos Mascates
1710
1711
1817
República
Pernambuco
Açúcar
Algodão
Evaldo Cabral de Mello
Francisco Pais Barreto
20 de outubro
John Taylor
"Thomas Cochrane, 10º Conde de Dundonald"
Recife
Antônio Parreiras
1918
Revolução Pernambucana de 1817
Portugal
1823
Typhis Pernambucano
1821
Gervásio Pires
Venâncio Henriques de Resende
15 de setembro
Afonso de Albuquerque Maranhão
Francisco de Paula Cavalcanti de Albuquerque
Cipriano Barata
Inácio Luís Madeira de Melo
Exército Português
13 de dezembro
Goiana
24 de abril
José Carlos Mairink da Silva Ferrão
1808
Quixeramobim
Pedro José da Costa Barros
Tristão Gonçalves
José Pereira Filgueiras
Icó
Russas
Aracati
Patos
Pombal
Paraíba
Colômbia
Passagem (Paraíba)
Fortaleza das Cinco Pontas
Vilafrancada
Abrilada
11 de junho
Haiti
Mesorregião do Extremo Oeste Baiano
Minas Gerais
Bahia
Forca
Abreu e Lima
Ceará
Fuzilamento
Arcabuz
Bacamarte
Forte de São Tiago das Cinco Pontas
Fortaleza
Viriato Correia
Padre Mororó
International Standard Serial Number
Digital object identifier
International Standard Book Number
História do Ceará
Capitania do Ceará
Capitania do Rio Grande
Ciclo do açúcar
Ciclo do pau-brasil
Rede de Viação Cearense
Estrada de Ferro de Baturité
Estrada de Ferro de Sobral
Caldeirão de Santa Cruz do Deserto
Coronéis de Batina
Guerra dos Bárbaros
Guerra das Castanheiras
Guerra Luso-Holandesa
Insurreição do Crato
Invasões holandesas no Brasil
Litígio de limites entre Ceará e Piauí
Nova Holanda
Questão de Grossos
Sedição de Juazeiro
Currais do governo
Comissão Científica de Exploração
Descarrilamento de Piquet Carneiro
Legião Cearense do Trabalho
Serviço Especial de Mobilização de Trabalhadores para a Amazônia
Soldados da borracha
Voo VASP 168
Lista do patrimônio histórico no Ceará
Casa de Câmara e Cadeia de Aracati
Casa de Câmara e Cadeia de Caucaia
Casa de Câmara e Cadeia de Quixeramobim
Casa de José de Alencar
Casa de Juvenal Galeno
Casa do Português
Cineteatro São Luiz
Escola de Artes e Ofícios Thomaz Pompeu Sobrinho
Estação das Artes Belchior
Farol do Mucuripe
Fortaleza de Nossa Senhora da Assunção
Mercado de Carne de Aquiraz
Museu do Ceará
Palácio da Luz
Praça Clóvis Beviláqua (Viçosa do Ceará)
Praça dos Mártires
Praça General Tibúrcio
Sobrado Dr. José Lourenço
Teatro São José
Theatro José de Alencar
Centro Histórico de Aracati
História de Fortaleza
História militar do Brasil
Guerra da Independência do Brasil
Guerra da Cisplatina
Guerra do Prata
Guerra do Uruguai
Guerra do Paraguai
Revolta do Ano da Fumaça
Revolta de Carrancas
Balaiada
Sabinada
Cabanada
Cabanagem
Revolta dos Malês
Guerra dos Farrapos
Revoltas liberais de 1842
Revolução dos Ganhadores
Revolução Praieira
Revolta do Ronco da Abelha
Revolta dos Muckers
Rasga-listas
Revolta do Quebra-Quilos
Proclamação da República do Brasil
Tratado do Rio de Janeiro (1825)
Tratado do Rio de Janeiro (1828)
Tratado da Tríplice Aliança
Tratado de Ayacucho
