Sua Excelência
Lista de presidentes do Brasil
Brasil
15 de março
1990
29 de dezembro
1992
Itamar Franco
José Sarney
Lista de senadores do Brasil
Alagoas
1º de fevereiro
2007
2023
Lista de governadores de Alagoas
1987
14 de maio
1989
Moacir Lopes de Andrade
José de Medeiros Tavares
Câmara dos Deputados do Brasil
1983
Lista de prefeitos de Maceió
Maceió
1979
1982
12 de agosto
1949
Rio de Janeiro
Distrito Federal do Brasil (1891–1960)
Brasileiros
Arnon Affonso de Farias Mello
Alma mater
Universidade Federal de Alagoas
Lilibeth Monteiro de Carvalho
Rosane Malta
Aliança Renovadora Nacional
Partido Democrático Social
Movimento Democrático Brasileiro (1980)
Agir (Brasil)
Partido Renovador Trabalhista Brasileiro
Partido Trabalhista Brasileiro (1979)
Partido Republicano da Ordem Social
Partido Renovação Democrática
Católico
"Ordem Militar da Torre e Espada, do Valor, Lealdade e Mérito"
Ordem de Isabel a Católica
Economista
Político
Presidente do Brasil
Impeachment de Fernando Collor
Senado Federal do Brasil
Deputado federal
História do Brasil
Partido da Reconstrução Nacional
Ditadura militar no Brasil (1964-1985)
Eleição presidencial no Brasil em 1989
Luiz Inácio Lula da Silva
Eleição presidencial no Brasil em 1960
Jânio Quadros
Governo Collor
Plano Collor
Corrupção política
Tesouraria
Paulo César Farias
Pedro Collor de Mello
Crime de responsabilidade
Direitos políticos
Tratado de Assunção
Mercado Comum do Sul
Previdência social no Brasil
Instituto Nacional do Seguro Social
ECO-92
Terra Indígena Yanomami
Eleições estaduais em Alagoas em 2022
Supremo Tribunal Federal
Corrupção passiva
Lavagem de dinheiro
Arnon Afonso de Farias Melo
José Kairala
Silvestre Péricles de Góis Monteiro
Lindolfo Leopoldo Boekel Collor
Imigração alemã no Brasil
Rio Grande do Sul
Revolução de 1930
Getúlio Vargas
Ministério do Trabalho e Emprego
Revolução Constitucionalista
Luís Bartolomeu de Souza e Silva
O Tico-Tico
Ministro
STF
Marco Aurélio de Mello
Zélia Cardoso de Mello
Lista de ministros da Fazenda do Brasil
Rio de Janeiro (cidade)
Brasília
Ciências econômicas
Região Nordeste do Brasil
Jornal do Brasil
Gazeta de Alagoas
Organização Arnon de Mello
Centro Sportivo Alagoano
Rosane Collor
Grupo Monteiro Aranha
Vereador
Rio Largo
Região Metropolitana de Maceió
Primeira-dama
Arquitetura
Gêmeos
Casa da Dinda
Presidência da República
Lago Norte
Rio Grande do Norte
Sílvio Pedrosa
Juscelino Kubitschek
João Goulart
Palácio da Alvorada
Granja do Torto
