Século XVIII
Século XIX
Poder Judiciário
Poder Legislativo
Napoleão Bonaparte
Código Napoleônico
1804
Baviera
1756
Prússia
1792
Galícia (Europa Central)
Áustria
1797
Corpus Juris Civilis
Justiniano I
Direito romano
Código Civil alemão
BGB
1896
Portugal
Macau
1999
Empresa
Fascismo
Benito Mussolini
Itália
Colaboração de classes
11 de janeiro
2002
Código Civil brasileiro
Fernando Henrique Cardoso
2003
Luiz Inácio Lula da Silva
International Standard Serial Number
Código Civil português
Código Civil de Macau
Lei da usura
