Itália
Suíça
San Marino
Vaticano
Malta
Mônaco
Albânia
Líbia
Etiópia
Somália
Eritreia
Tunísia
Europa
União Europeia
Segunda língua
Lista de línguas por total de falantes
Família linguística
Línguas indo-europeias
Línguas itálicas
Línguas românicas
Línguas românicas orientais
Línguas ítalo-dálmatas
Línguas italianas centro-meridionais
Escrita
Alfabeto latino
Ordem Soberana e Militar de Malta
Accademia della Crusca
ISO 639
Língua românica
Latim
Língua oficial
Eslovênia
Croácia
Mónaco
África Oriental Italiana
Líbia Italiana
Línguas da Itália
Organização para a Segurança e Cooperação na Europa
Conselho da Europa
Santa Sé
Língua franca
Igreja Católica
Música
Ópera
Artes
Estado
Risorgimento
Dialeto toscano
Elite
Florença
Línguas italianas
Línguas germânicas
Invasões bárbaras
Latim vulgar
Idade Média
Latim clássico
Antiga Roma
Roma
Soldado
Colono
Império Romano
Dialeto
Língua romena
Língua portuguesa
Língua castelhana
Toscana
Dante Alighieri
Giovanni Boccaccio
Reino de Nápoles
Império Austro-Húngaro
Século XIX
Unificação
Toscânia
Escritor
Calábria
Televisão
Ístria
Córsega
Nice
África
Luxemburgo
Alemanha
Bélgica
Estados Unidos
Canadá
Venezuela
Brasil
Uruguai
Argentina
Austrália
América Latina
Língua espanhola
Rio Grande do Sul
Paraná
São Paulo (estado)
Santa Catarina
Córdova (província da Argentina)
Buenos Aires
Chipilo
Variedades linguísticas
Isoglossa
Lácio (região moderna)
Ligúria
Vêneto
Campânia
Italianos
Alfabetização
Sul do Brasil
Vinho
Léxico
Talian
Língua napolitana
Língua emiliana
Língua siciliana
Língua lombarda
Caxias do Sul
Currículo
Escola
Língua alemã
Francisco Beltrão
Antônio Prado
Gramática do italiano
Substantivo
Verbo
Interfixo
Modo indicativo
Modo subjuntivo
Modo condicional
Modo imperativo
Infinitivo
Gerúndio
Particípio
Wikipédia
Portable document format
Wayback Machine
International Standard Book Number
OCLC
Routledge
Wikilivros
RAI
Línguas ítalo-ocidentais
Língua corsa
Língua dálmata
Língua istriota
Línguas românicas ocidentais
Línguas ibero-românicas
Línguas galaico-portuguesas
Dialetos da língua portuguesa
Português europeu
Português brasileiro
Português uruguaio
Língua portuguesa em África
Crioulos de base portuguesa
Língua galega
Galego-asturiano
Xalimego
Judeu-português
Caló
Asturo-leonês
Língua asturiana
Dialeto cântabro
Língua estremenha
Língua leonesa
Língua mirandesa
Sendinês
Língua castelhana na América
Espanhol da Espanha
Castelhano equato-guineense
Espanhol amazônico
Judeu-espanhol
Navarro-aragonês
Língua aragonesa
Língua moçárabe
Língua catalã
Dialetos do catalão
Catalão balear
Língua valenciana
Língua occitana
Occitano gascão
Occitano aranês
Occitano provençal
Occitano niçardo
Língua judeu-provençal
Línguas galo-românicas
Línguas de oïl
Língua borgonhesa
Língua champanhesa
Língua francesa
Francês canadense
Francês da Suíça
Francês antigo
Francês médio
Língua zarfática
Crioulos de base francesa
Língua galo
Loreno
Língua normanda
Língua anglo-normanda
Língua picarda
Pictavo-sântone
Saintongeais
Língua valona
Língua franco-provençal
Dialeto valdostano
Línguas galo-itálicas
Língua lígure
Monegasco (dialeto)
Lombardo oriental
Dialeto lombardo ocidental
Língua emiliano-romanhola
Língua piemontesa
Língua vêneta
Dialeto triestino
Línguas reto-românicas
Língua friulana
Língua ladino-dolomítica
Língua romanche
Língua engadina
Língua moldava
Língua arromena
Língua istrorromena
Romeno meglesita
Língua românica do Mosela
Língua sarda
Língua protorromânica
Língua morta
Lista de línguas por número total de falantes
Variação linguística
Línguas da União Europeia
Língua búlgara
Língua checa
Língua croata
Língua dinamarquesa
Língua eslovaca
Língua eslovena
Língua estónia
Língua finlandesa
Língua grega
Língua húngara
Língua inglesa
Língua irlandesa
Língua letã
Língua lituana
Língua maltesa
Língua neerlandesa
Língua polaca
Língua sueca
