Globo terrestre
Gentílico
Fronteira
Ásia
Europa
Lista de países
Lista de países e territórios da África
Mayotte
Reunião (departamento)
"Santa Helena, Ascensão e Tristão da Cunha"
Ilhas Canárias
Ceuta
Região Autónoma da Madeira
Melilla
Área
Quilómetro quadrado
Argélia
Seicheles
Quilimanjaro
Tanzânia
Nível do mar
Lago Assal
Jibuti
População
Continente
Habitante
Idioma
Línguas africanas
América
Km²
Terra
Subnutrição
Analfabetismo
Expectativa de vida
Maurícia
Qualidade de vida
Líbia
África do Sul
Marrocos
Tunísia
Egito
Botsuana
Cabo Verde
São Tomé e Príncipe
República do Congo
Gabão
Namíbia
Essuatíni
Gana
Zâmbia
Guiné Equatorial
Quênia
Angola
Camarões
Zimbábue
Regionalização
África setentrional
África Ocidental
África Central
África Oriental
África meridional
África Branca
Mauritânia
Saara Ocidental
África Negra
Mediterrâneo
Líbia Antiga
Banu Ifran
Tripolitânia
Ifrane
Apollo 17
Cartago
Africa Proconsularis
Terceira Guerra Púnica
Júlio César
Império Bizantino
Anatólia
Ptolemeu
Alexandria
Meridiano de Greenwich
Istmo de Suez
Mar Vermelho
Flávio Josefo
Abraão
Etymologiae
Universidade Rutgers
Ibn Khallikan
Reino Himiarita
História da África
Ramessés II
Abul-Simbel
Antigo Egito
Quaternário
Terciário
Australopitecos
Homo habilis
Homo erectus
Homo heidelbergensis
Homem de Neandertal
Homem de Cro-Magnon
Evolução
Paleolítico
Neolítico
Norte da África
Civilização egípcia
Civilização ocidental
Fenícia
Vândalos
Mar Mediterrâneo
Árabes
Cultura árabe
Islã
Sudão
Saara
Rotas de comércio
Sertão (geografia)
Especiaria
Seda
Oceano Índico
África negra
Império
Estado
Clã
Tribo
Soberano
Feudalismo
Império de Axum
Etiópia
Apogeu
Reino de Gana
Império do Mali
Império Songai
Abomei
Reino do Benim
Colonização da África
Portugal
Espanha
França
Reino Unido
Países Baixos
Tráfico negreiro
Turismo científico
Abissínia
James Bruce
Rio Nilo
Deserto da Líbia
Camelo
Henry Morton Stanley
David Livingstone
Bacia do Congo
Copa do Mundo FIFA de 2010
Golfo da Guiné
Equador (linha)
Madagascar
Moçambique
Guiné
Alemanha
Togo
Tanganica
Bélgica
Congo Belga
Itália
Somália
Partilha da África
Conferência de Berlim
Colonialismo
Sociedade
Economia
Governo
Religião
Independência
Segunda Guerra Mundial
Demografia da África
Forças armadas
Presidencialismo
Pan-africanismo
Organização da Unidade Africana
Partilha de África
Neoimperialismo
Década de 1880
Primeira Guerra Mundial
1914
Estados Unidos
Libéria
Século XIX
1880
Imperialismo informal
1884
1885
Império britânico
Terceira República Francesa
Império Alemão
Geografia da África
Istmo do Suez
Hemisfério norte
Hemisfério sul
Linha do equador
Placa tectônica
Placa Euro-asiática
Ras ben Sakka
Cabo das Agulhas
Cabo Verde (cabo)
Senegal
Ras Hafun
Oceano Atlântico
Paralelo
Linha do Equador
Trópico de Câncer
Trópico de Capricórnio
Relevo (geografia)
Planalto
Altitude
Oeste
Rocha
Depressão (geografia)
Rio
Lago
Bacia hidrográfica
Rio Congo
Rio Chade
Rio Níger
Rio Zambeze
Rio Limpopo
Rio Cubango
Rio Orange
Litoral
Planície
Geologia
Grande Vale do Rifte
Montanhas
Vulcão
Região
Grandes Lagos Africanos
Montanha
Monte Quênia
Ruwenzori
Mapa topográfico
Deserto do Saara
Cordilheira do Atlas
Cume
Drakensberg
Maciço
Erupção
Hoggar
Atlântico Sul
Estreito de Gibraltar
Chifre da África
Brasil
Golfo de Adem
Península Arábica
Cabo da Boa Esperança
Madagáscar
Comores
Classificação climática de Köppen-Geiger
Clima equatorial
Clima tropical
Clima desértico
Clima mediterrâneo
Seca
Inverno
Deserto
Calaári
Chuva
Território
Trópico
Rio Solimões
Rio Amazonas
Lago Vitória
Nordeste
Vale do Nilo
Agricultura
Meroé
Antiguidade
Cheia
Rio Senegal
Rio Zaire
Lago Rodolfo
Lago Tanganica
Batimetria
Lago Chade
Zebra
Elefante
Parque Nacional de Serengueti
Pluviosidade
Vegetação
Floresta equatorial
Verão
Savana
Temperatura
Estação seca
Sahel
Arbusto
Gramínea
Província florística
Fauna
Ave
Macaco
Estepe
Antílope
Girafa
Leão
Leopardo
Avestruz
Megafauna
Pleistoceno
Era do Gelo
Ser humano
Coevolução
Oceania
Glaciações
Holoceno
África Meridional
Geoesquema das Nações Unidas
Magrebe
Maghreb
Língua árabe
Ponto cardeal
Paisagem
Acidente geográfico
Areia
Clima mediterrânico
Cordilheira
Umidade
Berberes
Islamismo
Agropecuária
Vinho
Oliveira
Fruta cítrica
Tâmara
Pecuária
Clima semiárido
Minério
Exportação
Argel
Túnis
Orã
Casablanca
Rabat
Fez
Marraquexe
Petróleo
Gás natural
OPEP
Organização internacional
Fosfato
Indústria
Fertilizante
Mali
Níger
Chade
Atividade econômica
Oásis
Subsolo
Ferro
Urânio
Vale
Cairo
Siderurgia
Energia elétrica
Indústria têxtil
Produto (economia)
Química
Alimento
Solo
Potássio
Clima
Floresta
Densidade demográfica
Nigéria
Agricultura de subsistência
Café
Cacau
Amendoim
Banana
Industrialização
Capital (economia)
Mundo
Costa do Marfim
Luanda
República Centro-Africana
República Democrática do Congo
Escarpa
Negros
Bantos
Zaire
Jazida mineral
Cobre
Cobalto
Manganês
Extrativismo vegetal
Madeira
Potencial hidrelétrico
ONU
Comunidade da África Oriental
Federação da Rodésia e Niassalândia
Eritreia
Djibuti
Uganda
Ruanda
Burundi
Floresta tropical
Etnia
Indianos
Europeus
Cidade
Nairóbi
Mogadíscio
Adis-Abeba
Plantation
Algodão
Ouro
Platina
Estanho
Tungstênio
Desenvolvimento econômico
Pobreza
Fome
Hutus
Tutsis
Cataratas Vitória
Diamante
Crômio
Vinha
Fruta
Cana-de-açúcar
Fumo
Boi
Joanesburgo
Cidade do Cabo
Durban
Segregação racial
Apartheid
Caucasianos
Sam Nujoma
Religião na África
Religiões tradicionais africanas
Quilômetro quadrado
Demografia
Taxa de mortalidade
Imigração
Tráfico de escravos
Terceiro Mundo
Taxa de natalidade
Educação
Emprego
Cultura
Povo
Cristianismo
Missão cristã
Animismo
Seita
Politeísmo
Natureza
Língua natural
Língua inglesa
Língua francesa
Língua portuguesa
Língua africâner
Língua neerlandesa
Neerlandeses
Alemães
Franceses
Nações Unidas
Região Metropolitana do Cairo
Lagos (Nigéria)
Lista das maiores áreas metropolitanas da África
País
Kinshasa
Cartum
Dar es Salaam
Abidjã
Brancos
Tuaregues
Judeus
Negroide
