Área
Animal
Homem
Organização
Instituição
Política
Estado-nação
Biologia
Psicologia
Jurisdição
Patriarca
Pátria
País
Latim
Aldeia
Pagão
Geografia
Ser humano
Geografia política
Friedrich Ratzel
Espaço
Soberania
Estado
Sociedade
Nacional
Contemporâneo
Século XVIII
Povo
Tradicional
Aborígenes
Africanos
Americanos
Geografia tradicional
Geografia quantitativa
Fenômenos
Economia
Social
Estudo
Distrito
Eleição
Geografia humanista
Conceito
Objeto
Valor
Atitude
Natureza
Lugar (geografia)
Geografia crítica
Poder
Geógrafo
Quadrilha
Traficante
Imigração
Divisão
Prostituta
Travesti
Serviços
Interdição
Preconceito
Dimensão
Conformação
Infraestrutura
Planejamento urbano
Símbolo
Jerusalém
Espaço geográfico
Ordenamento do território
Metodologia
Uso do solo
Planejamento regional
Planejamento ambiental
Espaço físico
Teoria geral do Estado
Diplomacia
Relações internacionais
Nacionalidade
Existência
Nação
Entidade
Soberana
Autoridade Nacional Palestina
Ordem Soberana dos Cavaleiros de Malta
Cigano
Rio
Lago
Água
Idade Média
Geopolítica
País continental
Microestado
Oceano Pacífico
Maior
Igual
Oceania
Austrália
Rússia
Canadá
Estados Unidos
República Popular da China
Brasil
Lista de países por área
Terceiro Mundo
Europa
Ucrânia
Ilha
Enclave
Micronação
Wikimedia
Commonwealth
Congresso
França Metropolitana
França
Estado soberano
Colônia
Reino Unido
Reino dos Países Baixos
Países Baixos
Divisão administrativa
Califado
Canato
Déspota (título)
Emirado
Grão-cã
Grão-ducado
Nação constituinte
Principado
Reino (entidade política)
Sultão
Voivodia
Arrondissement
Bailiado
Bairro
Barão
Burgo
Cantão
Capitania-geral
Cidade de recenseamento
Cidade independente
Cidade
Circuito (divisão administrativa)
Comarca
Comuna
Comunidades autónomas da Espanha
Condado (divisão administrativa)
Condado metropolitano
Condado
Corregimento
Departamento (subdivisão do país)
Distrito eleitoral
Distrito federal
Distrito não organizado
Distrito rural
Distrito urbano
Ducado
Elizate
Ente federativo
Fração comunal
Freguesia
Governo geral
Landegrave
Marca (território)
Marquês
Município
Oblast
Paróquia (divisão administrativa)
Posto administrativo
Prefeitura
Província
Região administrativa especial
Região autônoma
Região censitária
Região da capital
Região
República autônoma
Sub-bairro
Subdistrito
Subprefeitura
Territórios federais do Brasil
Unidade administrativa local
Vice-rei
Arquidiocese
Circunscrição eclesiástica
Diocese
Paróquia
Patriarcado
Província eclesiástica
Povoamento humano
Assentamento de tipo urbano
Capital
Centro urbano
Cidade-satélite
Hamlet (lugar)
Localidade
Povoado
Subúrbio
Unidade de vizinhança
Vila
Regionalização
Gueto
Nomenclatura das Unidades Territoriais para Fins Estatísticos
Wikcionário
Wikiquote
