Unidades federativas do Brasil
Bahia
Lei
8 de junho
1973
Lista de regiões metropolitanas do Brasil por número de municípios
Salvador (Bahia)
Área
Quilómetro quadrado
População
População residente
Lista de regiões metropolitanas do Brasil por população
Densidade populacional
Índice de Desenvolvimento Humano
PNUD
Produto interno bruto
R$
Lista das regiões metropolitanas do Brasil por PIB
IBGE
Renda per capita
Instituto Brasileiro de Geografia e Estatística
Nordeste brasileiro
Censo demográfico do Brasil de 2010
Brasil
Mundo
Lista de regiões metropolitanas do Brasil por PIB
Município
Camaçari
Candeias (Bahia)
Dias d'Ávila
Itaparica
Lauro de Freitas
Madre de Deus (Bahia)
Mata de São João
Pojuca
São Francisco do Conde
São Sebastião do Passé
Simões Filho
Vera Cruz (Bahia)
Estado (subdivisão)
Sergipe
Alagoas
Pernambuco
Rio Grande do Norte
Maranhão
Piauí
Órgão público
Descentralização
Eleições no Brasil
Eleições municipais no Brasil
Distrito
Assembleia Legislativa da Bahia
2009
Jaques Wagner
Imagem de satélite
Recôncavo baiano
Oceano Atlântico
Baía de Todos os Santos
Ilha
Ilhota
Ilha de Itaparica
Acidente geográfico
Baía de Aratu
Baía
Jaguaripe
Salinas da Margarida
Santo Amaro (Bahia)
Saubara
Densidade demográfica
Censo brasileiro de 2010
Região metropolitana
Organização das Nações Unidas
Estimativa
Expansão urbana
Litoral Norte (Bahia)
Orla de Salvador
Mercado imobiliário
Miolo de Salvador
Conjuntos habitacionais
Banco Nacional da Habitação
Subúrbio Ferroviário
Baía de Todos-os-Santos
Favelização
Pardos
Afro-brasileiros
Brasileiros brancos
Povos indígenas do Brasil
Brasileiros asiáticos
Analfabetismo
Analfabetismo funcional
Economia de Salvador
PIB per capita
Indústria
Polo Petroquímico de Camaçari
Centro Industrial de Aratu
Turismo
Comércio
Aeroporto Internacional de Salvador
Porto de Salvador
Porto de Aratu
BR-324
BA-099
Região Metropolitana de Feira de Santana
BR-101
BR-116
Refinaria Landulpho Alves
Petrobras
Refinaria
Refinaria Abreu e Lima
Novonor
Grupo empresarial
Multinacional
América
África
Ásia
Rede Bahia
Construção civil
Santa Helena Construtora
Planejamento do turismo
Zona turística da Baía de Todos os Santos
Zona turística da Costa dos Coqueiros
Hotel
Costa do Sauipe
Praia do Forte (Mata de São João)
Parque industrial
BA-093
BA-535
BA-526
BA-524
Estrada do Coco
Polo Industrial de Camaçari
Monsanto (empresa)
Herbicida
Roundup
América do Sul
Ford Motor Company
BYD Auto
Ford EcoSport
Ford Fiesta
Indústria automotiva
Nordeste do Brasil
JAC Motors
Transporte rodoviário no Brasil
Petróleo no Brasil
História da industrialização no Brasil
CONDER
Lista de regiões metropolitanas do Brasil
Desenvolvimento urbano
Ditadura militar no Brasil (1964–1985)
Constituição brasileira de 1988
Federalismo no Brasil
Secretaria de Desenvolvimento Urbano do Estado da Bahia
Democratas (Brasil)
Supremo Tribunal Federal
Municipalismo
Licitação
Mobilidade urbana
Linha Azul (Salvador)
Linha Vermelha (Salvador)
Sistema Metroviário de Salvador e Lauro de Freitas
VLT Metropolitano
Transporte urbano
Habitação
Saneamento básico
Planejamento territorial
História da Bahia
Lista de municípios da Bahia por área urbana
International Standard Serial Number
Digital object identifier
Armando Avena
International Standard Book Number
Salvador
Lista de regiões geográficas intermediárias e imediatas da Bahia
Lista de mesorregiões e microrregiões da Bahia
Região Administrativa Integrada de Desenvolvimento do Polo Petrolina e Juazeiro
Lista de municípios da Bahia por população
Feira de Santana
Vitória da Conquista
Itabuna
Juazeiro (Bahia)
Ilhéus
Barreiras
Jequié
Alagoinhas
Teixeira de Freitas
Porto Seguro
Paulo Afonso
Eunápolis
Santo Antônio de Jesus
Região Nordeste do Brasil
Regiões metropolitanas do Brasil
Região Metropolitana de Goiânia
Região Metropolitana do Vale do Rio Cuiabá
Região Metropolitana do Agreste
Região Metropolitana de Aracaju
Região Metropolitana de Araruna
Região Metropolitana de Barra de Santa Rosa
Região Metropolitana de Caetés
Região Metropolitana de Cajazeiras
Região Metropolitana de Campina Grande
Região Metropolitana do Cariri
Região Metropolitana de Esperança
Região Metropolitana de Fortaleza
Região Metropolitana de Guarabira
Região Metropolitana de Itabaiana (Paraíba)
Região Metropolitana de João Pessoa
Região Metropolitana de Maceió
Região Metropolitana do Vale do Mamanguape
