Estados Unidos
Forças Armadas dos Estados Unidos
Departamento de Defesa dos Estados Unidos
1907
18 de setembro
Azul ultramarino
Dourado (cor)
Roundel
Comandante em chefe
Presidente dos Estados Unidos
Joe Biden
O Pentágono
Condado de Arlington
Departamento de Segurança Interna dos Estados Unidos
Exército dos Estados Unidos
Corpo de Fuzileiros Navais dos Estados Unidos
Marinha dos Estados Unidos
Força Espacial dos Estados Unidos
Guarda Costeira dos Estados Unidos
Departamento da Marinha dos Estados Unidos
Estado-Maior Conjunto dos Estados Unidos
Comando dos Estados Unidos para a África
Comando Central dos Estados Unidos
Comando Cibernético dos Estados Unidos
Comando Europeu dos Estados Unidos
Comando Sul dos Estados Unidos
Comando de Operações Especiais dos Estados Unidos
Comando Estratégico dos Estados Unidos
Agência de Inteligência de Defesa
Agência de Logística de Defesa
Agência de Redução de Ameaças de Defesa
Agência Nacional de Informação Geoespacial
Agência de Segurança Nacional
1 de agosto
United States Army Signal Corps
1947
Lei de Segurança Nacional
Supremacia aérea
Reconhecimento especial
Comando e controle
Secretário da Força Aérea dos Estados Unidos
Secretário de Defesa dos Estados Unidos
Senado dos Estados Unidos
Unified Combatant Command
2023
Míssil balístico intercontinental
Dólar dos Estados Unidos
Ano fiscal
2024
Código dos Estados Unidos
Commonwealth (área insular dos Estados Unidos)
Vigilância global
Lockheed Martin F-35 Lightning II
Contra ofensiva do ar
Ataque militar
Defesa antiaérea
Míssil balístico
Reconhecimento aéreo
Northrop Grumman RQ-4 Global Hawk
Boeing KC-46
Boeing C-17 Globemaster III
Transporte aéreo
Reabastecimento aéreo
Fairchild Republic A-10 Thunderbolt II
Base Aérea de Nellis
Bombardeio estratégico
Interdição aérea
Apoio aéreo aproximado
Guerra nuclear
Estado-nação
Estados Unidos Continentais
Teatro de operações
Século XXI
Departamento de Energia dos Estados Unidos
Departamento de Guerra dos Estados Unidos
Segunda Guerra Mundial
Infantaria
Forças Aéreas do Exército dos Estados Unidos
26 de julho
1949
Aviação militar
Porta-aviões
Avião anfíbio
Década de 1940
Charles Yeager
Barreira do som
Bell X-1
Divisão Aeronáutica do Signal Corps
18 de julho
1914
Seção de Aviação do Signal Corps
