Venceslau Brás
Império Alemão
Nilo Peçanha
Minas Gerais
Delfim Moreira
Primeira Guerra Mundial
1914
1918
País neutro
Convenção de Haia
Exportação
Café
Marinha Imperial Alemã
Aliados da Primeira Guerra Mundial
Germanofobia
América Latina
Divisão Naval em Operações de Guerra
Oceano Atlântico
Serviço militar obrigatório
Lei do Sorteio
Navio
Noruega
Noruegueses
Brasil
Economia
Alfândega
Inglaterra
Barco a vapor
Marinha mercante
Tonelada
Milha
Cabo (geografia)
Barfleur
França
Europa
Tríplice Entente
Irineu Machado
Ruy Barbosa
Lauro Müller
Porto Alegre
Jornal
Deutsche Zeitung
Petrópolis
Anarquismo
Comunismo
Greve Geral de 1917
Estado de sítio no Brasil
Insurreição anarquista de 1918
Paraná (navio)
Le Havre
Relações diplomáticas
Impérios Centrais
Indenização
Canhão
SM U-93
Cargueiro
Espanha
Prisioneiro de guerra
U-151
Jornal do Senado
Aliados
Atlântico Sul
Pedro Max Fernando Frontin
Britânica
Gibraltar
Paris
Exército de Terra Francês
Aviador
Exército brasileiro
Marinha do Brasil
Força Aérea Real
Rodrigues Alves
Pandiá Calógeras
Exército Brasileiro
Frente Ocidental (Primeira Guerra Mundial)
José Pessoa Cavalcanti de Albuquerque
Tertuliano Potiguara
Contestado
Ofensiva Meuse-Argonne
Tenentismo
General
Hospital
Farmacêutico
Epidemia
Gripe espanhola
Exército Brasileiro na Primeira República
Revolta dos sargentos de 1915
Exército Alemão
Exército Francês
Indústria bélica do Brasil
José Caetano de Faria
Ministério da Guerra (Brasil)
Estado-Maior do Exército (Brasil)
Olavo Bilac
Doutrina militar
Jovens Turcos (Brasil)
A Defesa Nacional
Missão Militar Francesa
Corrida armamentista naval da América do Sul
Contratorpedeiro
Alexandrino Faria de Alencar
Cruzador
Bahia (cruzador)
Rebocador Laurindo Pitta
Esquadra naval
Dacar
Arquipélago
São Vicente (Cabo Verde)
Mediterrâneo
Almirante
Contra-Almirante
Porto do Rio de Janeiro
U-43
9 de agosto
Freetown
Vírus
Armistício de Compiègne
Batalha das Toninhas
Periscópio
Submarino
Alemães
Cardume
Phocoenidae
Armistício
Conferência de Paz de Paris (1919)
Tratado de Versalhes
Juro
Conferência de Versalhes
Epitácio Pessoa
Liga das Nações
Batalha de Trindade
Brasil na Segunda Guerra Mundial
História militar do Brasil
Lista de navios confiscados pelo Brasil na Primeira Guerra
Paulo do Rio Branco
República Velha
ULBRA
Frank McCann
International Standard Book Number
Hernâni Donato
Hardcover
Campanha Balcânica
Frente Oriental (Primeira Guerra Mundial)
Campanha italiana (Primeira Guerra Mundial)
Teatro de operações do Oriente Médio na Primeira Guerra Mundial
Campanha do Cáucaso
Campanha da Mesopotâmia
Campanha do Sinai e Palestina
Campanha de Galípoli
Campanha Persa
Teatro africano da Primeira Guerra Mundial
Campanha do Sudoeste da África
Campanha da África Ocidental (Primeira Guerra Mundial)
Campanha da África Oriental
Teatro de operações da Ásia e Pacífico na Primeira Guerra Mundial
Cerco de Tsingtao
Participantes da Primeira Guerra Mundial
Império Russo
Governo Provisório Russo
Império Colonial Francês
Vietnã
Império Britânico
Reino Unido
Austrália
Canadá
Índia
Nova Zelândia
Domínio de Terra Nova
África do Sul
Itália
Campanha Romena
História dos Estados Unidos (1865-1918)
Sérvia
Portugal na Primeira Guerra Mundial
História da República da China (1912—1949)
Japão na Primeira Guerra Mundial
Bélgica
Montenegro
Grécia
República Democrática da Armênia
Potências Centrais
Alemanha
Áustria-Hungria
Império Otomano
Bulgária
Cronologia da Primeira Guerra Mundial
Revolução Mexicana
Guerra ítalo-turca
Primeira Guerra dos Balcãs
Segunda Guerra dos Balcãs
Causas da Primeira Guerra Mundial
Atentado de Sarajevo
Crise de Julho
Batalha das Fronteiras
Batalha de Cer
Primeira Batalha do Marne
Batalha de Stallupönen
Batalha de Gumbinnen
Batalha de Tannenberg (1914)
Batalha da Galícia
Primeira Batalha dos Lagos Masurianos
Batalha de Kolubara
Batalha de Sarikamish
Corrida para o mar
Primeira Batalha de Ypres
Trégua de Natal
Batalha de Neuve Chapelle
Segunda Batalha de Ypres
Batalhas do rio Isonzo
Grande Retirada (Rússia)
Campanha da Sérvia (Primeira Guerra Mundial)
Cerco de Kut
Batalha de Loos
Ofensiva de Erzurum
Batalha de Verdun
Ofensiva do Lago Naroch
Batalha de Asiago
Batalha da Jutlândia
Batalha do Somme
Ofensiva Brusilov
Ofensiva Monastir
Guerra submarina irrestrita
Primeira Batalha de Gaza
Ofensiva Nivelle
Batalha de Arras (1917)
Ofensiva de Kerensky
Terceira Batalha de Ypres
Batalha de Caporetto
Terceira batalha de Gaza
Batalha de Cambrai (1917)
Armistício de Erzincan
Operação Faustschlag
Tratado de Brest-Litovski
Frente Macedônia
Ofensiva da Primavera
Batalha do Lys
Ofensiva dos Cem Dias
Batalha de Megido (1918)
Batalha do Rio Piave
Batalha de Vittorio Veneto
Armistício de Villa Giusti
Armistício com a Bulgária
Armistício de Mudros
Campanha alemã em Angola
Conspiração Hindu-Alemã
Revolta da Páscoa
Revolução Russa de 1917
Guerra civil finlandesa
Guerra Civil Russa
Guerra de Independência da Ucrânia
Guerra Armeno-Azeri
Guerra Georgiano-Armênia
Revolução Alemã de 1918-1919
Guerra húngaro-romena de 1919
Revolta na Grande Polônia (1918-1919)
Guerra de Independência da Estônia
Guerra de Independência da Letônia
Guerras de Independência da Lituânia
Terceira Guerra Anglo-Afegã
Guerra polaco-soviética
Guerra de Independência da Irlanda
Guerra de Independência Turca
Guerra Greco-Turca (1919-1922)
Guerra polaco-lituana
Invasão soviética da Geórgia
Guerra Civil Irlandesa
Lista de batalhas da Primeira Guerra Mundial
Aviação na Primeira Guerra Mundial
Cavalos na Primeira Guerra Mundial
Gás venenoso na Primeira Guerra Mundial
Guerra de trincheira
Guerra total
Veteranos da Primeira Guerra Mundial ainda vivos
Mortos na Primeira Guerra Mundial
Gripe Espanhola
Genocídio armênio
Genocídio assírio
Genocídio grego
Primeira Guerra Mundial na cultura popular
Partilha do Império Otomano
