Latim
Geografia regional
Epistemologia
Geomorfologia
Espaço geográfico
Lógica
União Europeia
Nomenclatura Comum das Unidades Territoriais Estatísticas
País
Geografia tradicional
Paisagem
Paul Vidal de La Blache
Geografia quantitativa
Geografia humanista
Geografia crítica
Território
Yves Lacoste
Edward Soja
Milton Santos
Regiões do Brasil
Regiões de Portugal
Regiões da França
Regiões da Itália
Entidade subnacional
Estado
Divisão administrativa
Califado
Canato
Déspota (título)
Emirado
Grão-cã
Grão-ducado
Nação constituinte
Principado
Reino (entidade política)
Sultão
Voivodia
Aldeia
Arrondissement
Bailiado
Bairro
Barão
Burgo
Cantão
Capitania-geral
Cidade de recenseamento
Cidade independente
Cidade
Circuito (divisão administrativa)
Comarca
Comuna
Comunidades autónomas da Espanha
Condado (divisão administrativa)
Condado metropolitano
Condado
Corregimento
Departamento (subdivisão do país)
Distrito eleitoral
Distrito federal
Distrito não organizado
Distrito rural
Distrito urbano
Distrito
Ducado
Elizate
Ente federativo
Fração comunal
Freguesia
Governo geral
Landegrave
Marca (território)
Marquês
Município
Oblast
Paróquia (divisão administrativa)
Posto administrativo
Prefeitura
Província
Região administrativa especial
Região autônoma
Região censitária
Região da capital
República autônoma
Sub-bairro
Subdistrito
Subprefeitura
Territórios federais do Brasil
Unidade administrativa local
Vice-rei
Arquidiocese
Circunscrição eclesiástica
Diocese
Paróquia
Patriarcado
Província eclesiástica
Povoamento humano
Assentamento de tipo urbano
Capital
Centro urbano
Cidade-satélite
Hamlet (lugar)
Localidade
Povoado
Subúrbio
Unidade de vizinhança
Vila
Regionalização
Gueto
Nomenclatura das Unidades Territoriais para Fins Estatísticos
Continente
Terra
África
América
Antártica
Antártida
Ásia
Oceânia
Oceania
Europa
Afro-Eurásia
Eurafrásia
Eurásia
América do Norte
América Central
América do Sul
Austrália (continente)
Supercontinente
Gondwana
Laurásia
Pangeia
Panótia
Rodínia
Colúmbia (supercontinente)
Kenorland
Nena (supercontinente)
Ur (continente)
Vaalbara
Cráton Amazônico
Appalachia (continente)
Ártica (continente)
Asiamérica
Avalónia
Báltica
Placa cimeriana
Cráton do Congo
Euramérica
Laramidia
Laurência
Continente submerso
Planalto de Kerguelen
Zelândia (continente)
Pangeia Próxima
Amásia
Novopangaea
Atlântida
Lemúria
Mu (continente perdido)
Hiperbórea
Terra Australis
Subcontinente
Arábia
Subcontinente indiano
Fragmento continental
Protocontinente
