Bandeira das Nações Unidas
Estados-membros das Nações Unidas
Organização intergovernamental
24 de outubro
1945
Carta das Nações Unidas
Nova Iorque
Território internacional
Observadores da Assembleia Geral das Nações Unidas
Língua árabe
Língua chinesa
Língua espanhola
Língua francesa
Língua inglesa
Língua russa
Secretário-geral das Nações Unidas
António Guterres
Presidente da Assembleia Geral das Nações Unidas
Philémon Yang
Cooperação internacional
Liga das Nações
Segunda Guerra Mundial
Sede da Organização das Nações Unidas
Manhattan
Extraterritorialidade
Escritório das Nações Unidas em Genebra
Nairóbi
Viena
Segurança internacional
Paz mundial
Direitos humanos
Desenvolvimento econômico
Progresso social
Meio ambiente
Franklin Delano Roosevelt
Conferência das Nações Unidas sobre Organização Internacional
Guerra Fria
Estados Unidos
União Soviética
Guerra da Coreia
República Democrática do Congo
Israel
História da descolonização de África
Descolonização da Ásia e da Oceania
Década de 1970
Nobel da Paz
Assembleia Geral das Nações Unidas
Assembleia
Conselho de Segurança das Nações Unidas
Conselho Económico e Social das Nações Unidas
Conselho de Direitos Humanos das Nações Unidas
Secretariado das Nações Unidas
Tribunal Internacional de Justiça
Sistema das Nações Unidas
Organização Mundial de Saúde
Programa Alimentar Mundial
Fundo das Nações Unidas para a Infância
História da Organização das Nações Unidas
Franklin Roosevelt
Comitê Internacional da Cruz Vermelha
Convenções da Haia (1899 e 1907)
Primeira Guerra Mundial
Conferência de Paz de Paris (1919)
Alemanha
Japão
Invasão japonesa da Manchúria
Segunda Guerra Ítalo-Etíope
Adolf Hitler
Declaração das Nações Unidas
Departamento de Estado dos Estados Unidos
Casa Branca
França
Aliados da Segunda Guerra Mundial
Reino Unido
República da China (1912–1949)
Maxim Litvinov
T. V. Soong
Carta do Atlântico
Liberdade de religião
Potências do Eixo
China
Conferência Dumbarton Oaks
São Francisco (Califórnia)
Organização não-governamental
Anthony Eden
"Edward Stettinius, Jr."
Vyacheslav Molotov
"E. F. L. Wood, 1.º Conde de Halifax"
Wellington Koo
Westminster Central Hall
Londres
Trygve Lie
Dag Hammarskjöld
Palestina (região)
Ralph Johnson Bunche
Força de Emergência das Nações Unidas
Crise de Suez
Hungria
Revolução Húngara de 1956
Operação das Nações Unidas no Congo
Estado do Catanga
Moise Tshombe
Prêmio Nobel da Paz
U Thant
Força das Nações Unidas para Manutenção da Paz no Chipre
Descolonização
Década de 1960
Terceiro Mundo
República Popular da China
República da China
Grupo dos 77
Argélia
Resolução 3379 da Assembleia Geral das Nações Unidas
Sionismo
Guerra dos Seis Dias
Guerra do Vietnã
Guerra Indo-Paquistanesa de 1965
Kofi Annan
Guerra Civil de El Salvador
Grupo de Assistência das Nações Unidas para o Período de Transição
África do Sul
Apartheid
Camboja
Khmer Vermelho
Guerra do Golfo
Invasão do Kuwait
Década de 1990
Somália
Haiti
Moçambique
Iugoslávia
Operação das Nações Unidas na Somália II
Batalha de Mogadíscio (1993)
Força de Proteção das Nações Unidas
Missão de Assistência das Nações Unidas para Ruanda
Genocídio em Ruanda
Ronald Reagan
UNESCO
"Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Singapura
Boutros Boutros-Ghali
Década de 2000
Guerra Civil de Serra Leoa
Royal Marines
Guerra do Afeganistão (2001–presente)
OTAN
Guerra do Iraque
Ban Ki-moon
Conflito de Darfur
Conflito de Kivu
Guerra Civil Síria
Guerra civil do Sri Lanka
Sismo do Haiti de 2010
Estrutura da Organização das Nações Unidas
Assembleia Geral
Conselho de Segurança
Conselho Econômico e Social das Nações Unidas
