Futebol de salão
Futebol de cinco
Seleção Brasileira de Futsal
Seleção Argentina de Futsal Masculino
Jogos Pan-Americanos de 2007
Federação desportiva
FIFA
1930
1949
Bola
Uruguai
Brasil
Jogos Olímpicos
Futebol
Quadra esportiva
Gol
Associação Mundial de Futsal
Showbol
Português europeu
Associação Cristã de Moços
Montevidéu
Década de 1930
Seleção Uruguaia de Futebol
Jogos Olímpicos de Verão
Copa do Mundo FIFA de 1930
Federação Internacional de Futebol
Educação física
São Paulo
Hóquei na grama
Basquetebol
Polo aquático
Rio de Janeiro
Confederação Brasileira de Desportos
Federação Mineira de Futebol de Salão
Federação Cearense de Futsal
Federação Paranaense de Futsal
Federação Gaúcha de Futsal
Federação Baiana de Futsal
Federação Catarinense de Futebol de Salão
Federação Sergipana de Futebol de Salão
Confederação Sul-Americana de Futebol de Salão
Argentina
Paraguai
Peru
Federação Internacional de Futebol de Salão
João Havelange
Campeonato Mundial de Futebol de Salão de 1982
Campeonato Mundial de Futebol de Salão (FIFUSA/AMF)
Comparação entre futebol de salão e futsal
Futsal FIFUSA
FIFUSA
2000
União Europeia de Futsal
Confederação Pan-Americana de Futebol de Salão
"Confederação do Norte, América Central e Caribe de Futebol de Salão"
Confederação Africana de Futebol de Salão
Posições do futsal
Zagueiro
Revista
Placar
Editora Abril
CBFS
Federação Mineira de Futsal
PDF
Futsal Awards
Copa do Mundo de Futsal da FIFA
Torneio Mundial de Futsal Feminino
Copa Intercontinental de Futsal
Campeonato Mundial Feminino de Futebol de Salão (FIFUSA/AMF)
Grand Prix de Futsal
Mundialito de Futsal
UEFA
Liga dos Campeões de Futsal da UEFA
Campeonato Europeu de Futsal
União Europeia de Futebol de Salão
Copa da UEFS
Confederação Asiática de Futebol
Confederação Africana de Futebol
CONCACAF
CONMEBOL
Copa América de Futsal
Campeonato Sul-Americano de Clubes de Futsal
Campeonato Pan-Americano de Futebol de Salão
Campeonato Sul-Americano de Futebol de Salão
Confederação de Futebol da Oceania
Corfebol
Hoop takraw
Netball
Slamball
Streetball
Voleibol
Biribol
Bossaball
Futevôlei
Manbol
Peteca
Faustebol
Sepak takraw
Voleibol de praia
Voleibol de 9
Voleibol Adaptado
Voleibol na neve
Voleibol sentado
Ecuavóley
Tênis
Badminton
Futebol-tênis
Pádel
Autobol
Golbol
Ultimate Tak Ball
Tchoukball
Ultimate
Andebol
Andebol de campo
Andebol de praia
Futebol australiano
Calcio Fiorentino
Cuju
Futebol gaélico
Harpasto
Futebol de regras internacionais
Kemari
Futlama
Futebol de areia
Futebol de pântano
Futebol 7
Futebol de sete
Futebol de rua
Futebol em cadeira motorizada
Futebol freestyle
Rugby
Rugby league
Rúgbi de praia
Rugby em cadeira de rodas
Rugby sevens
Touch rugby
Futebol gridiron
Futebol americano
Futebol americano de arena
Futebol canadense
Flag football
Bocha
Bolão (boliche)
Boliche
Curling
Lawn bowls
Petanca
Ice stock sport
Camogie
Gateball
Hurling
Basebol
Softbol
Pesäpallo
Críquete
Bete-ombro
Twenty20
Bandy
Broomball
Floorball
Hóquei em Campo
Hóquei no gelo
Hóquei em linha
Hóquei em patins
Hóquei de rua
Hóquei de sala
Lacrosse
Box lacrosse
Polo (esporte)
Horseball
Pato (esporte)
Airsoft
Buzkashi
Kabaddi
Kin-Ball
Paintball
Queimada (jogo)
Roller derby
