Válvula termiônica
ENIAC
Mainframe
IBM System/360
Smartphone
Computador desktop
Console de jogos eletrônicos
GameCube
Supercomputador
Summit (supercomputador)
Máquina
Programação de computadores
Execução (computação)
Conectivo lógico
Aritmética
Computação
Programa de computador
Hardware
Sistema operativo
Software
Periférico
Rede de computadores
Cluster
Eletrónica de consumo
Controlador lógico programável
Sistema de controle
Forno de micro-ondas
Controlo remoto
Robô industrial
Computador pessoal
Dispositivo móvel
Internet
Cálculo infinitesimal
Ábaco
Revolução Industrial
Tear
Dados digitais
Segunda Guerra Mundial
Computador mecânico
Transístor
Semicondutor
MOSFET
Silício
Circuito integrado
Microprocessador
História do computador pessoal
Lei de Moore
Era da informação
Unidade central de processamento
Memória do computador
Dados
Teclado (informática)
Mouses
Joystick
Impressora
Entrada/saída
Ecrã tátil
Eletrônica
Memória de acesso aleatório
Unidade de disco rígido
Osso de Ishango
Função bijectiva
Contagem com dedos
Crescente Fértil
Gado
Sistema numérico de varas
Máquina de Anticítera
Computador analógico
Derek de Solla Price
Destroços de Anticítera
Anticítera
Citera
Creta
Planisfério celeste
Carta celeste
Albiruni
Astrolábio
Período helenístico
Hiparco
Calendário
Engrenagem
Isfahan
Irã
Calendário lunissolar
Arame
Redutor de velocidade
Suanpan
Ábaco romano
Civilização babilônica
Grécia Antiga
Planímetro
Régua de cálculo
William Oughtred
Logaritmo
Pierre Jaquet-Droz
Relojoeiro
Autômato
Neuchâtel
Suíça
Giovanni Plana
Calendário perpétuo
William Thomson
Analisador diferencial
Equação diferencial
Integral
Leonardo Torres y Quevedo
Polinómio
Académie des sciences
Charles Babbage
Polímata
Máquina diferencial
Royal Astronomical Society
Máquina analítica
Cartão perfurado
Plotter
Unidade lógica e aritmética
Estrutura de controle
Estrutura de seleção
Turing completude
Memória somente de leitura
Vírgula flutuante
Layout de teclado
Equações diferenciais
James Thomson (engenheiro)
Vannevar Bush
Instituto de Tecnologia de Massachusetts
Konrad Zuse
Marinha dos Estados Unidos
Submarino
Eletromecânica
Z2
Berlim
Z3
Relé
Palavra (ciência da computação)
Bit
Frequência de clock
Hertz
Celuloide
Sistema de numeração binário
Z4
Instituto Federal de Tecnologia de Zurique
Circuito eletrônico
Londres
Central telefônica
Processamento de dados
John Atanasoff
Clifford Berry
Universidade Estadual de Iowa
Atanasoff–Berry Computer
Colossus (computador)
Cifras
Bletchley Park
Enigma (máquina)
Bomba eletromecânica
Lorenz SZ 40/42
Max Newman
Álgebra booliana
Exército dos Estados Unidos
Estado (ciência da computação)
Patch cable
Comutador (redes)
Raiz quadrada
John Mauchly
John Presper Eckert
Universidade da Pensilvânia
Alan Turing
Máquina de Turing universal
Programa armazenado
John von Neumann
Teoria da computação
Algoritmos
Computador com programa armazenado
Laboratório Nacional de Física
Universidade de Manchester
Frederic Calland Williams
Tom Kilburn
Plataforma de teste
Tubo de Williams
Manchester Mark I
Ferranti
Shell plc
Amesterdão
Catering
LEO computer
Universidade de Cambridge
EDSAC
Transistor de junção bipolar
Computador humano
Microscópio
Calculadora
Transistor de efeito de campo
Julius Edgar Lilienfeld
John Bardeen
Walter Houser Brattain
William Bradford Shockley
Bell Labs
Transistor de contato pontual
Produção em massa
Computador transistorizado
Clock
KHz
Memória de tambor
Martin Atalla
Célula de memória (computação)
Memória semicondutora
Memória de núcleo magnético
Ministério da Defesa (Reino Unido)
Geoffrey Dummer
"Washington, D.C."
Jack Kilby
Texas Instruments
Robert Noyce
Fairchild Semiconductor
Germânio
Fabricação de dispositivos semicondutores
Processo planar
Jean Hoerni
Passivação
Die (circuito integrado)
6502
Radio Corporation of America
Federico Faggin
Intel 4004
Marcian Hoff
Masatoshi Shima
Stanley Mazor
Intel
Sistema em um chip
Computador portátil
Laptop
Wikipédia
Comunicação
IBM 5100
Osborne 1
Compaq Portable
Laptops
Telefones celulares
Tablet
Computador digital
Computador híbrido
Arquitetura Harvard
Arquitetura de von Neumann
CISC
RISC
Minicomputador
Servidor
Servidor blade
Estação de trabalho
Microcomputador
Computador doméstico
Desktop
All-in-one
HTPC
Thin client
Desknote
Ultrabook
Chromebook
Subnotebook
Smartbook
Netbook
Ultra Mobile PC
Pocket PC
Handheld PC
Computação vestível
Relógio inteligente
Computador de placa única
Mini PC
Computador modular
Microcontrolador
Monitor de vídeo
Placa-Mãe
Memória RAM
Placa de rede
Som
Placas de Vídeo
Fax
Unidade de fonte de alimentação (computador)
Leitor de CD
Memória de massa
Mouse
Rato
Década de 1940
História do hardware
Unidade de controle
Memória (computador)
Dispositivo de entrada
Dispositivo de saída
Registrador (informática)
CPU
Processamento
Década de 1970
Endereço de memória
Memória de computador
Disco rígido
Memória cache
Disquete
CD
DVD
Byte
Complemento para dois
Memória ROM
Barramento
Cache
Instrução
Vírus informático
Firmware
BIOS
POST
SETUP
EPROM
EEPROM
Memória secundária
