Coordenadas geográficas
Estilo arquitetónico
Arquitetura moderna brasileira
Oscar Niemeyer
Joaquim Cardozo
21 de abril
1960
Brasil
Brasília
Distrito Federal (Brasil)
Edifício
Congresso Nacional do Brasil
Praça dos Três Poderes
Palácio do Planalto
Edifício do Supremo Tribunal Federal
Senado Federal do Brasil
Câmara dos Deputados do Brasil
Torre
Túnel
Eixo Monumental
Lúcio Costa
Grama
Juscelino Kubitschek
Distrito Federal do Brasil (1891–1960)
Rio de Janeiro
Câmara alta
Palácio Monroe
Câmara baixa
Palácio Tiradentes
Concurso para o Plano Piloto de Brasília
Projeto de Lúcio Costa para o Plano Piloto de Brasília
Relatório do Plano Piloto de 1957
Palácio da Alvorada
Supremo Tribunal Federal
Escola Carioca
International style
Arquivo Nacional (Brasil)
Nauro Esteves
Praça do Buriti
Ulysses Guimarães
Athos Bulcão
Marianne Peretti
Alfredo Ceschiatti
Di Cavalcanti
Roberto Burle Marx
Alvenaria
Iphan
Morte de José Kairala
4 de dezembro
1963
Arnon Afonso de Farias Melo
Partido Democrata Cristão (1945)
Alagoas
Silvestre Péricles de Góis Monteiro
Partido Social Democrático (1945)
José Kairala
Acre
Ataques de 8 de janeiro em Brasília
História do Brasil
História pré-cabralina do Brasil
Luzia (fóssil)
Parque Nacional Serra da Capivara
Marajoaras
Sambaquis
Kuhikugu
Brasil Colônia
Descoberta do Brasil
Período pré-colonial do Brasil
Ciclo do Açúcar
Ciclo do Ouro
Reino do Brasil
Lista de guerras indígenas no Brasil
Quilombos
Capitanias do Brasil
Império do Brasil
Independência do Brasil
Primeiro Reinado
Noite da Agonia
Confederação do Equador
Guerra da Cisplatina
Noite das Garrafadas
Período regencial (Brasil)
Guerra dos Farrapos
Guerra dos Cabanos
Revolução Praieira
Golpe da Maioridade
Segundo Reinado
Ciclo do café
Guerra contra Oribe e Rosas
Guerra do Uruguai
Guerra do Paraguai
Questão Religiosa
Questão Militar
Abolicionismo no Brasil
Primeira República Brasileira
Proclamação da República Brasileira
República da Espada
Crise do encilhamento
Revolta da Armada
Guerra de Canudos
Política do Café com Leite
Política dos Governadores
Coronelismo
Guerra do Contestado
Revolta da Chibata
Greve geral de 1917
Tenentismo
Revolta dos 18 do Forte de Copacabana
Semana de Arte Moderna
Revolta Paulista de 1924
Coluna Prestes
Lei celerada
Grande Depressão
Era Vargas
Revolução de 1930
Revolução Constitucionalista de 1932
Ação Integralista Brasileira
Aliança Nacional Libertadora
Intentona Comunista
Estado Novo (Brasil)
Intentona Integralista
Brasil na Segunda Guerra Mundial
Deposição de Vargas
República Populista
Queremismo
Constituição de 1946
Eurico Gaspar Dutra
Eleição presidencial no Brasil em 1950
Governo Getúlio Vargas (1951-1954)
Atentado da rua Tonelero
Morte de Getúlio Vargas
Eleição presidencial no Brasil em 1955
Movimento de 11 de Novembro
Construção de Brasília
Eleição presidencial no Brasil em 1960
Governo Jânio Quadros
Governo João Goulart
Campanha da Legalidade
República Parlamentarista (Brasil)
Ditadura militar brasileira
Golpe de Estado no Brasil em 1964
Comando Supremo da Revolução
Governo Castello Branco
Atos Institucionais
Governo Costa e Silva
Passeata dos Cem Mil
AI-5
Junta militar brasileira de 1969
Governo Médici
Milagre econômico brasileiro
Governo Geisel
Governo João Figueiredo
Lei da Anistia
Abertura política
Luta armada contra a ditadura militar brasileira
Doutrina de segurança nacional (Brasil)
Tortura no Brasil
Lista de mortos e desaparecidos políticos na ditadura militar brasileira
Nova República
Constituição brasileira de 1988
Governo Sarney
Hiperinflação no Brasil
Governo Collor
Impeachment de Fernando Collor
Plano Real
Governo Fernando Henrique Cardoso
Desvalorização do real em 1999
Crise do apagão
Governo Lula (2003–2011)
Fome Zero
Bolsa Família
Mensalão
Governo Dilma Rousseff
Jornadas de Junho
Crise econômica brasileira de 2014
Petrolão
Operação Lava-Jato
Impeachment de Dilma Rousseff
Governo Temer
Crise do Diesel
Joesley Day
Governo Bolsonaro
Pandemia de COVID-19 no Brasil
Tentativa de golpe de Estado no Brasil em 2022–2023
Governo Lula (2023-presente)
Vandalismo
Invasão
Crime contra o patrimônio público
Bolsonarismo
Extremismo
Golpe militar
Governo Lula (2023–presente)
Luiz Inácio Lula da Silva
Jair Bolsonaro
Presidente do Brasil
Fusos horários no Brasil
Radicalismo
Quartel-General do Exército
Polícia Militar do Distrito Federal
Esplanada dos Ministérios
Palácio do Supremo Tribunal Federal
Terrorismo no Brasil
Ibaneis Rocha
