Autarquia
"Ministério da Ciência, Tecnologia e Inovação"
Brasil
Brasília
Distrito Federal (Brasil)
10 de fevereiro
1994
Missão espacial completa brasileira
1961
Programa espacial brasileiro
Espaçoporto
Centro de Lançamento de Alcântara
Maranhão
Base de lançamento espacial
Centro de Lançamento da Barreira do Inferno
Rio Grande do Norte
América do Sul
Estação Espacial Internacional
Ditadura militar no Brasil
Acidente de Alcântara
VSB-30
Marcos Pontes
Brasileiro
Lusófono
Cazaquistão
Expedição 12
Estados Unidos
China
Índia
Rússia
Ucrânia
Instituto Tecnológico de Aeronáutica
Jânio Quadros
Comissão Nacional de Atividades Espaciais
São José dos Campos
São Paulo (estado)
Astronomia
Geodésia
Geomagnetismo
Meteorologia
Instituto Nacional de Pesquisas Espaciais
Departamento de Ciência e Tecnologia Aeroespacial
Força Aérea Brasileira
Instituto de Aeronáutica e Espaço
Comissão Brasileira de Atividades Espaciais
Programa Nacional de Atividades Espaciais
Ensino superior
Universidade de Brasília
Universidade Federal de Minas Gerais
Alcoa
Avibras
Alcântara (Maranhão)
Densidade populacional
Foguete de sondagem
Foguete Sonda
Linha do equador
Satélites geoestacionários
Parnamirim (Rio Grande do Norte)
Telemetria
Foguete espacial
Veículo Lançador de Satélites
Foguetes de sondagem
Voo sub-orbital
Grupo Executivo e de Trabalho e Estudos de Projetos Espaciais
VS-40
Sonda I
Sonda II
Sonda III
Sonda IV
VS-30
VS-50
VLS-1
Estágio (astronáutica)
Foguete de combustível sólido
Órbita
Órbita polar
Veículo Lançador de Microssatélite
Sharp Edge Flight Experiment
Centro Aeroespacial Alemão
Lista de satélites brasileiros
IMINT
Satélite espião
Satélite de observação da Terra
Satélite de Coleta de Dados 1
Satélite de Coleta de Dados 2
CBERS-1
CBERS-2
CBERS-2B
CBERS-3
CBERS-4
SGDC
França
Satélite de telecomunicações
Amazônia-1
Flora Hiperspectral
CBERS-4A
LATTES-1
Japão
Meteorologia do espaço
Telescópio espacial
Raio X
SABIA-Mar 1
Argentina
Órbita terrestre baixa
Amazônia-1B
AST-1
SABIA-Mar 1B
Amazônia-2
Satélite SAR
AST-2
14 Bis
Expedição 13
Cosmódromo de Baikonur
Soyuz TMA
"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
Governo Jair Bolsonaro
Senado Federal do Brasil
Especialista de missão (NASA)
Soyuz TMA-8
Missão Centenário
Soyuz TMA-7
Satélite Sino-Brasileiro de Recursos Terrestres
NASA
Embraer
Alcantara Cyclone Space
Agência Espacial do Estado da Ucrânia
Joint venture
Cyclone-4
Dilma Rousseff
Agência Japonesa de Exploração Aeroespacial
Floresta tropical
Amazônia
ALOS
Programa Cruzeiro do Sul
Veículo de lançamento
Agência Espacial Federal Russa
Angara (família de foguetes)
Comando-Geral de Tecnologia Aeroespacial
Celso Amorim
Agência espacial
Agência Espacial Europeia
Programa Artemis
Lua
Marte (planeta)
BRICS
Roscosmos
Organização Indiana de Pesquisa Espacial
Administração Espacial Nacional da China
Agência Espacial Nacional Sul-Africana
Sensoriamento remoto
Mudanças climáticas
Cuiabá
Moscou
Sanya
Luiz Bevilacqua
Sergio Gaudenzi
Marco Antonio Raupp
José Raimundo Coelho
Congresso Nacional do Brasil
Garatéa-L
Veículo Suborbital Brasileiro
Aster (programa espacial)
Governo do Brasil
Wayback Machine
BBC News
Força Aérea do Brasil
CPDOC
FGV
Jovem Pan
IBGE
United States Geological Survey
INPE
G1
O Globo
JAXA
Estadão
Facebook
Instagram
Twitter
Lista de agências espaciais
Argélia
África do Sul
México
Agencia Espacial Mexicana
Canadá
Agência Espacial Canadiana
Agência Espacial Latino-Americana e Caribenha
Comisión Nacional de Actividades Espaciales
Israel
Agência Espacial de Israel
Agência Indiana de Pesquisa Espacial
União Europeia
Alemanha
Centre National d'Études Spatiales
Itália
Agência Espacial Italiana
Reino Unido
UK Space Agency
Suécia
Agência Espacial Sueca
Áustria
Agência Espacial Austríaca
Portugal
Portugal Space
Austrália
Commonwealth Scientific and Industrial Research Organisation
Ciência e tecnologia no Brasil
Associação Aeroespacial Brasileira
Instituto de Estudos Avançados
Satélite de Reentrada Atmosférica
Amazonia 1
AESP-14
GOLDS-UFSC
Galileo Solar Space Telescope
Fernando de Mendonça
Missão Espacial Completa Brasileira
VLS-1 V01
VLS-1 V02
Alcântara Cyclone Space
Base Virtual Internacional de Autoridade
Número de controle da Biblioteca do Congresso
