Língua hindi
Língua inglesa
Bandeira da Índia
Brasão de armas da Índia
Satyameva Jayate
Sânscrito
Devanágari
Jana Gana Mana
Conflito na Caxemira
Paquistão
Disputa de fronteira sino-indiana
Nova Déli
Bombaim
Lista de línguas nacionais da Índia
Gentílico
Indianos
República federal
Parlamentarismo
Presidente da Índia
Draupadi Murmu
Vice-presidente da Índia
Lista de primeiros-ministros da Índia
Narendra Modi
Proclamação da Independência da Índia
Reino Unido
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Bangladexe
Butão
China
Mianmar
Nepal
Lista de países por população
Densidade populacional
Produto interno bruto
Paridade do poder de compra
1 000 000 000 000
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Rupia indiana
ISO 4217
Fuso horário
Horário Padrão da Índia
Tempo Universal Coordenado
Lista de TLDs
.in
Lista de códigos telefónicos
Romanização (linguística)
País
Ásia Meridional
Democracia
Mundo
Oceano Índico
Mar Arábico
Golfo de Bengala
País insular
Seri Lanca
Maldivas
Civilização do Vale do Indo
Rota de comércio
Subcontinente indiano
Principais grupos religiosos
Hinduísmo
Budismo
Jainismo
Siquismo
Zoroastrismo
Judaísmo
Cristianismo
Islamismo
Companhia Britânica das Índias Orientais
Império Britânico
Independência da Índia
Resistência não violenta
República
Subdivisões da Índia
Desigualdade social
Pobreza
Lista de países por índice de alfabetização
Doença
Desnutrição
Pluralismo religioso
Multirracial
Países megadiversos
Habitat
Língua persa antiga
História da Índia
Civilização védica
Dolavira
Guzerate
Homo sapiens
Arte rupestre
Mesolítico
Abrigos na Rocha de Bhimbetka
Madia Pradexe
Neolítico
Mergar
Urbanização
Moenjodaro
Harapa
Rigveda
Grutas de Ajanta
Aurangabad
Maarastra
Saranate
Buda
Idade do Cobre
Idade do Ferro
Vedas
Panjabe
Planície Indo-Gangética
Indo-arianos
Sistema de castas na Índia
Hierarquia
Sacerdote
Guerreiro
Camponês
Indígenas
Decão
Patriarcal
Sedentarismo
Monumento megalítico
Agricultura
Irrigação
Artesanato
Oligarquia
Monarquia
Mahajanapadas
Ortodoxia
Gautama Buda
Classe social
Classe média
Mahavira
Mosteiro
Reino de Mágada
Império Máuria
"Asoca, o Grande"
Darma
Língua tâmil
Império Chola
Império Pandia
Império Romano
Sudoeste Asiático
Sudeste Asiático
Ásia
Rota da Seda
Extremo Oriente
Europa
Ásia Central
China Antiga
Era dos Descobrimentos
Império Gupta
Devoção
Escultura
Astronomia indiana
Aiurveda
Gopura
Templo de Brihadisvara
Thanjavur
Qutub Minar
Sultanato de Déli
Império Chaluquia
Império Pala
Bengala
Pastoreio
Bhakti
Tailândia
Laos
Camboja
Vietnã
Malásia
Java
Indonésia
Grupo étnico
Muizadim Maomé
Sultanato
Norte da Índia
Império Mongol
Migração humana
Sincretismo
Reino de Bisnaga
Xivaísmo
Império Mogol
Índia britânica
Taj Mahal
Agra (Índia)
Xá Jeã
Sete maravilhas do mundo moderno
"Acbar, o Grande"
Pérsia
Prata
Império Marata
Rajapute
Vasco da Gama
Descoberta do caminho marítimo para a Índia
Calecute
Afonso de Albuquerque
Goa
Estado Português da Índia
Império Português
Costa do Malabar
Damão
Diu
Ilha de Angediva
Dadrá e Nagar Aveli
Simbor
Gogolá
Robert Clive
Batalha de Plassey
Matéria-prima
Parlamento do Reino Unido
História da República da Índia
Movimento de independência da Índia
Suserania
Telégrafo
Rebelião Indiana de 1857
Estado unitário
Feudalismo
Congresso Nacional Indiano
Jawaharlal Nehru
Mahatma Gandhi
Primeira Guerra Mundial
Exército indiano durante a Primeira Guerra Mundial
Mohandas Karamchand Gandhi
Segunda Guerra Mundial
Partição da Índia
Secularismo
Liberdades civis
Cinema da Índia
Música da Índia
Sistema de castas da Índia
Maoismo
Naxalita
Insurgência em Jamu e Caxemira
Insurgência no nordeste da Índia
Guerra sino-indiana
Guerra Indo-Paquistanesa de 1947
Guerra Indo-Paquistanesa de 1965
Guerra Indo-Paquistanesa de 1971
Guerra de Cargil
Bomba nuclear
Mapa topográfico
Placa indiana
Placa tectônica
Placa indo-australiana
Supercontinente
Gondwana
Nordeste
Subcontinente
Placa euro-asiática
Zona de subducção
Cordilheira
Himalaia
Tectonismo
Deserto do Thar
Vindhya
Gujarat
Planalto
Jarcanda
Gates Ocidentais
Gates Orientais
Kangchenjunga
Nível médio do mar
Rio Ganges
Rio Jamuna
Prayagraje
Utar Pradexe
Rio Bramaputra
Rio Kosi
Rio Godavari
Maanandim
Rio Kaveri
Rio Krishna
Rio Narmada
Pântano
Leste
Sundarbans
Ilha
Mar de Andamão
Litoral
Arquipélago
Andamão e Nicobar
Laquedivas
Praia
Falésia
Marisma
Classificação climática de Köppen-Geiger
Monção
Vento catabático
Latitude
Humidade
Precipitação (meteorologia)
Clima tropical úmido
Clima tropical com estação seca
Clima subtropical úmido
Biorregião
Biodiversidade
Mamíferos
Aves
Répteis
Anfíbios
Peixe
Espermatófita
Biorregionalismo
Endemismo
Gavial
Crocodilo
Leão-asiático
Parque Nacional da Floresta de Gir
Pavão-indiano
Elefante-asiático
Carnataca
Floresta húmida
Floresta temperada de coníferas
Caducifólia
Xerófito
Táxon
Laurásia
Vulcanismo
Mudanças climáticas
Extinção em massa
Passo de montanha
Zoogeografia
Espécie ameaçada
Tigre-de-bengala
Abutre-indiano-de-dorso-branco
