Gato-do-mato
Itatiba
Estado de conservação
Espécie pouco preocupante
Lista Vermelha da IUCN
Classificação científica
Reino (biologia)
Animalia
Filo
Chordata
Classe (biologia)
Mammalia
Ordem (biologia)
Carnivora
Família (biologia)
Felídeos
Felíneos
Género (biologia)
Leopardus
Espécie
Nomenclatura binomial
Carlos Lineu
Sinonímia (taxonomia)
Mamífero
Subespécie
Gato-maracajá
Estados Unidos
Argentina
Extinção
Distribuição geográfica
Roedor
Ungulado
Répteis
Aves
Peixe
Predador de emboscada
União Internacional para a Conservação da Natureza e dos Recursos Naturais
Pouco preocupante
Convenção sobre o Comércio Internacional das Espécies da Fauna e da Flora Silvestres Ameaçadas de Extinção
Espécie vulnerável
Colômbia
Brasil
Lista de mamíferos ameaçados do Brasil
Caça furtiva
Animal de estimação
Galinha
Língua espanhola
Língua inglesa
Eduardo Navarro
Dicionário de Tupi Antigo
Língua tupi-guarani
Onça-pintada
Língua náuatle
Nome científico
Língua grega
Latim
Filogenia
Leopardus wiedii
Leopardus jacobita
Leopardus colocolo
Leopardus tigrinus
Leopardus geoffroyi
Leopardus guigna
Citogenética
DNA
Felis
Gato
Felídeo
Novo Mundo
Velho Mundo
Gato-palheiro
Puma (gênero)
Gato-mourisco
Onça-parda
DNA mitocondrial
Guiana Francesa
Panamá
Venezuela
Trindade (Trindade e Tobago)
Morfometria
Crânio
Nicarágua
México
América Central
Andes
Texas
Guianas
Paraguai
Equador
Peru
Arizona
Bolívia
Louisiana
Entre Ríos (Argentina)
Ilha de Margarita
Chile
Ohio
Flórida
Uruguai
Rio Grande (América do Norte)
Chaparral
Pantanal
Mangue
Cana-de-açúcar
Eucalyptus
Neotrópico
Massa corporal
Floresta tropical
Melanismo
Músculos
Membro superior
Crista sagital
Caninos
Carniceiro (dente)
Dente decíduo
Báculo (biologia)
Pênis
Híbrido (biologia)
Gato-do-mato-pequeno
Gato-do-mato-grande
Suçuarana
Cromossomos
Ave
Primatas
Llanos
Mesopredadores
Superpredador
Comunidade
Predação intraguilda
Ecossistema
Agressão
Sistema de acasalamento
Poliginia
Área de vida
Bioma
Parque Nacional das Emas
Cerrado
Biomassa
Paca
Cutia
Primata
Bugio
Folivora
Mazama
Zygodontomys brevicauda
Sigmodon alstoni
Holochilus brasiliensis
Reserva Natural Vale
Linhares (Espírito Santo)
Mata Atlântica
Caititu
Tupinambis merianae
Peixes
Crustacea
Felino
Esperma
Estro
Clima temperado
Ovulação
Inverno
Fecundação
Lynx rufus
Amamentação
Amazônia
Década de 1990
América do Norte
Condado de Cameron (Texas)
Condado de Willacy
Sonora
Minas Gerais
Criticamente em perigo
Santa Catarina
São Paulo (estado)
Rio Grande do Sul
Espírito Santo (estado)
Paraná
Bahia
Rio de Janeiro (estado)
Instituto Chico Mendes de Conservação da Biodiversidade
Misiones (província)
Parque Nacional do Iguaçu
Parque Estadual do Turvo
Agricultura itinerante
Avicultura
Honduras
Guiana
El Salvador
Benedito Calixto
Mitologia
Asteca
Inca
Moche
Cerâmica
Língua guarani
Salvador Dalí
José de Anchieta
Castro Alves
Antoine-Louis Barye
Gram Parsons
Winter Haven
Gado bovino
Galinheiro
União Internacional para Conservação da Natureza
Digital object identifier
International Standard Book Number
OCLC
IUCN
International Standard Serial Number
Universidade de São Paulo
Universidade Federal do Espírito Santo
Ministério do Meio Ambiente (Brasil)
Universidade Estadual de Campinas
IBAMA
Wikimedia
Carnívoros
Animal
Eutheria
Laurasiatheria
Feliformia
Nandinia binotata
Herpestidae
Helogale parvula
Herpestes ichneumon
Herpestes javanicus
Suricata
Hiena
Hiena-malhada
Hiena-castanha
Hiena-riscada
Lobo-da-terra
Felidae
Viverridae
Eupleridae
Felinae
Acinonyx
Acinonyx jubatus
Caracal
Felis bieti
Gato-da-selva
Gato-de-pallas
Gato-do-deserto
Gato-bravo-de-patas-negras
Gato-bravo
Leopardus braccatus
Gato-dos-pampas
Serval
Lince
Lince-do-canadá
Lince-euroasiático
Lince-ibérico
Pardofelis
Gato-marmorado
Gato-vermelho-de-bornéu
Gato-bravo-dourado-da-ásia
Prionailurus
Gato-leopardo
Gato-de-iriomote
Gato-de-cabeça-chata
Prionailurus rubiginosus
Prionailurus viverrinus
Gato-dourado-africano
Puma (género)
Puma concolor
Puma yagouaroundi
Pantherinae
Panthera
Leão
Panthera onca
Leopardo
Tigre
Leopardo-das-neves
Neofelis
Leopardo-nebuloso
Pantera-nebulosa-de-bornéu
Paradoxurinae
Binturong
Paradoxurus hermaphroditus
Hemigalinae
Prionodontidae
Prionodon pardicolor
Viverrinae
Civeta-africana
Genetta
Geneta de Angola
Gineta
Poiana
Fossa (animal)
Fossa fossana
Salanoia durrelli
Caniformia
Ursidae
Ailuropoda melanoleuca
Panda-gigante
Helarctos malayanus
Melursus ursinus
Tremarctos ornatus
Ursus
Urso-negro
Urso-pardo
Urso-polar
Urso-negro-asiático
Mefitídeos
Conepatus
Zorrilho
Jaritataca
Mephitis mephitis
Spilogale gracilis
Spilogale putorius
Procionídeos
Olingo
Bassaricyon alleni
Bassaricyon beddardi
Bassaricyon gabbii
Bassariscus
Bassarisco
Bassariscus sumichrasti
Quati
Quati-de-nariz-branco
Quati-de-cauda-anelada
Jupará
Procyon
Mão-pelada
Procyon lotor
Ailuridae
Panda-vermelho
Otariidae
Lobo-marinho
Leão-marinho
Pinípedes
Lobo-marinho-da-nova-zelândia
Lobo-marinho-de-galápagos
Lobo-marinho-antártico
Lobo-marinho-australiano
Arctocephalus townsendi
Arctocephalus tropicalis
Callorhinus ursinus
Eumetopias jubatus
Neophoca cinerea
Leão-marinho-da-patagônia
Phocarctos hookeri
Morsa
Foca
Foca-de-crista
Foca-barbuda
Halichoerus grypus
Histriophoca fasciata
Foca-leopardo
Foca-de-weddell
Lobodon carcinophagus
Elefante-marinho
Mirounga angustirostris
Elefante-marinho-do-sul
Monachus
Foca-monge-do-mediterrâneo
Foca-monge-do-havaí
Foca-da-groenlândia
Phoca
Foca-comum
Pusa
Foca-anelada
Nerpa
Canídeos
Mustelídeos
Atelocynus microtis
Canis
Canis adustus
Chacal-dourado
Coiote
Lobo
Cão
Chacal-de-dorso-negro
Lobo-vermelho
Lobo-etíope
Cerdocyon thous
Lobo-guará
Cão-selvagem-asiático
Lycalopex
Lycalopex culpaeus
Lycalopex fulvipes
Raposa-cinzenta-argentina
Graxaim-do-campo
Lycalopex sechurae
Raposa-do-campo
Lycaon pictus
Nyctereutes
Cão-guaxinim
Otócion
Cachorro-vinagre
Urocyon
Raposa-cinzenta
Raposa-das-ilhas
Vulpes
Vulpes bengalensis
Vulpes cana
Raposa-do-cabo
Raposa-das-estepes
Vulpes ferrilata
Raposa-do-ártico
Vulpes macrotis
Vulpes pallida
Vulpes rueppellii
Raposa-veloz
Raposa-vermelha
Feneco
Lontra
Aonyx
Lontra-anã-oriental
Lontra-marinha
Lontra-norte-americana
Chugungo
Lontra-neotropical
Lontra-europeia
Lontra-de-nariz-peludo
Ariranha
Mustelinae
Texugo
Arctonyx
Irara
Furão-pequeno
Furão-grande
Glutão
Marta (animal)
Martes americana
Fuinha
Martes gwatkinsii
Martes martes
Zibelina
Meles
Meles anakuma
Texugo-europeu
Ratel
Mustela
Doninha-amazônica
Mustela altaica
Arminho
Mustela eversmanii
Mustela frenata
Mustela itatsi
Vison-europeu
Mustela nigripes
Doninha-anã
Tourão
Mustela sibirica
Vison-americano
Doninha-de-nuca-branca
Texugo-americano
Toirão-jaspeado
Vormela peregusna
Biblioteca Nacional Central de Florença
Grande Enciclopédia Soviética
Encyclopædia Britannica
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Taxonomia
Animal Diversity Web
Enciclopédia da Vida
Organização Europeia e Mediterrânica para a Proteção das Plantas
Fossilworks Paleobiology Database
Global Biodiversity Information Facility
INaturalist
ITIS
União Internacional para a Conservação da Natureza
Mammal Species of the World
National Center for Biotechnology Information
Convenção sobre o Comércio Internacional das Espécies Silvestres Ameaçadas de Extinção
Sistema Unificado de Linguagem Médica
