Gerdau (Alemanha)
Razão social
Tipos de empresas
Empresa de capital aberto
B3 (bolsa de valores)
Bolsa de Valores de Nova Iorque
Latibex
Siderurgia
Sociedade anônima
16 de janeiro
1901
Porto Alegre
Rio Grande do Sul
João Gerdau
São Paulo (estado)
Brasil
Jorge Gerdau Johannpeter
2021
Aço
Prego
Arame
Vergalhão
Empresa-mãe
Metalúrgica Gerdau
Subsidiária
Gerdau Açominas
Valor de mercado
R$
Março
Lucro
Lucro antes de juros e imposto de renda
América Latina
Sucata
Matéria-prima
Tonelada
Ação (finanças)
São Paulo
Nova Iorque
Madrid
Minério de ferro
Colônia de Santo Ângelo
Agudo
Neuenfelde
Reino de Hanôver
Hamburgo
Reino da Prússia
Sul do Brasil
Império do Brasil
Porto de Rio Grande
Província de São Pedro do Rio Grande do Sul
Unidades federativas do Brasil
Cachoeira do Sul
Hugo Gerdau
Passo Fundo
Curt Johannpeter
Klaus Gerdau Johannpeter
Conselho de administração
Jorge Gerdau
Presidente
Frederico Gerdau Johannpeter
Diretor-executivo
Ceará
Minas Gerais
Paraná
Pernambuco
Rio de Janeiro (estado)
Espírito Santo (estado)
América do Norte
Canadá
Estados Unidos
México
Argentina
Peru
Uruguai
Colômbia
República Dominicana
Recife
Barão de Cocais
Maracanaú
Rio de Janeiro
Divinópolis
Sete Lagoas
Araucária (Paraná)
Sapucaia do Sul
Usiba
Simões Filho
Araçariguama
Açominas
Charqueadas
Mogi das Cruzes
Pindamonhangaba
Itabirito
Ouro Preto
Universo Online
André Bier Gerdau Johannpeter
Aços Villares
Cosigua
Gerdau Usiba
MRS Logística S/A
Frota da MRS Logística
Esporte Clube Novo Horizonte
Museu das Minas e do Metal
Prêmio Jovem Cientista
Casa de Moeda Falsa do Paraopeba
Operação Zelotes
Orquestra Ouro Preto
Lista de companhias citadas no Ibovespa
Ibovespa
ALLOS
Banco do Brasil
BB Seguridade
Bradesco
Bradespar
BTG Pactual
Caixa Seguridade
Iguatemi S/A
IRB Brasil RE
Itaúsa
Itaú Unibanco
Banco Santander (Brasil)
Multiplan
Brava Energia
Cosan
Petrobras
PRIO
PetroRecôncavo
Raízen
Grupo Ultra
Vibra Energia
Auren Energia
Companhia Energética de Minas Gerais
Companhia Paranaense de Energia
Companhia de Saneamento de Minas Gerais
CPFL Energia
Grupo Energisa
Engie Brasil
Eletrobras
Eneva
Equatorial Energia
ISA CTEEP
Sabesp
Taesa S.A.
Azul Linhas Aéreas Brasileiras
Grupo CCR
CVC Brasil
Embraer
Rumo Logística
Santos Brasil
WEG S.A.
Ambev
Assaí Atacadista
BRF
Grupo Carrefour Brasil
GPA
Grupo São Martinho
JBS
Marfrig
Minerva Foods
Natura &Co
SLC Agrícola
Alpargatas S/A
Azzas 2154
Eztec
Cyrela
Lojas Renner
Magazine Luiza
MRV Engenharia
Petz (empresa)
Vivara
Braskem
Companhia Siderúrgica Nacional
CSN Mineração
Klabin
Suzano Papel e Celulose
Usiminas
Vale S.A.
LocaWeb
Telefônica Brasil
TIM Brasil
Totvs
Grupo Fleury
Hapvida NotreDame Intermédica
Hypera Pharma
RaiaDrogasil
Rede D'Or São Luiz
Cogna Educação
Localiza
Simpar
YDUQS
Siderúrgica Norte Brasil
Aperam South America
ArcelorMittal
ArcelorMittal Aços Longos
Companhia Siderúrgica do Pecém
ArcelorMittal Tubarão
Villares Metals S.A
Riva (empresa)
Tenaris
Ternium Brasil
Companhia Siderúrgica Paulista
Siderbrás
Vallourec Tubos do Brasil
Vallourec & Sumitomo
Votorantim Siderurgia
Global Research Identifier Database
Identificador de Entidade Jurídica
