Santo Domingo
Ibero-América
Andorra-a-Velha
Andorra
Assunção
Paraguai
Barcelona
Espanha
Bogotá
Colômbia
Brasília
Brasil
Buenos Aires
Argentina
Caracas
Venezuela
Cidade da Guatemala
Guatemala
Havana
Cuba
La Paz
Bolívia
Lima
Peru
Lisboa
Portugal
Madrid
Manágua
Nicarágua
Cidade do México
México
Montevidéu
Uruguai
Cidade do Panamá
Panamá
Rio de Janeiro (cidade)
Quito
Equador
San José (Costa Rica)
Costa Rica
San Juan (Porto Rico)
Porto Rico
San Salvador
El Salvador
Santiago de Chile
Chile
República Dominicana
São Paulo (cidade)
Sucre
Tegucigalpa
Honduras
União das Cidades Capitais Luso-Afro-Américo-Asiáticas
Conferência Ibero-americana
Cabo Verde
Filipinas
Guiné Equatorial
Moçambique
Belize
Timor-Leste
Secretaria-Geral Ibero-Americana
Secretaria de Cooperação Ibero-americana
Associação de Bibliotecas Nacionais Ibero-americanas
Conferência de Autoridades Audiovisuais e Cinematográficas Iberoamericanas
Comunidade Ibero-americana de Nações
"Organização dos Estados Ibero-americanos para Educação, Ciência e Cultura"
Dinastia Filipina
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Catálogo de autoridades de nomes e títulos da Catalunha
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
