Julho
Agosto
Setembro
Domingo
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
28 de julho
29 de julho
30 de julho
31 de julho
1 de agosto
2 de agosto
3 de agosto
4 de agosto
5 de agosto
6 de agosto
7 de agosto
8 de agosto
9 de agosto
10 de agosto
11 de agosto
12 de agosto
13 de agosto
14 de agosto
15 de agosto
16 de agosto
17 de agosto
18 de agosto
19 de agosto
20 de agosto
21 de agosto
22 de agosto
23 de agosto
24 de agosto
25 de agosto
26 de agosto
27 de agosto
28 de agosto
30 de agosto
31 de agosto
Ano
2024
Década
Década de 2020
Século
Século XXI
Milênio
Terceiro milénio d.C.
Calendário gregoriano
Ano bissexto
Guerra dos Sete Anos
Motocicleta
Motor de combustão interna
708
Wadōkaichin
Japão
870
Mdina
Rabat (Malta)
Aglábida
Malta bizantina
1009
Catedral de Mainz
Incêndio
1219
Batalha de Fariscur (1219)
Quinta Cruzada
1261
Urbano IV
Papa Alexandre IV
1315
Batalha de Montecatini
República de Pisa
Reino de Nápoles
República de Florença
1350
Batalha de Winchelsea
Eduardo III de Inglaterra
1475
Paz de Picquigny
Reino da França
1484
Papa Inocêncio VIII
Sisto IV
1498
Vasco da Gama
Calecute
Reino de Portugal
1521
Turcos otomanos
Belgrado
1526
Batalha de Mohács
Império Otomano
"Solimão, o Magnífico"
Dinastia jaguelônica
Reino da Hungria
Reino da Boémia
1541
Buda (Hungria)
Reino Húngaro
1588
Toyotomi Hideyoshi
Campesinato
Samurai
1741
Tsunâmi
Erupção vulcânica
1756
Frederico II da Prússia
Eleitorado da Saxônia
1821
Guerra da Independência do Brasil
Convenção de Beberibe
Província de Pernambuco
1825
Tratado do Rio de Janeiro (1825)
Império do Brasil
Independência do Brasil
1831
Michael Faraday
Indução eletromagnética
1842
Tratado de Nanquim
Primeira Guerra do Ópio
1852
Ferrovia
Estrada de Ferro Mauá
Irineu Evangelista de Sousa
1853
Província de São Paulo
Província do Paraná
1869
Mount Washington Cog Railway
Caminho de ferro de cremalheira
1871
Meiji (imperador)
Abolição do sistema han
Prefeituras do Japão
1885
Gottlieb Daimler
Daimler Reitwagen
1898
Goodyear
1910
Tratado de Anexação Japão-Coreia
Ocupação japonesa da Coreia
1912
Tufão chinês de 1912
1914
Primeira Guerra Mundial
Batalha de Saint-Quentin
Saint-Quentin
Aisne
1918
Bapaume
Ofensiva dos Cem Dias
1941
Segunda Guerra Mundial
Tallinn
Estônia
Alemanha Nazista
União Soviética
1943
Dinamarca na Segunda Guerra Mundial
1944
Revolta Nacional Eslovaca
Eslovacos
Nazismo
1949
Projeto soviético da bomba atômica
Bomba nuclear
RDS-1
Área de Testes de Semipalatinsk
Cazaquistão
1965
Gemini V
1966
Sayyid Qutb
Gamal Abdel Nasser
The Beatles
São Francisco (Califórnia)
1969
Rooftop Concert
1975
Francisco Morales Bermúdez
Golpe de Estado
Juan Velasco Alvarado
1978
III Governo Constitucional de Portugal
António Ramalho Eanes
Lista de chefes de governo de Portugal
Alfredo Nobre da Costa
1982
Elemento químico
Meitnério
Número atômico
Darmstadt
1991
Soviete Supremo da União Soviética
Partido Comunista da União Soviética
1993
Chacina de Vigário Geral
Rio de Janeiro
1997
Netflix
DVD
2003
Saíde
Aiatolá
Mohamed Baqir al-Hakim
Xiita
Najaf
2005
Furacão Katrina
Costa do Golfo dos Estados Unidos
Luisiana
Panhandle da Flórida
2022
Artemis 1
Space Launch System
NASA
Guerra Russo-Ucraniana
Ucrânia
Oblast de Kherson
Kherson
Bezerra de Menezes
Ingrid Bergman
Edu Lobo
Michael Jackson
Alessandra Negrini
Luana Piovani
1514
Marquês de Villafranca
1577
1619
Jean-Baptiste Colbert
1683
1632
John Locke
1704
1714
Frederica Luísa da Prússia
1784
1730
Aleijadinho
1814
1769
Rosa Filipa Duchesne
1780
Jean-Auguste Dominique Ingres
1867
Richard Rush
1859
1805
Frederick Denison Maurice
1872
1809
Oliver Wendell Holmes
1894
1810
Juan Bautista Alberdi
1884
1817
John Leech
1864
1822
Manuel Gomes Correia de Miranda
1901
1900
Juan Santamaría
1856
1836
Francisco Pereira Passos
1913
1843
Alfred Agache (pintor)
1915
1844
Apolinário Porto-Alegre
1904
Edward Carpenter
1929
1847
Gustavo Richard
1850
Aristides Spínola
1925
1851
Savina Petrilli
1923
1858
Salomon Reinach
1932
1862
Maurice Maeterlinck
Andrew Fisher
1928
1865
Oscar Pereira da Silva
1939
Albert Lebrun
1950
Jack Yeats
1957
1876
Charles Kettering
1958
Kim Gu
1890
"Richard Casey, Barão Casey"
1976
Richard Oswald Karl Kräusel
1891
Dorothy West
1980
1896
Hans Tröger
Preston Sturges
1959
Sherwin Badger
1972
1903
Fernando Correa da Costa
1987
Werner Forßmann
1979
José María Guido
Barry Sullivan
1994
Bruno Dilley
1968
1916
George Montgomery
2000
1920
Charlie Parker
1955
1921
Paddy Roy Bates
2012
1922
Henk Faanhof
2015
John Edward Williams
Richard Attenborough
2014
1924
Dinah Washington
1963
Salvador Villalba
Tissa Balasuriya
2013
María Dolores Pradera
2018
Fada Santoro
Charles Gray
Thom Gunn
2004
1933
