Shinjitai
Kyujitai
Bandeira do Japão
Selo Imperial do Japão
Kimi ga Yo
Selo de Estado do Japão
Disputa pelas Ilhas Curilas
Tóquio
Língua japonesa
Gentílico
Japoneses
Política do Japão
Monarquia constitucional
Estado unitário
Parlamentarismo
Lista de imperadores do Japão
Naruhito
Primeiro-ministro do Japão
Shigeru Ishiba
Dieta do Japão
Câmara alta
Câmara dos Conselheiros
Câmara baixa
Câmara dos Representantes do Japão
História do Japão
Dia da Fundação Nacional do Japão
11 de fevereiro
660 a.C.
Constituição Meiji
29 de novembro
1890
Constituição do Japão
3 de maio
1947
Tratado de São Francisco
28 de abril
1952
Geografia do Japão
Quilómetro quadrado
Lista de países e territórios por área
Demografia do Japão
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Trilhão
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Iene
ISO 4217
Fuso horário
UTC+9
ISO 3166-1
Lista de TLDs
.jp
Lista de códigos telefónicos
Romanização (linguística)
Tradução literal
País insular
Ásia Oriental
Oceano Pacífico
Mar do Japão
República Popular da China
Coreia do Norte
Coreia do Sul
Rússia
Mar de Okhotsk
Mar da China Oriental
República da China
Kanji
Arquipélago
Ilhas do Japão
Honshu
Hokkaido
Kyushu
Shikoku
Montanha
Vulcão
Alpes japoneses
Monte Fuji
Região Metropolitana de Tóquio
De facto
Prefeituras do Japão
Lista de regiões metropolitanas por população
Arqueologia
Homo sapiens
Paleolítico Superior
História da China
Imperador do Japão
Parlamento
Grande potência
Lista de países por exportações
Lista de países por importações
G7
Forças de segurança
Padrão de vida
Lista de países por esperança média de vida à nascença
Organização das Nações Unidas
Organização Mundial da Saúde
Mortalidade infantil
G20
União Europeia
Selo postal
Império do Japão
Dinastia Sui
Leste
Língua mandarim
Língua wu
Marco Polo
Dialeto xangainês
Alfabeto fonético internacional
Língua malaia
Malásia
Indonésia
Língua chinesa
Portugueses
Malaca
Europa
Imperador Jimmu
Nomadismo
Caçador-coletor
Istmo
Pedra lascada
Pedra polida
Período Jomon
Agricultura
Glaciação
Cerâmica
Politeísmo
Yayoi
Metalurgia
Bronze
Espelho
Yamato (povo)
Península da Coreia
Competição
Governo
Coreia
Budismo
Política
Xintoísmo
Shōtoku Taishi
Imperador Kōtoku
Reforma Taika
Estado
Burocracia
Dinastia Tang
Nara (cidade)
Período Nara
Cultura
Tecnologia
Templo
Kinkaku-ji
Xogunato Ashikaga
Samurai
Capital
Quioto (cidade)
Imperador Kammu
Escrita japonesa
Literatura do Japão
Clã
Clã Taira
Clã Minamoto
Guerra civil
Xogum
Kamakura (Kanagawa)
Daimiô
Imperador Go-Daigo
Guerra de Ōnin
Oda Nobunaga
Período Nanban
Comércio
Evangelização
Missionário
Companhia de Jesus
Feudal
Toyotomi Hideyoshi
Tokugawa Ieyasu
Guerra
Batalha de Sekigahara
Xogunato Tokugawa
Edo
Igreja Católica
Sakoku
Cristianismo
Os 26 Mártires do Japão
Imperador Meiji
Restauração Meiji
Navio
Marinha dos Estados Unidos
Matthew Calbraith Perry
Tratado de Kanagawa
Xogunato
Guerra Boshin
Clã Tokugawa
Casa Imperial do Japão
Expansionismo japonês
Primeira Guerra Sino-Japonesa
Guerra Russo-Japonesa
Sacalina
Manchúria
Período Taishō
Primeira Guerra Mundial
Aliados da Primeira Guerra Mundial
Sociedade das Nações
Pacto Anticomintern
Alemanha Nazi
Potências do Eixo
Pacto nipônico-soviético
União Soviética
Manchukuo
República Popular da Mongólia
Esfera de Coprosperidade da Grande Ásia Oriental
Nagasaki
Bombardeamentos de Hiroshima e Nagasaki
Segunda Guerra Mundial
Segunda Guerra Sino-Japonesa
Invasão da Indochina Francesa
Estados Unidos
Embargo
Petróleo
Ataque a Pearl Harbor
Pearl Harbor
Reino Unido
Países Baixos
Hiroshima
Operação Tempestade de Agosto
Rendição do Japão
Dia V-J
Nikkei
Ásia
Tribunal Militar Internacional para o Extremo Oriente
Aliados da Segunda Guerra Mundial
Crime de guerra
Unidade 731
Sendai
Sismo e tsunami de Tohoku em 2011
Sismo
Pacifista
Democráticas liberais
Ocupação do Japão
Nações Unidas
Milagre econômico japonês
Geopolítica
Socialismo
Bolha financeira e imobiliária do Japão
Sismo e tsunami de Tohoku de 2011
Escala de magnitude de momento
Tsunami
Região de Tohoku
Central Nuclear de Fukushima I
Acidente nuclear de Fukushima I
Radiação
Shinzo Abe
Assassinato de Shinzo Abe
Hora legal japonesa
Arma de fogo artesanal
Igreja da Unificação
Imagem de satélite
Arquipélago japonês
Insular
Riukyu
Okinawa
Ilha de Taiwan
Cordilheira
Hachirōgata
Círculo de fogo do Pacífico
Nikko
Classificação climática de Köppen-Geiger
Estação do ano
Massas de ar
Sibéria
Ciclone tropical
Clima subártico
Clima temperado
Clima subtropical
Inverno
Grau Celsius
Primavera
Verão
Outono
Macaco-japonês
Jigokudani
Ecorregião
Ryūkyū
Ilhas Ogasawara
Florestas decíduas temperadas
Florestas temperadas de coníferas
Magnólia
Faisão
Tubarão
Caudados
Javali
Tanuki
Raposa
Veado
Antílope
Lebre
Doninha
Tartarugas marinhas
Hydrophiidae
Lagartos
Sapo
Rã
Tritão (anfíbio)
Salamandra-gigante-do-japão
Endêmica
Aves
Urso-pardo-de-ussuri
Península de Shiretoko
Urso-negro-asiático
Lobo-cinzento
Baleia
Noruega
Islândia
Baleia-comum
Baleia-minke-antártica
Greenpeace
Contrabando
Cataratas de Kegon
Lago Chuzenji
Parque Nacional de Nikkō
Lago Ashi
Parque Nacional Fuji-Hakone-Izu
Crise do petróleo de 1973
Poluição do ar
NOx
Gestão integrada de resíduos sólidos
Eutrofização
Mudança do clima
Automóvel híbrido
Honda
Toyota
Alta tecnologia
Biocombustíveis
Engenharia
Protocolo de Quioto
Dióxido de carbono
Cool Biz
Junichiro Koizumi
Consumo de energia
Ar condicionado
Gases do efeito estufa
Índice de Desempenho Ambiental
Barco-fábrica
Nisshin Maru
Caça à baleia no Japão
Bank of Tokyo Mitsubishi
Sumitomo Mitsui Financial Group
Carvão mineral
Colômbia
Costa Rica
México
Pesticida
Risco de extinção
Plástico
EUA
China
População
Jomon
Ainus
Civilização
