Campinas
São Paulo (estado)
Laboratório Nacional de Luz Síncrotron
Radiação síncrotron
Interior de São Paulo
Brasil
Nanômetro
Radianos
Radiação infravermelha
Radiação ultravioleta
Raios X
"Ministério da Ciência, Tecnologia e Inovação"
Fundação de Amparo à Pesquisa do Estado de São Paulo
COVID-19
Governo Dilma Rousseff
Michel Temer
Acelerador de partículas
UVX (acelerador de partículas)
"Ministério da Ciência, Tecnologia, Inovações e Comunicações"
Governo Lula
Sergio Machado Rezende
Maquete
Estrutura atômica
Medicamentos
Construção
Poço de petróleo
Radiação
Concreto
Átomo
UVX
Ciência e tecnologia no Brasil
Lista de instalações de radiação síncrotron
Revista Piauí
Pesquisa FAPESP
Aeroporto Internacional de Viracopos/Campinas
Aeroporto Campo dos Amarais
Cemitério da Saudade (Campinas)
Mercado Municipal de Campinas
Palácio dos Jequitibás
Royal Palm
Torre do Castelo (Campinas)
Praça Arautos da Paz
Bosque dos Jequitibás
Parque Portugal
Largo do Carmo (Campinas)
Largo do Rosário (Campinas)
Mata de Santa Genebra
Parque Ecológico Monsenhor Emílio José Salim
Praça Carlos Gomes
Praça Ulysses Guimarães
Instituto Agronômico de Campinas
Observatório Municipal de Campinas Jean Nicolini
Planetário de Campinas
Casa Grande e Tulha
Edifício Itatiaia
Edifício Santana
Jockey Club Campineiro
Palácio da Mogiana
Palácio dos Azulejos
Solar do Visconde de Indaiatuba
Barão Geraldo
Joaquim Egídio
Nova Aparecida
Sousas
Ouro Verde (Campinas)
Campo Grande (Campinas)
CI&T
CPFL Energia
Centro de Pesquisa e Desenvolvimento em Telecomunicações
Empresa Municipal de Desenvolvimento de Campinas
Sociedade de Abastecimento de Água e Saneamento
Escola Estadual Carlos Gomes
Escola Estadual Culto à Ciência
Colégio Técnico de Campinas
Escola Preparatória de Cadetes do Exército
Liceu Salesiano Nossa Senhora Auxiliadora
Colégio Rio Branco (Campinas)
Estádio Brinco de Ouro da Princesa
Estádio Moisés Lucarelli
Estádio Cerecamp
Estação Anhumas
Estação Cultura (Campinas)
Estação Pedro Américo
VLT de Campinas
Beneficência Portuguesa de Campinas
Centro de Atenção Integral à Saúde da Mulher
Casa de Saúde Campinas
Centro Infantil Boldrini
Hospital de Clínicas da Unicamp
Hospital e Maternidade Celso Pierro
Hospital de Amor
Hospital Municipal Mário Gatti
Maternidade de Campinas
Hospital Municipal Ouro Verde
SOBRAPAR
Hospital Vera Cruz
Catedral Metropolitana de Campinas
Basílica Nossa Senhora do Carmo
Museu de Arte Contemporânea de Campinas
Museu Campos Sales
Museu Carlos Gomes
Museu Exploratório de Ciências da Unicamp
Museu de História Natural (Campinas)
Museu da Imagem e do Som de Campinas
"Pinacoteca do Centro de Ciências, Letras e Artes"
BRT de Campinas
Corredor Central
Intercamp
Terminal Metropolitano Prefeito Magalhães Teixeira
Terminal Multimodal de Campinas
Complexo Viário Túnel Joá Penteado
Viaduto São Paulo
Estação Rodoviária Dr. Barbosa de Barros
Galleria Shopping
Iguatemi Campinas
Parque Dom Pedro Shopping
Centro de Convivência Cultural de Campinas
Teatro Municipal Castro Mendes
Teatro Municipal de Campinas
"Escola Superior de Administração, Marketing e Comunicação"
Faculdades de Campinas
Pontifícia Universidade Católica de Campinas
Faculdade São Leopoldo Mandic
Universidade Estadual de Campinas
Centro Universitário UniMetrocamp
Universidade Paulista
