"D. Maria, a Louca"
Giuseppe Troni
Lista de monarcas de Portugal
24 de fevereiro
1777
16 de dezembro
1815
13 de maio
José I de Portugal
João VI de Portugal
"Rei do Reino Unido de Portugal, Brasil e Algarves"
20 de março
1816
17 de dezembro
1734
Paço da Ribeira
Lisboa
Estremadura
Reino de Portugal
Convento do Carmo (Rio de Janeiro)
Rio de Janeiro (cidade)
Capitania do Rio de Janeiro
"Reino Unido de Portugal, Brasil e Algarves"
Basílica da Estrela
Portugal
Pedro III de Portugal
"José, Príncipe do Brasil"
Mariana Vitória de Bragança
Casa Real
Dinastia de Bragança
Mariana Vitória de Bourbon
Igreja Católica
Rainha (título)
Príncipe do Brasil
1750
Herdeira presuntiva
Princesa do Brasil
Duquesa de Bragança
Casa de Bragança
Real Barraca
"Luís, Conde de Chinchón"
José II do Sacro Império Romano-Germânico
Viradeira
Sebastião José de Carvalho e Melo
Processo dos Távoras
Direito de asilo
Terror (Revolução Francesa)
Revolução Francesa
1789
1799
Melancolia
Prússia
Angola
Brasil
Cabo Verde
Moçambique
Academia Real das Ciências de Lisboa
Biblioteca Nacional de Portugal
Casa Pia de Lisboa
Academia Real de Marinha
5 de janeiro
1785
Alvará de 1785
História da industrialização no Brasil
Tiradentes
1792
Companhia de Jesus
Psiquiatra
Jorge III do Reino Unido
"José, Duque de Bragança"
Duque de Bragança
Príncipe da Beira
Luís XVI de França
Guilhotina
Transferência da corte portuguesa para o Brasil
Circa
Sagrado Coração de Jesus
Carlota Joaquina de Bourbon
Pedro Carlos de Bourbon
Maria Ana Francisca de Bragança
Maria Benedita de Bragança
José de Seabra da Silva
Pina Manique
Primeiro Império Francês
Napoleão
Itália
José Bonaparte
Países Baixos
Luís I da Holanda
Manuel Godoy
Tratado de Badajoz (1801)
Olivença
Espanha
Primeira invasão francesa de Portugal
Jean-Andoche Junot
29 de Novembro
1807
1 de Agosto
1808
Duque de Wellington
Guerra Peninsular
Batalha do Buçaco
Praça XV (Rio de Janeiro)
Paço Imperial
Brasil Colônia
Império do Brasil
Igreja de Nossa Senhora do Carmo da Antiga Sé
Pedro I do Brasil
Pedro II do Brasil
Coroação de Pedro I do Brasil
Mestre Valentim
Corcovado
Jean-Baptiste Debret
Rio de Janeiro
Bairro das Laranjeiras
Bica da Rainha
Cosme Velho
Princesa do Brasil (Brasil)
Miguel I de Portugal
"Maria Teresa de Bragança, Princesa da Beira"
Convento da Ajuda
Réquiem
José Maurício Nunes Garcia
Aclamação real
1821
Mary Del Priore
Inácio de São Caetano
Personagem
Cinema
Televisão
Teatro
Rita Cléos
Novela
Dez Vidas
Maria Fernanda (atriz)
Filme
"Carlota Joaquina, Princesa do Brasil"
Eva Wilma
Minissérie
O Quinto dos Infernos
Maria Emília Correia
Lu Grimaldi
"Liberdade, Liberdade (telenovela)"
Resultados do Carnaval do Rio de Janeiro em 2008
São Clemente (escola de samba)
Rogéria
Maria do Céu Guerra
"D. Maria, A Louca"
A Barraca
Opéra-comique
Daniel Auber
Libretto
Eugène Scribe
Zarzuela
Lusofonia
Brasil Gerson
Rio Carioca
Lista de títulos e honrarias da Coroa Portuguesa
Sua Alteza Real
Sua Majestade Fidelíssima
Aclamação de Maria I de Portugal
Ordem de Cristo
Ordem de São Bento de Avis
Ordem de Santiago
Ordem da Torre e Espada
Maria Francisca Benedita de Bragança
Herdeiro aparente
Aclamação da rainha
Varíola
Lista de reis de Portugal
Palácio Real de Queluz
15 de Dezembro
1768
San Lorenzo de El Escorial
2 de Novembro
1788
Gabriel de Bourbon
Infante de Espanha
Portici
12 de maio
1752
23 de Novembro
Carlos III de Espanha
Lista de reis de Espanha
Maria Amália da Saxônia
João IV de Portugal
Pedro II de Portugal
Luísa de Gusmão
João V de Portugal
Filipe Guilherme de Neuburgo
Maria Sofia Isabel de Neuburgo
Isabel Amália de Hesse-Darmstadt
Fernando III da Germânia
Leopoldo I da Áustria
Maria Ana de Espanha
"Maria Ana de Áustria, Rainha de Portugal"
Leonor Madalena de Neuburgo
Luís XIV de França
"Luís, Grande Delfim de França"
Maria Teresa de Áustria (1638-1683)
Filipe V de Espanha
Maria Ana Vitória de Baviera
Rainúncio II Farnésio
"Eduardo, Príncipe herdeiro de Parma"
Isabel Farnésio
Doroteia Sofia de Neuburgo
Universidade de Lisboa
Árvore genealógica dos reis de Portugal
Dinastia de Avis
Monarcas de Portugal
Lista de monarcas do Brasil
Casa de Borgonha
Afonso I de Portugal
Sancho I de Portugal
Afonso II de Portugal
Sancho II de Portugal
Afonso III de Portugal
Dinis I de Portugal
Afonso IV de Portugal
Pedro I de Portugal
Fernando I de Portugal
Casa de Avis
João I de Portugal
Duarte I de Portugal
Afonso V de Portugal
João II de Portugal
Manuel I de Portugal
João III de Portugal
Sebastião I de Portugal
Henrique I de Portugal
"António de Portugal, Prior do Crato"
Casa de Habsburgo
Filipe II de Espanha
Filipe III de Espanha
Filipe IV de Espanha
Afonso VI de Portugal
Maria II de Portugal
Fernando II de Portugal
Pedro V de Portugal
Luís I de Portugal
Carlos I de Portugal
Manuel II de Portugal
Feudalismo
"Afonso I, Duque de Bragança"
"Fernando I, Duque de Bragança"
"Fernando II, Duque de Bragança"
"Jaime I, Duque de Bragança"
"Teodósio I, Duque de Bragança"
"João I, Duque de Bragança"
"Teodósio II, Duque de Bragança"
"Teodósio, Príncipe do Brasil"
"Isabel Luísa, Princesa da Beira"
"João de Bragança, Príncipe do Brasil"
"Maria Bárbara de Bragança, Rainha de Espanha"
"Pedro, Príncipe do Brasil"
"Luís Filipe, Príncipe Real de Portugal"
Miguel Januário de Bragança
Maria Pia de Saxe-Coburgo e Bragança
Duarte Nuno de Bragança
Duarte Pio de Bragança
Base Virtual Internacional de Autoridade
Museu Britânico
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Consortium of European Research Libraries
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Find a Grave
Istituto centrale per il catalogo unico delle biblioteche italiane e per le informazioni bibliografiche
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
National Portrait Gallery
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Museu da Nova Zelândia Te Papa Tongarewa
WikiTree
Wikimedia
