Energia renovável
Biocombustível
Biomassa
Energia azul
Energia geotérmica
Energia heliotérmica
Energia hidráulica
Energia solar
Energia eólica
Energia maremotriz
Energia das ondas
Energia das correntes marítimas
Energia nuclear
Hidrelétrica das Três Gargantas
China Central
Lista de maiores centrais elétricas do mundo
Eletricidade
Energia hidrelétrica
Fontes renováveis
Usina hidrelétrica
Gases do efeito estufa
Combustível fóssil
Floresta de várzea
Florestas húmidas tropicais
Terra arável
Barragem
Energia das marés
Gigawatt
China
Brasil
Canadá
Estados Unidos
Rússia
Índia
Noruega
Japão
Vietname
França
Turquia
Itália
Espanha
Venezuela
Suécia
Suíça
Áustria
Irã
México
Colômbia
Argentina
Alemanha
Paquistão
Paraguai
Austrália
Laos
Portugal
Chile
Roménia
Coreia do Sul
Ucrânia
Malásia
Indonésia
Peru
Nova Zelândia
Tajiquistão
Equador
Užice
Sérvia
Revolução Industrial
Roda de água
Máquina de fiar hidráulica
Richard Arkwright
Gerador elétrico
William George Armstrong
Cragside
Northumberland
Inglaterra
Lâmpada a arco voltaico
Cataratas do Niágara
Thomas Edison
Appleton (Wisconsin)
Wisconsin
Castelo de Warwick
Grenoble
Área de expansão de inundação
Irrigação
Tennessee Valley Authority
Represa Hoover
Corpo de Engenharia do Exército dos Estados Unidos
Represa Grand Coulee
Usina de Itaipu
América do Sul
Usina das Três Gargantas
República Democrática do Congo
Mitigação das mudanças climáticas
Agência Internacional de Energia
Energia potencial
Fator de capacidade
Geração elétrica despachável
Energia cinética
Usina hidrelétrica a fio d'água
Sociedade Americana de Engenheiros Civis
Sete Maravilhas do Mundo Moderno
Vietnã
Mondul Kiri
Camboja
Energia solar fotovoltaica
Manitoba
Potência
Watt
Η
Ρ
Densidade
Quilograma
Metro cúbico
Fluxo volumétrico
Caudal
Δ
Metro
Megawatt
Carga de base
Três Gargantas
Indústria
Alumínio
Alcoa
Bellingham (Washington)
Washington (estado)
Segunda Guerra Mundial
Suriname
Albufeira de Brokopondo
Fundição
Dióxido de carbono
Dióxido de enxofre
Óxidos de nitrogênio
Impacto ambiental
Aquacultura
Agricultura
Sudão
Albedo
Pântano
Pastagens
Planície
Vale
Vida selvagem
Fragmentação de habitat
Ecossistema
Ecossistema aquático
Mudança do clima
Rio Colorado
Metano
Gás de efeito estufa
Hipóxia (ambiente)
Taiga
Barragem de Banqiao
Tufão Nina (1975)
Barragem de Vajont
Fréjus
Costa Azul
Gás de combustão
Óxido nítrico
Monóxido de carbono
Mercúrio (elemento químico)
Carvão mineral
Central hidroelétrica reversível
Custo de capital médio ponderado
Transição energética
Pequena Central Hidrelétrica
Turbina
Usina Hidrelétrica de Itaipu
Engenharia hidráulica
Águas internacionais
International Standard Serial Number
Digital object identifier
International Energy Agency
International Standard Book Number
Wayback Machine
Energia
Matriz energética
Eficiência energética
Setor elétrico
Lista de barragens
Lista das maiores usinas hidrelétricas do mundo
Pequena central hidrelétrica
Conversão de energia térmica oceânica
Moinho de água
Turbina hidráulica
Turbina Francis
Turbina Kaplan
Turbina helicoidal Gorlov
Turbina Pelton
Gerador de corrente de maré
Lista de usinas hidrelétricas do Brasil
Hidroelétricas em Portugal
Economia de energia
Energia potencial elétrica
Sistema de compensação de energia elétrica
Impacto ambiental da indústria energética
Aquecimento global
Antropogénico
Desflorestação
Desperdício de alimentos
Efeito estufa
Escurecimento global
Ilha de calor
Poluição atmosférica
Potencial de aquecimento global
Impactos ambientais da aviação
