América
Ásia
Oceania
Terra
Alto-mar
Canadá
Estados Unidos
México
Guatemala
Honduras
El Salvador
Nicarágua
Costa Rica
Panamá
Colômbia
Equador
Peru
Chile
Macau
China
Rússia
Coreia do Norte
Coreia do Sul
Japão
Hong Kong
Taiwan
Sudeste asiático
Laos
Mianmar
Oceano global
Altitude
Batimetria
Oceano
Austrália
Antártida
Globo terrestre
Oceano Antártico
Teoria das placas tectónicas
Deriva continental
Pangeia
Pantalassa
Passagem do Noroeste
Estreito de Bering
Estreito de Davis
Oceano Atlântico
Fossa oceânica
Fossa das Marianas
Círculo de fogo do Pacífico
Crusta oceânica
Temperatura do oceano
°C
Europa
1513
Vasco Núñez de Balboa
1520
Fernão de Magalhães
Extremo Oriente
América do Norte
La Niña
Brasil
América do Sul
América Central
Organização Meteorológica Mundial
Marégrafo
Abraham Ortelius
Estreito de Magalhães
Oceano Índico
Califórnia
Ilha de Páscoa
Ilhas Galápagos
Nova Zelândia
Havaí
Ilhas Marquesas
Ilhas Marshall
Ilhas Carolinas
Atol
Ilhas Aleutas
Ilhas Kurilas
Ilhas Marianas
Filipinas
Ilhas Salomão
Tonga
Kermadec
Tsunami
Atol de Bokak
Ilha Wake
Atol Moruroa
Atol de Bikini
Atol de Cosmoledo
Atol de Astove
Atol de Nukuoro
Guam
Estados Federados da Micronésia
Fiji
Kiribati
Ilha Norfolk
Ilhas do Mar de Coral
Nauru
Ilhas Cook
Ilhas Menores Distantes dos Estados Unidos
Palau
Papua-Nova Guiné
Marianas Setentrionais
Nova Caledônia
Samoa
Niue
Ilhas Pitcairn
Tuvalu
Polinésia Francesa
Vanuatu
Samoa Americana
Wallis e Futuna
Timor-Leste
Colombia
Giro Pacífico Norte
Correntes oceânicas
BBC
The Independent
Plástico
Polinésia
Taiti
Ilha da Páscoa
Istmo do Panamá
Detritos marinhos
Grande Porção de Lixo do Pacífico
Poluição marinha
Fertilizante
Hipóxia (ambiente)
Mar de Bering
Golfo do Alasca
Golfo da Califórnia
Mar de Okhotsk
Mar do Japão
Mar da China Oriental
Mar da China Meridional
Mar de Sulu
Mar de Celebes
Mar de Mindanau
Mar das Filipinas
Mar de Flores
Mar de Banda
Mar de Arafura
Mar de Timor
Mar de Ross
Mar de Amundsen
Mar de Bellingshausen
Aliança do Pacífico
Ásia-Pacífico
Associação de Nações do Sudeste Asiático
Cooperação Econômica Ásia-Pacífico
Lista de ilhas do Oceano Pacífico
Organização de Cooperação de Xangai
International Standard Book Number
Oceano Ártico
Região
África
Magrebe
Norte de África
África Central
África Austral
África Ocidental
África Oriental
África subsariana
Caribe
Cone Sul
América Latina
América Anglo-Saxônica
Ásia Central
Ásia Oriental
Ásia Setentrional
Sibéria
Ásia Meridional
Subcontinente indiano
Sudeste Asiático
Sudoeste Asiático
Europa Ocidental
Europa Central
Leste Europeu
Europa Setentrional
Europa meridional
Médio Oriente
Arábia
Cáucaso
Levante (Mediterrâneo)
Australásia
Melanésia
Micronésia
Região polar
Ártico
Oceanos
Base Virtual Internacional de Autoridade
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Nacional da Grécia
Enciclopédia Treccani
Biblioteca Nacional de Israel
Geographic Names Information System
GeoNames
Getty Thesaurus of Geographic Names
Medical Subject Headings
Sistema Unificado de Linguagem Médica
