16 de abril
2019
23 de maio
2008
Michelle Bachelet
Pro tempore
União de Nações Sul-Americanas
Estados-membros da União de Nações Sul-Americanas
Presidente do Chile
2009
Lista de presidentes da Bolívia
Evo Morales
Chile
Rafael Correa
Equador
Presidente do Equador
Bharrat Jagdeo
Guiana
Presidente da Guiana
Fernando Lugo
Paraguai
Presidente do Paraguai
Ollanta Humala
Peru
Presidente do Peru
Dési Bouterse
Suriname
Presidente do Suriname
José Mujica
Uruguai
Presidente do Uruguai
Tabaré Vázquez
Nicolás Maduro
Venezuela
Presidente da Venezuela
Mauricio Macri
Argentina
Presidente da Argentina
Bolívia
Presidente da Bolívia
Presidência Rotativa Pro-tempore do Mercosul
Wayback Machine
